bond_id,atom1_id,atom2_id,type
231,cJ,aGC,1
232,cL,mV,1
233,cM,ace,1
234,cN,tk,1
235,cN,pt,2
236,cO,Yj,7
237,cO,aDi,1
238,cP,ZG,7
239,cQ,qt,7
240,cR,XC,2
241,cS,W,1
242,cT,Ap,1
243,cU,ami,1
244,cV,qo,2
245,cV,acN,2
246,cW,aLR,7
247,cY,arB,1
248,cY,Hj,1
249,cZ,Fo,2
250,db,arB,7
251,dc,hg,1
252,dd,mc,3
253,dd,avG,2
254,de,aDP,1
255,dg,atd,1
256,dg,U,1
257,dh,aqO,7
258,dh,ajn,1
259,dh,sO,1
260,di,nE,1
261,di,aoE,1
262,di,cT,3
263,dj,fl,1
264,dl,eO,3
265,dl,Uu,1
266,dl,hq,2
267,dl,aOh,2
268,dn,MC,1
269,dn,GJ,1
270,dn,qb,1
271,do,ZC,7
272,dp,wV,7
273,dq,Dl,1
274,dq,hj,1
275,dr,aK,1
276,ds,Zz,3
277,ds,anG,1
278,dt,aly,7
279,dt,amy,1
280,du,aLs,7
281,dv,cb,1
282,dw,aes,7
283,dw,Nt,1
284,dx,BK,1
285,dy,vv,1
286,dy,aoJ,1
287,dA,dz,1
288,dB,ayC,1
289,dB,ayS,1
290,dB,ik,1
291,dC,arj,1
292,dD,OP,1
293,dF,apV,7
294,dF,aaf,1
295,dG,DJ,1
296,dG,Mf,3
297,dI,aLf,7
298,dJ,yJ,1
299,dK,IR,1
300,dK,WX,1
301,dM,xw,1
302,dN,ZC,7
303,dO,aOn,1
304,dQ,kL,1
305,dS,yM,1
306,dT,aJA,1
307,dT,jS,1
308,dU,Vu,1
309,dV,yy,7
310,dV,jJ,7
311,dW,iL,1
312,dW,aKW,1
313,ea,are,7
314,eb,aDL,7
315,ec,aEH,1
316,ef,ahV,2
317,ef,Xp,2
318,eg,pc,2
319,eg,WD,2
320,ei,Gz,1
321,ei,Sx,1
322,el,aIw,1
323,el,RN,7
324,el,iG,1
325,em,kW,7
326,em,alE,7
327,en,aaT,2
328,en,aFi,3
329,en,JT,1
330,eo,Wx,7
331,eo,LS,7
332,ep,mz,7
333,ep,ahx,7
334,es,nQ,1
335,es,ajK,7
336,et,cL,1
337,et,Vt,7
338,eu,HW,1
339,eu,Ut,1
340,ev,mD,1
341,ew,wS,3
342,ew,ahS,1
343,eA,aoz,1
344,eA,Vg,7
345,eC,Th,1
346,eC,un,1
347,eC,aFl,1
348,eD,Q,7
349,eE,JV,1
350,eF,aEk,7
351,eG,lg,7
352,eI,aEO,1
353,eJ,avH,1
354,eJ,Jz,7
355,eK,Ev,7
356,eK,SV,1
357,eL,aHG,1
358,eM,alo,7
359,eN,ht,7
360,eO,aiG,7
361,eP,bv,7
362,eQ,yo,1
363,eQ,aCZ,1
364,eQ,dn,1
365,eR,Hn,2
366,eS,jX,1
367,eS,Vk,7
368,eT,VJ,1
369,eV,aad,1
370,eX,uY,1
371,eY,aIR,1
372,eZ,Rn,7
373,fd,aap,1
374,fd,atY,1
375,fd,oH,1
376,fe,amC,1
377,fh,DY,7
378,fi,dq,7
379,fk,aMN,7
380,fl,anw,7
381,fl,Yd,1
382,fn,IQ,7
383,fo,tq,7
384,fo,rE,1
385,fq,aKh,1
386,fr,dN,1
387,fs,ajC,7
388,fs,Qk,7
389,fu,air,1
390,fv,fI,1
391,fv,aGF,1
392,fw,IH,1
393,fw,bv,7
394,fy,Ow,7
395,fz,dk,2
396,fz,qr,3
397,fA,pw,1
398,fB,aIt,1
399,fC,aNm,3
400,fD,Ck,1
401,fD,ky,2
402,fE,aHE,7
403,fE,apH,1
404,fF,WX,7
405,fG,wE,1
406,fH,asg,1
407,fH,anX,1
408,fJ,fl,1
409,fL,ayT,7
410,fL,vf,7
411,fM,ML,1
412,fM,ava,1
413,fP,arO,7
414,fP,ft,1
415,fQ,Ih,1
416,fR,pW,7
417,fS,aeq,1
418,fU,zK,1
419,fU,uv,1
420,fV,Uu,1
421,fW,dI,7
422,fX,wL,1
423,fX,XI,1
424,fZ,YM,7
425,ga,GX,2
426,gb,akT,3
427,gb,avT,1
428,gd,GS,1
429,ge,Nj,7
430,ge,bl,1
431,gf,aad,1
432,gg,oR,7
433,gh,bA,7
434,gi,gy,3
435,gi,aNI,1
436,gj,yr,1
437,gj,jP,1
438,gk,aLX,1
439,gk,aMm,1
440,gk,cK,1
441,gl,aBl,7
442,gm,aeZ,7
443,go,EA,1
444,gq,ik,1
445,gq,dU,1
446,gr,rZ,7
447,gw,Ci,1
448,gw,nj,1
449,gx,bo,7
450,gy,YD,1
451,gy,amS,1
452,gz,Rh,1
453,gB,ajj,1
454,gC,er,1
455,gC,avG,1
456,gD,akL,1
457,gE,amg,7
458,gE,hO,7
459,gF,DD,1
460,gF,vc,1
461,gF,Dp,7
462,gH,ky,1
463,gI,PA,1
464,gI,It,1
465,gL,akh,3
466,gL,gl,2
467,gM,WP,1
468,gM,Vf,1
469,gN,eP,1
470,gP,Rt,1
471,gQ,nB,1
472,gR,CP,1
473,gT,acD,7
474,gT,aMh,7
475,gV,agB,7
476,gV,adM,7
477,gW,aMK,1
478,gX,KT,1
479,gY,Kk,1
480,gY,uX,1
481,gZ,Sj,1
482,hb,aJQ,1
483,hb,pF,1
484,hc,Vy,7
485,hd,aNt,3
486,hf,aOn,1
487,hg,Cy,1
488,hg,aHy,1
489,hh,anx,7
490,hi,yW,1
491,hj,abq,1
492,hj,aeQ,1
493,hk,aIp,1
494,hk,aHG,1
495,hl,yD,1
496,hl,apI,7
497,hm,aod,1
498,hm,Sd,7
499,hm,auC,1
500,hm,arq,7
501,hn,Iu,7
502,ho,agK,7
503,ho,yJ,1
504,hr,Pa,7
505,ht,sL,1
506,ht,ajc,1
507,hu,ait,7
508,hu,Bk,7
509,hv,aDY,7
510,hz,DJ,1
511,hA,aqg,7
512,hB,Ix,7
513,hB,aIt,7
514,hC,iy,1
515,hC,NO,7
516,hC,bl,1
517,hD,hx,1
518,hE,aMU,7
519,hF,aeO,7
520,hG,jF,1
521,hG,Qx,1
522,hH,ey,1
523,hI,apm,1
524,hJ,aer,1
525,hK,yw,1
526,hK,IL,7
527,hN,bc,7
528,hO,aiL,1
529,hQ,jP,1
530,hR,aGP,1
531,hR,aMw,1
532,hS,Px,1
533,hT,gh,1
534,hT,FY,1
535,hU,MD,1
536,hU,nb,7
537,hW,aaU,1
538,hX,dt,1
539,hY,ie,1
540,hY,aIS,1
541,hZ,aCz,7
542,ia,aMH,1
543,ia,ut,1
544,ib,bv,7
545,ib,As,1
546,ie,aaZ,1
547,ie,jI,1
548,if,acc,1
549,ih,sb,1
550,ii,ana,2
551,ii,aCK,1
552,im,abJ,7
553,io,gO,1
554,io,aim,1
555,ip,EF,1
556,iq,lg,7
557,ir,QF,7
558,ir,anx,7
559,is,tX,1
560,it,aDJ,7
561,iu,oz,1
562,iv,aeu,1
563,iv,aBC,1
564,iv,CY,1
565,iv,xy,1
566,iw,WZ,1
567,ix,abU,3
568,ix,Gg,1
569,iy,aes,7
570,iy,atI,7
571,iz,sI,1
572,iA,aCz,1
573,iD,Ca,7
574,iD,qX,1
575,iE,aIV,7
576,iF,aKN,1
577,iF,td,1
578,iH,aNK,1
579,iI,EV,1
580,iI,Eb,1
581,iI,Yg,1
582,iJ,dD,1
583,iJ,iY,1
584,iK,acU,3
585,iK,lx,1
586,iL,Mz,7
587,iM,nT,7
588,iN,kY,1
589,iN,wB,1
590,iQ,BG,1
591,iQ,aNI,1
592,iR,aif,1
593,iR,azv,1
594,iS,AV,7
595,iT,aaG,1
596,iT,mG,1
597,iV,aoL,7
598,iW,aMG,1
599,iX,VO,1
600,iX,aiO,7
601,iZ,dN,1
602,iZ,adC,1
603,iZ,Jx,1
604,jc,abc,1
605,jd,aMy,7
606,jf,ari,1
607,jf,ib,1
608,jg,uw,7
609,jh,Di,1
610,jh,qt,7
611,ji,KB,1
612,jj,Ml,3
613,jj,GX,2
614,jj,mk,1
615,jk,aJW,1
616,jl,zh,1
617,jm,yr,1
618,jm,Qq,7
619,jn,Ve,1
620,jn,aeP,2
621,jp,LP,7
622,jq,fO,1
623,jq,Qg,7
624,jr,afi,7
625,js,iU,1
626,js,aen,1
627,ju,eC,1
628,jv,avM,1
629,jv,bw,7
630,jw,Bt,3
631,jx,aww,1
632,jy,Yc,1
633,jy,ahM,1
634,jz,asG,2
635,jA,LP,1
636,jC,zo,1
637,jD,aNw,1
638,jE,anL,1
639,jF,xE,1
640,jF,axJ,1
641,jG,mC,7
642,jH,aLP,1
643,jH,aBj,7
644,jJ,amH,1
645,jJ,ano,3
646,jJ,wz,1
647,jL,avF,7
648,jL,ee,1
649,jL,aNy,1
650,jM,nA,1
651,jM,AO,1
652,jO,DQ,1
653,jR,aHD,1
654,jR,aFl,1
655,jT,aDH,1
656,jT,oB,1
657,jU,aiy,7
658,jV,aip,1
659,jV,ati,2
660,jV,arz,1
661,jW,aas,1
662,jX,aiv,1
663,jY,qZ,2
664,jY,BB,7
665,jZ,akh,3
666,jZ,azy,1
667,jZ,atK,2
668,jZ,agx,2
669,ka,afL,1
670,kb,aqg,1
671,kb,mM,1
672,kf,ef,1
673,kf,anA,1
674,kh,fn,1
675,ki,dM,1
676,kl,aAw,7
677,kl,GS,1
678,kn,aeL,1
679,kn,azr,3
680,ko,aaV,1
681,ko,Hz,1
682,ko,OB,1
683,kp,amW,7
684,kq,aaU,1
685,kr,cx,1
686,ku,Tp,1
687,kv,Lp,1
688,kv,Hv,1
689,kw,PT,1
690,kw,Gk,7
691,kw,YH,1
692,kx,aiE,1
693,ky,aHY,1
694,ky,EV,1
695,kz,qt,7
696,kA,aKq,7
697,kA,aGb,7
698,kB,Zd,1
699,kC,RU,1
700,kC,MD,1
701,kE,aBw,1
702,kE,Db,7
703,kF,aAD,7
704,kH,VX,1
705,kH,gG,1
706,kI,oZ,7
707,kJ,aFp,7
708,kL,lx,1
709,kL,lf,7
710,kM,akS,1
711,kN,adX,1
712,kP,FE,1
713,kP,zo,2
714,kQ,yW,1
715,kS,Eg,2
716,kS,ad,1
717,kT,wY,1
718,kU,jV,1
719,kW,aKN,1
720,kX,aGk,1
721,kY,Ih,1
722,kZ,DG,1
723,lc,GW,1
724,lc,sn,7
725,ld,ia,1
726,lf,yP,1
727,lg,ML,1
728,lg,aDk,2
729,li,xT,1
730,li,vm,1
731,lj,Ld,7
732,lk,rp,1
733,ll,aCf,7
734,lm,Ug,1
735,ln,aNJ,1
736,lo,atG,1
737,lq,vx,1
738,lt,sW,1
739,lt,aGs,1
740,lw,aqb,1
741,lw,JB,3
742,lx,QK,1
743,lB,aoC,1
744,lB,rY,1
745,lC,ZR,1
746,lC,sI,1
747,lC,aag,7
748,lE,w,1
749,lE,Mw,1
750,lI,aOB,7
751,lI,aJg,7
752,lK,aky,1
753,lK,QR,1
754,lL,akC,1
755,lL,wL,3
756,lM,avd,7
757,lM,avB,1
758,lN,abJ,1
759,lN,qN,1
760,lO,aNm,1
761,lO,Mm,1
762,lP,Ux,1
763,lP,ayc,7
764,lP,Ey,7
765,lR,acS,7
766,lT,Qt,7
767,lU,amt,1
768,lV,axa,1
769,lY,Br,2
770,lY,Wd,3
771,ma,Dx,7
772,mb,YG,1
773,mb,Yt,1
774,mc,vl,1
775,md,DZ,7
776,md,Ao,7
777,md,cz,2
778,me,aoJ,1
779,me,nq,7
780,mf,uE,1
781,mf,abD,1
782,mj,LH,7
783,ml,aBI,2
784,ml,SQ,1
785,mm,adF,1
786,mm,uc,1
787,mm,aNJ,1
788,mp,age,7
789,mr,BV,7
790,ms,tb,1
791,mt,hR,1
792,mu,auB,1
793,mw,et,2
794,mw,XV,1
795,mx,axm,7
796,mz,aCg,1
797,mz,ZR,1
798,mB,aco,1
799,mB,apv,1
800,mC,lf,7
801,mC,Qh,1
802,mD,asv,1
803,mE,Az,1
804,mG,amr,1
805,mH,FS,7
806,mH,afF,1
807,mI,aGC,1
808,mJ,fc,1
809,mK,aqf,1
810,mK,awh,1
811,mM,axU,1
812,mT,aqs,1
813,mU,xc,1
814,mV,AH,1
815,mW,axb,7
816,mW,G,7
817,mX,Us,1
818,mX,ya,7
819,mY,aMt,1
820,mY,uW,1
821,mZ,arJ,1
822,na,aN,1
823,nb,PJ,1
824,nb,VM,1
825,nc,ant,1
826,nc,oU,1
827,ne,RY,1
828,ne,aHa,7
829,nf,agl,7
830,nf,aBf,1
831,nh,id,1
832,nh,ic,7
833,nj,bH,7
834,nj,Cg,7
835,nk,aLs,7
836,no,aKY,7
837,no,aLw,1
838,np,nj,1
839,nq,awK,7
840,nq,amg,7
841,ns,ahF,1
842,nt,Gk,7
843,nv,XM,1
844,nw,nN,1
845,nx,ake,1
846,ny,Wx,7
847,ny,aBv,7
848,nz,zo,1
849,nz,aan,7
850,nA,agW,1
851,nA,oN,1
852,nE,axb,7
853,nE,arL,1
854,nG,ajR,1
855,nG,ase,3
856,nH,agM,1
857,nJ,abm,3
858,nJ,asW,3
859,nJ,eW,7
860,nK,hy,1
861,nL,tV,2
862,nO,Zi,1
863,nO,xp,7
864,nO,sF,1
865,nQ,kk,1
866,nR,ML,7
867,nS,Je,7
868,nV,rt,7
869,nW,kU,1
870,nW,aqm,1
871,nX,aIS,1
872,nZ,aAe,1
873,nZ,ot,7
874,nZ,aer,7
875,oa,axI,7
876,ob,awr,7
877,ob,Ac,7
878,od,xq,1
879,og,Qa,7
880,oh,kq,2
881,oh,aCp,7
882,oh,hx,1
883,oi,aoA,1
884,oi,Ph,1
885,oj,ajs,7
886,oj,jj,7
887,ok,Jf,1
888,ol,gx,7
889,oo,bn,7
890,op,dJ,1
891,or,Sc,2
892,ot,Gn,1
893,ot,pD,1
894,ot,ho,1
895,ou,or,1
896,ov,aqO,7
897,ox,wH,3
898,oy,mY,1
899,oA,aMk,3
900,oB,AG,1
901,oB,md,7
902,oC,Xo,7
903,oD,Yw,1
904,oD,sT,7
905,oD,aNG,1
906,oE,ayI,1
907,oE,ua,1
908,oE,HY,1
909,oF,Lu,1
910,oF,SE,7
911,oH,azJ,7
912,oI,aor,1
913,oJ,qb,2
914,oJ,fB,1
915,oK,zc,1
916,oL,aEA,7
917,oM,aFx,7
918,oP,aoR,1
919,oP,hw,1
920,oQ,hZ,1
921,oQ,amp,1
922,oS,eQ,7
923,oV,mQ,1
924,oW,ahS,1
925,oX,fR,1
926,oX,auu,1
927,oY,bW,1
928,oY,AV,1
929,oY,Od,1
930,oZ,VN,1
931,oZ,alN,7
932,pa,SQ,1
933,pa,p,1
934,pa,awU,1
935,pa,tY,1
936,pb,zC,1
937,pb,vK,1
938,pd,akc,1
939,pe,aGQ,1
940,pe,aLl,2
941,pg,aJh,1
942,ph,Iw,7
943,ph,IK,7
944,pj,De,1
945,pj,acT,1
946,pl,dC,1
947,pl,aMN,1
948,pn,Xa,1
949,po,abT,1
950,pq,abv,1
951,pq,ui,1
952,pq,ahS,1
953,pr,E,1
954,ps,aww,1
955,ps,Oy,1
956,pt,Qq,7
957,pu,mk,7
958,pv,aGN,2
959,pv,amA,1
960,pv,jY,2
961,pw,xr,1
962,pw,lh,2
963,px,aJb,1
964,pz,EI,1
965,pA,aod,1
966,pA,aCF,1
967,pB,CL,1
968,pB,wc,1
969,pC,FI,1
970,pC,aFl,1
971,pC,RE,1
972,pF,Ud,1
973,pF,aiU,1
974,pG,amK,1
975,pG,aCC,1
976,pG,qr,1
977,pI,ahr,1
978,pI,qd,2
979,pJ,bk,2
980,pJ,adh,2
981,pK,up,1
982,pL,azN,7
983,pN,aEW,7
984,pN,rZ,7
985,pO,TV,1
986,pP,aHf,7
987,pS,sc,1
988,pT,aKd,1
989,pU,Lt,2
990,pU,BG,1
991,pW,aff,2
992,pX,aLg,1
993,pY,FI,1
994,qa,bX,7
995,qc,km,7
996,qd,aDv,7
997,qe,vU,7
998,qf,vn,1
999,qf,Pv,7
1000,qg,afO,1
1001,qg,OH,1
1002,qh,Uk,1
1003,qh,aEt,7
1004,qk,aFw,1
1005,qk,aoZ,1
1006,ql,ajE,7
1007,ql,ava,1
1008,qm,aBl,7
1009,qn,nG,7
1010,qo,aFT,7
1011,qp,axO,7
1012,qs,ll,1
1013,qt,wI,7
1014,qt,aeO,7
1015,qu,NM,7
1016,qu,Qf,7
1017,qv,aui,7
1018,qy,I,1
1019,qz,aKn,1
1020,qA,ZG,7
1021,qA,aJI,1
1022,qC,MC,1
1023,qD,yM,1
1024,qE,ajZ,1
1025,qF,pI,2
1026,qF,tM,1
1027,qG,CM,1
1028,qH,aNs,1
1029,qH,yX,1
1030,qI,MF,1
1031,qI,DQ,2
1032,qI,alL,1
1033,qJ,aCc,1
1034,qJ,aej,1
1035,qK,agV,7
1036,qN,UP,1
1037,qO,Ix,7
1038,qP,KB,1
1039,qP,aw,1
1040,qS,qx,1
1041,qS,cj,2
1042,qS,Jm,3
1043,qT,QD,1
1044,qT,aIU,1
1045,qU,FF,7
1046,qW,Jr,2
1047,qY,zL,1
1048,qY,avU,1
1049,ra,pg,1
1050,ra,arP,1
1051,rb,pu,1
1052,rd,jh,7
1053,rf,apJ,1
1054,rf,eg,3
1055,rh,aqQ,1
1056,ri,EF,1
1057,rk,kz,2
1058,rk,abC,1
1059,rk,aeY,1
1060,rl,RV,7
1061,rm,kl,7
1062,rm,bw,7
1063,ro,nX,1
1064,ro,ahF,1
1065,rr,aDz,1
1066,rr,anW,2
1067,rs,aJT,1
1068,rt,ahb,2
1069,ru,vD,1
1070,ru,abn,1
1071,rv,axJ,1
1072,rw,ro,1
1073,rx,ana,1
1074,ry,Dn,1
1075,rz,avk,1
1076,rz,adn,1
1077,rA,aNP,1
1078,rB,bi,7
1079,rD,aIh,7
1080,rD,avJ,1
1081,rG,IY,1
1082,rH,Gt,1
1083,rJ,adh,1
1084,rJ,JK,7
1085,rM,XL,7
1086,rN,xT,1
1087,rN,bl,1
1088,rN,ajw,1
1089,rQ,oy,7
1090,rQ,OK,1
1091,rQ,bD,1
1092,rQ,SC,1
1093,rR,Jh,7
1094,rS,azc,7
1095,rU,Jg,7
1096,rU,Fr,7
1097,rV,aNN,1
1098,rX,vv,1
1099,rX,sn,7
1100,rY,azp,1
1101,rY,CL,1
1102,rY,XY,1
1103,rZ,PT,1
1104,rZ,KC,1
1105,sa,ahr,1
1106,sa,qi,7
1107,sb,aBC,1
1108,sd,Ke,2
1109,sd,e,1
1110,sd,aIz,2
1111,se,aty,1
1112,se,atn,1
1113,sg,aOc,7
1114,sh,KO,1
1115,sj,mS,1
1116,sj,aBx,1
1117,sk,WY,1
1118,sn,alr,1
1119,sp,nw,7
1120,sq,aMb,1
1121,sq,Hv,1
1122,st,aas,7
1123,sv,aJP,1
1124,sw,cQ,1
1125,sw,Yr,1
1126,sx,axl,1
1127,sy,OG,1
1128,sy,aMB,1
1129,sz,Oc,1
1130,sB,PB,3
1131,sB,awP,3
1132,sB,EQ,1
1133,sC,KM,7
1134,sC,nm,2
1135,sD,ae,1
1136,sD,bR,1
1137,sE,EQ,1
1138,sF,gX,1
1139,sG,axA,7
1140,sI,Oz,1
1141,sJ,ox,1
1142,sJ,Ft,7
1143,sK,sf,1
1144,sL,aeY,2
1145,sL,jh,7
1146,sN,He,1
1147,sN,apj,1
1148,sO,Xa,1
1149,sO,xM,1
1150,sQ,aIc,1
1151,sQ,NP,1
1152,sQ,sr,1
1153,sR,aJG,1
1154,sR,aKm,1
1155,sR,uI,1
1156,sS,aHS,1
1157,sT,ayO,1
1158,sT,anY,1
1159,sU,Lf,1
1160,sU,aHx,1
1161,sV,kc,1
1162,sV,aGJ,1
1163,sX,apr,1
1164,sX,LU,7
1165,sY,akl,7
1166,sY,aW,7
1167,sZ,ayZ,1
1168,sZ,Qh,1
1169,ta,aDZ,1
1170,ta,GC,1
1171,tb,dH,2
1172,tb,wP,1
1173,tb,aAW,1
1174,tc,axU,1
1175,tc,Gk,7
1176,td,kV,1
1177,td,azX,1
1178,te,aNI,1
1179,tf,eH,1
1180,tg,dt,1
1181,th,ni,1
1182,th,Kd,7
1183,ti,aEs,1
1184,ti,zZ,1
1185,tj,atb,7
1186,tl,act,1
1187,tl,av,1
1188,tm,Ju,7
1189,tm,azq,1
1190,tn,es,7
1191,tn,ug,7
1192,to,aAh,1
1193,tp,BK,1
1194,tq,VD,7
1195,ts,aNd,1
1196,ts,agl,7
1197,tt,GS,1
1198,tv,WP,1
1199,tv,sv,1
1200,tw,azu,1
1201,tw,rw,1
1202,ty,aEb,1
1203,tA,WP,1
1204,tA,aCr,1
1205,tA,aAs,1
1206,tB,aoF,1
1207,tB,Cc,1
1208,tC,aEU,2
1209,tC,azu,3
1210,tC,RH,1
1211,tD,PT,1
1212,tD,HW,1
1213,tE,SG,1
1214,tF,aKk,1
1215,tH,qw,1
1216,tH,awi,1
1217,tJ,aCD,7
1218,tM,aFc,1
1219,tN,aek,7
1220,tN,awp,1
1221,tO,dv,7
1222,tO,nt,7
1223,tP,sW,1
1224,tQ,fG,7
1225,tQ,EB,1
1226,tR,ald,1
1227,tS,yO,1
1228,tT,OC,1
1229,tV,aEK,1
1230,tW,Xy,1
1231,tX,Qh,1
1232,tX,aoP,1
1233,tY,tF,1
1234,tZ,Mv,7
1235,tZ,aaV,1
1236,tZ,Y,1
1237,ua,TS,1
1238,uc,aHk,1
1239,uc,Ww,1
1240,ue,avG,1
1241,uf,VZ,1
1242,ug,vp,1
1243,ui,aHy,7
1244,uj,aLq,7
1245,uj,ia,1
1246,uj,LP,1
1247,uk,amN,7
1248,ul,oK,1
1249,ul,PR,7
1250,um,Cs,7
1251,uo,abP,7
1252,uo,abV,1
1253,ur,arR,7
1254,us,azw,1
1255,ut,YF,1
1256,ut,Pd,7
1257,uu,aiz,7
1258,uu,aqT,7
1259,uv,auj,1
1260,uv,Ww,1
1261,uw,pS,7
1262,uw,iM,1
1263,uy,qn,1
1264,uz,aoW,7
1265,uz,Ml,3
1266,uA,aIb,1
1267,uC,FJ,1
1268,uD,aKI,7
1269,uE,apW,1
1270,uF,Ls,7
1271,uG,bK,1
1272,uG,atE,7
1273,uG,acy,7
1274,uH,aet,7
1275,uI,aEa,1
1276,uJ,aLq,7
1277,uK,adj,1
1278,uK,FI,1
1279,uN,Tk,1
1280,uN,pZ,1
1281,uQ,IL,7
1282,uQ,wb,7
1283,uS,acp,1
1284,uS,NX,7
1285,uT,pk,1
1286,uT,ahS,1
1287,uV,aBx,2
1288,uV,Jl,1
1289,uV,ast,1
1290,uX,Qf,7
1291,uX,Pi,7
1292,uX,kr,7
1293,uY,By,1
1294,uY,hA,7
1295,va,fQ,1
1296,va,azH,1
1297,va,ajW,1
1298,vb,agx,1
1299,vc,anT,1
1300,vd,Yg,1
1301,vd,FE,1
1302,vd,aMO,1
1303,ve,vv,1
1304,ve,FU,1
1305,vf,aeO,7
1306,vg,aKv,7
1307,vg,rZ,7
1308,vi,Qy,1
1309,vk,tC,1
1310,vk,ayQ,1
1311,vl,afF,1
1312,vo,rX,7
1313,vo,aEd,3
1314,vr,z,1
1315,vr,Mv,7
1316,vt,aoD,7
1317,vu,aou,1
