atom_id,molecule_id,element,type,charge
cY,h,o,22,0.289
cZ,h,h,40,-0.228
da,h,h,40,-0.203
db,h,i,22,0.019
dc,i,o,22,0.227
dd,i,c,40,0.223
de,i,o,3,-0.334
df,i,i,22,-0.066
dg,i,c,3,0.362
dh,i,h,38,0.474
di,i,c,1,-0.025
dj,i,h,22,0.032
dk,i,h,40,-0.274
dl,i,o,22,0.478
dm,i,h,3,0.034
dn,i,c,22,0.071
do,i,c,38,-0.193
dp,i,c,10,-0.28
dq,i,c,3,0.067
dr,i,c,3,-0.127
ds,i,c,40,-0.073
dt,i,h,22,0.067
du,i,n,22,-0.177
dv,i,h,3,0.102
dw,i,c,40,0.357
dx,i,c,40,-0.402
dy,i,c,38,0.283
dz,j,c,3,-0.057
dA,j,i,42,0.091
dB,j,h,3,0.388
dC,j,c,22,-0.223
dD,j,c,40,-0.013
dE,j,h,40,-0.625
dF,j,c,3,0.23
dG,j,c,3,0.753
dH,j,h,22,-0.222
dI,j,h,3,-0.067
dJ,j,h,3,0.071
dK,j,h,40,0.255
dL,j,h,3,-0.166
dM,j,i,3,-0.035
dN,j,h,40,0.076
dO,j,h,22,0.316
dP,j,c,3,-0.29
dQ,j,c,22,0.334
dR,j,c,38,-0.021
dS,k,c,3,-0.141
dT,k,h,22,0.24
dU,k,h,22,0.022
dV,k,c,3,0.296
dW,k,h,22,0.284
dX,k,c,40,-0.19
dY,k,c,40,-0.387
dZ,k,h,3,-0.194
ea,k,c,3,-0.117
eb,k,c,40,0.12
ec,k,h,22,-0.065
ed,k,c,27,-0.234
ee,k,h,22,-0.577
ef,k,c,3,0.349
eg,k,h,22,0.25
eh,k,c,40,-0.293
ei,k,c,22,0.036
ej,k,h,3,-0.109
ek,k,c,3,-0.184
el,k,h,22,0.406
em,k,h,3,0.232
en,k,c,22,0.317
eo,k,c,3,0.264
ep,k,h,22,0.255
eq,k,h,3,-0.106
er,k,c,38,-0.273
es,l,c,3,0.252
et,l,o,3,0.101
eu,l,c,3,0.196
ev,l,n,3,0.174
ew,l,c,14,-0.202
ex,l,c,40,-0.498
ey,l,h,3,0.101
ez,l,c,3,-0.629
eA,l,h,42,0.386
eB,l,h,22,0.019
eC,l,h,3,0.73
eD,l,h,22,-0.006
eE,l,c,3,0.057
eF,l,n,3,-0.246
eG,l,h,40,0.053
eH,l,c,22,-0.269
eI,l,c,22,-0.036
eJ,l,c,38,0.112
eK,l,h,3,0.292
eL,l,c,10,-0.225
eM,m,h,3,0.014
eN,m,c,38,0.059
eO,m,c,3,-0.056
eP,m,c,3,-0.014
eQ,m,c,3,0.265
eR,m,c,3,0.023
eS,m,c,40,0.097
eT,m,i,22,0.063
eU,m,h,3,-0.284
eV,m,c,3,0.011
eW,m,h,40,-0.159
eX,m,h,3,-0.117
eY,m,c,42,-0.073
eZ,m,h,3,0.017
fa,m,c,3,-0.245
fb,m,c,3,-0.278
fc,m,c,38,-0.23
fd,m,c,40,0.392
fe,m,c,27,-0.044
ff,m,h,22,0.03
fg,m,h,195,-0.125
fh,m,h,3,-0.105
fi,m,o,22,-0.014
fj,m,h,3,-0.206
fk,m,h,27,0.065
fl,m,c,27,0.026
fm,m,c,3,-0.276
fn,m,h,3,0.119
fo,m,c,22,0.172
fp,m,i,3,-0.143
fq,m,h,3,-0.078
fr,m,c,29,-0.06
fs,m,c,3,0.275
ft,n,h,3,-0.613
fu,n,c,40,-0.03
fv,n,h,22,0.502
fw,n,h,22,0.053
fx,n,h,3,-0.337
fy,n,c,27,0.079
fz,n,c,3,0.173
fA,n,i,93,0.248
fB,n,h,3,0.03
fC,n,h,38,-0.257
fD,n,c,3,0.546
fE,n,o,22,0.269
fF,n,c,40,-0.31
fG,n,o,3,-0.368
fH,n,i,3,-0.102
fI,n,o,3,-0.182
fJ,n,h,3,0.241
fK,n,c,42,-0.603
fL,n,h,22,0.252
fM,n,c,22,0.127
fN,n,c,22,-0.009
fO,n,c,3,-0.275
fP,n,h,22,0.328
fQ,n,h,22,-0.159
fR,n,c,42,-0.218
fS,n,c,3,-0.006
fT,n,i,3,0.115
fU,n,c,40,0.025
fV,o,c,3,0.018
fW,o,c,38,0.103
fX,o,c,22,0.124
fY,o,h,3,-0.192
fZ,o,c,22,-0.182
ga,o,c,22,0.091
gb,o,c,27,0.355
gc,o,h,38,-0.472
gd,o,c,3,-0.002
ge,o,h,22,0.016
gf,o,c,22,-0.186
gg,o,c,22,-0.185
gh,o,h,38,0.23
gi,o,h,3,0.106
gj,o,c,22,0.01
gk,o,c,22,0.145
gl,o,h,22,-0.28
gm,o,h,3,-0.081
gn,o,c,10,-0.152
go,o,c,22,-0.088
gp,o,c,3,-0.214
gq,o,c,3,0.367
gr,o,c,3,0.071
gs,o,c,3,-0.029
gt,o,c,3,-0.254
gu,o,c,3,-0.232
gv,o,c,38,-0.205
gw,o,c,3,0.244
gx,o,i,38,0.221
gy,o,c,22,-0.039
gz,o,h,3,-0.1
gA,o,c,3,-0.762
gB,p,c,38,0.182
gC,p,c,3,0.166
gD,p,c,40,-0.235
gE,p,h,3,0.086
gF,p,h,22,0.325
gG,p,h,38,-0.041
gH,p,c,3,0.028
gI,p,c,27,0.065
gJ,p,c,40,-0.27
gK,p,c,27,-0.157
gL,p,c,40,-0.007
gM,p,c,22,0.197
gN,p,h,3,0.003
gO,p,h,3,-0.243
gP,p,o,22,-0.202
gQ,p,c,1,-0.21
gR,p,c,40,0.112
gS,p,c,28,-0.239
gT,p,h,22,-0.004
gU,p,c,3,-0.188
gV,p,h,22,0.151
gW,p,c,40,0.229
gX,p,h,22,-0.113
gY,p,c,3,0.019
gZ,p,h,22,0.025
ha,p,c,38,-0.115
hb,p,c,3,0.079
hc,p,c,3,-0.119
hd,p,h,3,0.173
he,p,c,3,0.067
hf,p,h,27,0.114
hg,q,h,3,0.123
hh,q,c,40,-0.116
hi,q,c,40,-0.079
hj,q,h,22,0.037
hk,q,o,22,0.43
hl,q,c,22,0.17
hm,q,c,3,0.489
hn,q,c,27,0.094
ho,q,h,22,0.18
hp,q,c,40,-0.215
hq,q,o,22,0.052
hr,q,c,22,-0.144
hs,q,o,40,-0.353
ht,q,c,40,0.311
hu,q,o,22,0.178
hv,q,c,22,0.177
hw,q,h,22,-0.039
hx,q,c,3,-0.122
hy,q,o,22,0.036
hz,q,h,3,-0.179
hA,q,c,40,0.002
hB,q,c,3,0.075
hC,q,h,38,0.479
hD,r,h,3,-0.145
hE,r,h,38,0.176
hF,r,o,27,0.129
hG,r,o,3,0.277
hH,r,c,3,0.134
hI,r,c,3,-0.111
hJ,r,h,27,-0.105
hK,r,c,3,0.272
hL,r,h,40,-0.461
hM,r,h,27,-0.033
hN,r,c,3,-0.001
hO,r,c,22,-0.19
hP,r,c,40,-0.076
hQ,r,h,3,-0.22
hR,r,c,40,0.33
hS,r,c,40,0.081
hT,r,c,22,0.224
hU,r,c,40,0.179
hV,r,h,27,-0.242
hW,r,c,3,0.119
hX,r,h,40,0.108
hY,r,h,22,0.298
hZ,r,h,3,-0.142
ia,r,h,3,0.187
ib,r,c,3,0.082
ic,r,c,40,-0.337
id,r,c,27,-0.127
ie,r,c,22,0.138
if,r,c,40,0.07
ig,r,c,22,-0.553
ih,s,h,3,-0.098
ii,s,c,22,0.273
ij,s,c,22,-0.278
ik,s,c,22,-0.389
il,s,h,40,0.033
im,s,o,27,-0.074
in,s,c,3,0.174
io,s,h,40,0.291
ip,s,c,22,-0.037
iq,s,c,40,0.02
ir,s,c,22,0.143
is,s,h,40,-0.002
it,s,h,3,-0.267
iu,s,h,40,-0.143
iv,s,c,3,0.453
iw,s,h,3,-0.096
ix,s,h,40,0.413
iy,s,o,16,0.051
iz,s,h,3,0.112
iA,s,c,22,0.078
iB,s,o,92,-0.165
iC,s,h,3,0.161
iD,s,c,22,0.258
iE,s,c,22,-0.165
iF,s,c,22,0.35
iG,s,h,40,-0.097
iH,s,c,22,-0.084
iI,s,c,22,0.552
iJ,s,c,3,-0.196
iK,s,c,22,0.362
iL,t,c,22,-0.037
iM,t,h,22,-0.238
iN,t,c,22,0.041
iO,t,c,22,0.07
iP,t,c,16,-0.351
iQ,t,c,3,-0.071
iR,t,c,40,0.31
iS,t,h,3,0.063
iT,t,h,3,0.244
iU,t,h,3,-0.199
iV,t,c,22,0.397
iW,t,o,3,0.079
iX,t,c,40,0.18
iY,t,h,35,-0.124
iZ,t,h,3,0.505
ja,t,c,10,-0.781
jb,t,c,3,-0.452
jc,t,n,195,-0.145
jd,t,c,22,0.505
je,t,c,3,-0.383
jf,t,h,3,0.38
jg,t,c,22,-0.071
jh,t,h,3,0.294
ji,t,c,22,0.08
jj,t,h,22,0.892
jk,t,c,28,-0.412
jl,t,h,3,-0.0
jm,u,c,3,0.282
jn,u,h,40,0.172
jo,u,o,3,0.056
jp,u,h,40,0.164
jq,u,h,32,0.017
jr,u,c,40,0.069
js,u,c,22,0.35
jt,u,c,3,-0.677
ju,u,h,40,0.108
jv,u,h,22,0.374
jw,u,h,3,-0.08
jx,u,h,1,-0.286
jy,u,h,22,0.602
jz,u,n,10,-0.035
jA,u,c,3,-0.339
jB,u,c,3,-0.096
jC,u,c,40,-0.26
jD,u,c,42,-0.043
jE,u,i,3,0.12
jF,u,c,22,0.335
jG,u,c,22,0.025
jH,u,o,3,0.299
jI,u,c,22,-0.244
jJ,u,c,22,0.231
jK,u,c,27,-0.351
jL,u,c,3,0.412
jM,v,h,40,0.016
jN,v,h,3,0.129
jO,v,c,27,0.008
jP,v,h,38,-0.195
jQ,v,h,27,-0.083
jR,v,c,22,0.225
jS,v,c,3,-0.316
jT,v,h,38,0.045
jU,v,o,3,0.214
jV,v,h,3,0.51
jW,v,c,22,-0.211
jX,v,c,22,0.241
jY,v,h,3,0.267
jZ,v,c,22,0.729
ka,v,c,22,-0.118
kb,v,c,22,0.057
kc,v,c,22,-0.252
kd,w,h,3,-0.16
ke,w,c,22,-0.512
kf,w,c,22,0.498
kg,w,h,3,0.138
kh,w,c,3,-0.041
ki,w,o,38,-0.04
kj,w,h,3,-0.414
kk,w,h,3,-0.396
kl,w,h,3,0.205
km,w,h,3,-0.187
kn,w,c,22,0.232
ko,w,c,22,0.58
kp,w,c,22,0.209
kq,w,c,22,0.231
kr,w,h,3,0.045
ks,w,h,26,-0.43
kt,w,i,38,-0.781
ku,w,c,40,-0.143
kv,w,o,40,0.298
kw,w,h,40,0.45
kx,w,h,3,0.159
ky,w,h,3,0.269
kz,w,h,40,0.006
kA,x,h,22,0.557
kB,x,c,3,-0.384
kC,x,c,40,-0.212
kD,x,c,3,-0.531
kE,x,c,3,0.125
kF,x,h,27,0.483
kG,x,h,27,-0.194
kH,x,c,3,0.234
kI,x,c,40,0.156
kJ,x,c,22,0.13
kK,x,c,3,-0.608
kL,x,h,22,0.655
kM,x,h,40,0.031
kN,x,c,3,0.164
kO,x,c,3,-0.247
kP,x,c,3,0.209
kQ,x,c,3,-0.385
kR,x,h,40,-0.195
kS,x,h,38,0.361
kT,x,c,22,-0.341
kU,x,c,40,0.393
kV,x,h,38,-0.26
kW,x,o,27,-0.051
kX,y,h,28,-0.002
kY,y,c,3,0.225
kZ,y,c,22,-0.095
la,y,c,27,-0.717
lb,y,c,3,-0.241
lc,y,h,3,0.303
ld,y,c,38,0.09
le,y,o,22,-0.016
lf,y,c,3,-0.111
lg,y,h,26,0.7
lh,y,c,22,-0.577
li,y,c,22,0.269
lj,y,c,3,-0.065
lk,y,c,3,-0.13
ll,y,h,42,-0.347
lm,y,c,3,0.067
ln,y,c,22,-0.062
lo,y,c,22,-0.136
lp,y,h,22,-0.381
lq,y,h,3,-0.198
lr,y,h,22,-0.736
ls,y,h,42,-0.466
lt,y,c,3,0.134
lu,y,c,3,-0.107
lv,y,c,3,-0.262
lw,y,h,22,0.346
lx,z,c,3,0.005
ly,z,o,22,-0.513
lz,z,c,3,-0.472
lA,z,c,27,-0.324
lB,z,h,22,0.552
lC,z,o,22,0.334
lD,z,c,29,-0.149
lE,z,h,3,0.143
lF,z,c,40,-0.445
lG,z,c,27,-0.447
lH,z,c,3,-0.41
lI,z,n,22,0.053
lJ,z,c,32,-0.386
lK,z,h,3,0.464
lL,z,c,3,0.091
lM,z,h,22,0.125
lN,z,c,3,0.378
lO,z,h,22,-0.233
lP,z,i,22,0.332
lQ,z,c,3,-0.518
lR,z,c,3,-0.09
lS,z,c,3,-0.356
lT,z,h,3,-0.052
lU,z,o,22,0.039
lV,z,h,3,0.083
lW,z,i,22,-0.203
lX,z,c,38,-0.391
lY,A,h,40,0.369
lZ,A,h,3,-0.248
ma,A,h,22,-0.072
mb,A,h,3,0.227
mc,A,c,22,-0.088
md,A,c,38,0.028
me,A,c,40,0.402
mf,A,c,3,-0.04
mg,A,c,42,-0.593
mh,A,o,10,0.135
mi,A,h,42,-0.543
mj,A,o,22,0.079
mk,A,h,22,-0.562
ml,A,h,40,0.184
mm,A,h,3,0.34
mn,A,o,40,-0.585
mo,A,h,27,-0.54
mp,A,c,22,-0.3
mq,A,c,40,-0.66
mr,A,c,3,-0.029
ms,A,h,3,0.112
mt,A,c,3,0.186
mu,A,c,27,-0.332
mv,A,c,38,-0.163
mw,A,h,3,0.398
mx,A,h,3,0.672
my,A,c,3,-0.781
mz,A,c,40,0.348
mA,A,o,32,-0.061
mB,A,c,3,0.308
mC,A,h,27,0.224
mD,A,c,3,0.041
mE,A,h,3,-0.129
mF,B,c,3,-0.138
mG,B,c,28,0.021
mH,B,c,22,0.232
mI,B,c,22,0.202
mJ,B,h,22,0.16
mK,B,h,3,0.279
mL,B,c,3,-0.254
mM,B,c,3,-0.066
mN,B,c,40,-0.257
mO,B,c,40,-0.377
mP,B,h,3,-0.22
mQ,B,c,42,-0.159
mR,B,c,40,-0.588
mS,B,h,22,-0.21
mT,B,c,22,-0.04
mU,B,h,3,-0.051
mV,B,c,22,0.093
mW,B,h,3,0.283
mX,B,i,22,0.444
mY,B,c,3,0.059
mZ,B,h,3,-0.081
na,B,c,3,0.023
nb,B,c,3,0.177
nc,B,h,3,0.305
nd,B,h,28,-0.204
ne,B,c,3,0.24
nf,B,c,22,0.262
ng,B,h,22,-0.407
nh,B,h,38,0.187
ni,C,c,40,-0.11
nj,C,i,22,0.138
nk,C,c,3,0.036
nl,C,c,40,-0.359
nm,C,b,22,-0.039
nn,C,c,38,-0.269
no,C,c,42,0.015
np,C,c,40,-0.196
nq,C,i,22,0.075
nr,C,h,3,-0.538
ns,C,c,42,0.264
nt,C,c,3,0.0
nu,C,h,3,-0.098
nv,C,h,3,0.135
nw,C,c,27,-0.043
nx,C,c,35,-0.095
ny,C,h,3,-0.004
nz,C,h,22,0.129
nA,C,c,3,-0.052
nB,D,c,3,-0.781
nC,D,i,22,-0.299
nD,D,h,40,0.014
nE,D,o,3,0.01
nF,D,h,22,-0.205
nG,D,c,3,0.114
nH,D,i,3,-0.081
nI,D,h,3,-0.104
nJ,D,h,3,0.026
nK,D,h,28,-0.237
nL,D,n,3,0.022
nM,D,h,3,-0.235
nN,D,h,3,-0.244
nO,D,n,22,0.429
nP,D,h,40,-0.345
nQ,D,c,3,-0.288
nR,E,h,22,-0.066
nS,E,h,3,-0.101
nT,E,c,3,-0.27
nU,E,h,3,-0.475
nV,E,h,3,0.018
nW,E,h,3,0.278
nX,E,c,40,-0.08
nY,E,h,40,-0.003
nZ,E,h,3,0.477
oa,E,c,22,-0.116
ob,E,h,40,0.136
oc,E,h,27,-0.181
od,E,h,3,0.068
oe,E,c,40,-0.489
of,E,n,22,-0.016
og,E,c,3,-0.084
oh,E,c,3,0.34
oi,E,h,40,-0.194
oj,E,o,3,0.41
ok,E,c,22,-0.064
ol,E,c,22,0.042
om,E,o,40,-0.181
on,E,c,3,-0.265
oo,E,h,3,-0.073
op,E,o,38,0.098
oq,E,c,3,-0.31
or,E,h,3,0.117
os,E,o,27,-0.19
ot,E,c,3,0.139
ou,E,h,1,0.033
ov,E,h,3,-0.013
ow,F,i,22,-0.027
ox,F,c,3,-0.184
oy,F,c,27,-0.19
oz,F,c,1,-0.395
oA,F,h,3,0.145
oB,F,c,3,0.244
oC,F,c,38,0.277
oD,F,c,230,-0.125
oE,F,h,3,0.13
oF,F,h,3,-0.096
oG,F,c,40,-0.373
oH,F,h,3,0.096
oI,F,c,27,0.205
oJ,F,c,1,0.615
oK,F,o,3,0.236
oL,F,c,3,0.1
oM,F,c,27,-0.344
oN,F,c,10,-0.668
oO,F,h,22,-0.125
oP,F,c,38,0.172
oQ,F,h,3,0.281
oR,F,o,22,0.075
oS,G,h,38,-0.04
oT,G,c,3,-0.092
oU,G,h,22,-0.671
oV,G,c,38,-0.117
oW,G,c,40,-0.125
oX,G,c,22,0.176
oY,G,c,3,0.418
oZ,G,h,3,0.194
pa,G,h,3,0.675
pb,G,c,40,0.373
pc,G,o,38,-0.163
pd,G,h,40,-0.129
pe,G,c,22,0.224
pf,G,h,3,-0.289
pg,G,h,22,-0.09
ph,G,c,22,0.21
pi,G,h,22,0.043
pj,G,h,40,0.191
pk,G,c,1,-0.068
pl,G,o,22,0.304
pm,H,h,3,0.17
pn,H,c,22,-0.239
po,H,c,3,0.132
pp,H,c,3,-0.38
pq,H,c,22,0.044
pr,H,c,3,0.289
ps,H,c,22,0.223
pt,H,c,22,-0.641
pu,H,c,3,0.057
pv,H,c,22,0.454
pw,H,i,27,0.438
px,H,c,3,0.112
py,H,i,42,-0.074
pz,H,h,22,-0.072
pA,H,h,3,0.766
pB,H,o,3,0.056
pC,H,h,3,0.384
pD,H,h,27,-0.438
pE,H,n,27,-0.445
pF,H,h,3,0.267
pG,H,c,22,0.231
pH,H,h,3,-0.166
pI,H,c,22,-0.3
pJ,H,c,3,0.629
pK,H,h,40,0.032
pL,H,c,3,-0.372
pM,H,h,40,-0.252
pN,I,c,38,-0.019
pO,I,h,40,0.034
pP,I,c,3,-0.26
pQ,I,h,38,-0.05
pR,I,h,3,-0.065
pS,I,c,40,-0.206
pT,I,h,29,0.096
pU,I,h,40,0.413
pV,I,c,22,-0.386
pW,I,h,42,0.245
pX,I,c,3,0.346
pY,I,c,3,-0.054
pZ,I,c,40,-0.345
qa,I,c,3,-0.009
qb,I,c,42,-0.717
qc,I,c,3,0.14
qd,I,c,3,-0.177
qe,I,c,40,0.037
qf,I,c,22,0.349
qg,I,h,22,0.497
qh,I,h,3,0.254
qi,I,h,3,-0.279
qj,I,h,3,-0.279
qk,I,c,40,0.103
ql,I,c,3,0.096
qm,I,c,38,0.006
qn,I,o,3,0.008
qo,I,c,3,-0.117
qp,I,h,42,-0.096
qq,I,h,40,-0.294
qr,I,h,22,-0.153
qs,I,n,38,0.163
qt,I,c,22,0.107
qu,I,h,40,0.055
qv,I,c,3,0.091
qw,I,h,27,-0.375
qx,I,n,3,-0.158
qy,I,c,10,-0.054
qz,I,h,27,-0.299
qA,I,c,42,0.186
qB,J,c,3,-0.039
qC,J,h,22,-0.149
qD,J,c,22,0.06
qE,J,n,3,-0.129
qF,J,c,40,0.153
qG,J,c,3,0.105
qH,J,h,22,0.17
qI,J,h,22,0.534
qJ,J,h,22,0.324
qK,J,c,3,-0.069
qL,J,c,3,-0.359
qM,J,c,22,-0.234
qN,J,h,3,-0.315
qO,J,c,40,-0.184
qP,J,h,22,0.537
qQ,J,c,22,-0.039
qR,J,c,3,-0.192
qS,J,c,3,0.642
qT,J,c,22,0.321
qU,J,h,22,-0.111
qV,J,c,27,-0.218
qW,J,c,42,-0.033
qX,J,c,40,-0.244
qY,J,c,3,0.076
qZ,K,c,40,-0.217
ra,K,c,40,0.381
rb,K,h,29,-0.228
rc,K,h,3,-0.032
rd,K,h,3,0.219
re,K,h,42,-0.09
rf,K,i,38,0.394
rg,K,c,3,-0.27
rh,K,o,27,-0.229
ri,K,c,3,0.133
rj,K,h,40,-0.379
rk,K,c,22,0.769
rl,K,c,22,-0.09
rm,K,c,22,0.183
rn,K,c,22,-0.376
ro,K,h,42,0.142
rp,K,h,38,-0.518
rq,K,c,3,-0.588
rr,K,h,3,0.282
rs,K,h,40,0.091
rt,K,h,32,-0.091
ru,K,h,3,0.329
rv,K,h,3,-0.151
rw,K,h,3,-0.266
rx,K,h,22,-0.043
ry,K,c,3,-0.256
rz,K,h,22,0.379
rA,K,c,3,0.214
rB,K,h,3,0.143
rC,K,h,3,-0.526
rD,L,h,3,0.284
rE,L,h,3,-0.675
rF,L,c,40,-0.027
rG,L,h,3,-0.123
rH,L,c,40,-0.23
rI,L,c,22,-0.319
rJ,L,i,3,-0.013
rK,L,c,3,-0.261
rL,L,c,22,-0.385
rM,L,c,22,0.08
rN,L,c,3,0.355
rO,L,c,40,-0.373
rP,L,h,3,-0.127
rQ,L,c,22,0.397
rR,L,h,22,-0.281
rS,L,c,22,0.036
rT,L,h,27,-0.17
rU,L,o,22,-0.217
rV,M,h,22,0.151
rW,M,h,22,-0.244
rX,M,h,3,0.143
rY,M,c,3,0.279
rZ,M,c,22,0.423
sa,M,h,22,-0.019
sb,M,c,22,0.137
sc,M,c,38,-0.169
sd,M,h,22,0.482
se,M,c,22,0.351
sf,M,o,40,-0.095
sg,M,c,27,-0.19
sh,M,c,40,-0.144
si,M,c,27,-0.268
sj,M,h,22,0.169
sk,M,c,27,-0.13
sl,M,h,22,-0.216
sm,M,c,40,-0.359
sn,M,c,3,-0.092
so,M,o,22,-0.425
sp,M,c,42,0.122
sq,M,c,22,0.318
sr,M,n,22,-0.065
ss,M,h,3,-0.301
st,N,c,22,0.061
su,N,h,40,-0.256
sv,N,c,3,-0.203
sw,N,i,22,0.329
sx,N,c,40,-0.141
sy,N,c,22,-0.306
sz,N,h,22,-0.001
sA,N,c,3,0.072
sB,N,c,3,0.568
sC,N,h,3,0.216
sD,N,c,3,0.511
sE,N,h,22,-0.11
sF,N,h,3,-0.064
sG,N,c,3,-0.326
sH,N,c,36,-0.296
sI,N,c,40,-0.319
sJ,N,h,40,0.528
sK,N,c,3,0.547
sL,N,c,93,-0.143
sM,N,n,22,-0.191
sN,N,c,3,-0.034
sO,N,h,22,0.262
sP,N,c,27,-0.122
sQ,O,c,22,0.099
sR,O,c,22,0.366
sS,O,h,22,0.083
sT,O,c,22,-0.039
sU,O,c,3,0.202
sV,O,o,3,0.152
sW,O,c,29,-0.132
sX,O,c,22,-0.046
