molecule_id,ind1,inda,logp,lumo,mutagenic
bf,1,0,2.61,-1.971,yes
bg,1,0,5.14,-1.542,no
bh,0,0,4.19,-2.209,yes
bi,1,0,5.27,-1.728,yes
bj,1,0,3.29,-2.207,yes
bk,1,0,3.91,-1.219,yes
bl,1,0,4.14,-2.373,yes
bm,1,0,3.89,-1.996,yes
bn,0,0,3.62,-1.861,yes
bo,0,0,2.7,-0.96,yes
bp,0,0,2.01,-1.535,yes
bq,0,0,3.19,-1.214,no
br,1,0,3.08,-1.146,no
bs,0,0,2.29,-1.738,no
bt,0,0,0.28,-1.253,no
bu,1,0,4.36,-1.902,yes
bv,0,0,2.34,-0.668,no
bw,0,0,1.55,-1.474,no
bx,1,0,4.66,-1.504,no
by,1,0,5.1,-1.285,yes
bz,0,0,-0.02,-1.094,no
bA,1,0,5.23,-0.997,yes
bB,0,0,3.92,-0.612,yes
bC,0,0,2.27,-0.901,yes
bD,1,0,1.77,-1.557,yes
bE,0,0,3.33,-1.243,yes
bF,0,0,2.89,-2.569,yes
bG,1,0,4.48,-1.046,no
bH,0,0,0.37,-1.788,yes
bI,0,0,6.11,-1.489,yes
bJ,1,0,3.3,-1.363,no
bK,1,0,3.95,-1.507,yes
bL,1,0,4.12,-0.678,no
bM,1,0,2.97,-1.167,yes
bN,1,0,2.55,-2.361,no
bO,0,0,2.68,-1.392,no
bP,1,0,4.95,-1.8,yes
bQ,0,0,3.11,-1.366,yes
bR,1,0,3.26,-1.889,yes
bS,1,0,4.47,-2.251,yes
bT,1,0,2.21,-1.35,yes
bU,1,0,5.4,-1.989,yes
bV,1,0,4.92,-2.513,yes
bW,0,0,2.58,-1.428,yes
bX,1,0,5.74,-1.646,yes
bY,0,0,1.97,-1.436,no
bZ,1,0,4.05,-1.588,yes
ca,0,0,2.2,-1.802,yes
cb,1,0,4.76,-2.54,yes
cc,1,0,5.05,-1.61,no
cd,0,0,0.28,-1.087,no
ce,1,0,4.17,-1.254,yes
cf,1,0,3.73,-2.561,yes
cg,0,0,3.42,-1.424,yes
ch,1,0,4.96,-1.022,no
ci,1,0,3.28,-2.824,yes
cj,1,0,4.29,-1.437,yes
ck,1,0,7.4,-1.747,yes
cl,0,0,1.8,-1.516,no
cm,1,0,3.02,-2.357,yes
cn,0,0,2.82,-1.251,yes
co,0,0,0.94,-0.778,no
cp,1,0,3.91,-1.835,yes
cq,0,0,3.35,-1.893,no
cr,0,0,3.0,-0.529,yes
cs,0,0,3.25,-1.222,no
ct,0,0,1.41,-1.609,no
cu,0,0,5.78,-2.01,yes
cv,0,0,4.71,-2.046,no
cw,1,0,6.24,-1.947,yes
cx,0,0,2.03,-1.452,yes
cy,0,0,4.75,-2.466,yes
cz,1,0,5.01,-1.374,yes
cA,1,0,4.66,-2.923,yes
cB,1,0,5.83,-1.933,yes
cC,1,0,5.26,-1.453,yes
cD,1,0,4.05,-1.7,yes
cE,0,0,4.89,-1.574,yes
cF,1,0,2.76,-1.369,no
