ind1,inda,logp,lumo,mutagenic,molecule_id,node_type
1,0,4.793972015380859,-2.593183994293213,yes,48,molecule
1,0,2.935248613357544,-2.225506544113159,yes,49,molecule
0,0,1.8144869804382324,-1.1209137439727783,no,50,molecule
1,0,3.283647298812866,-1.5572121143341064,yes,51,molecule
1,0,4.625794887542725,-1.1511430740356445,no,52,molecule
0,0,1.727196216583252,-0.7601574659347534,no,53,molecule
1,0,4.132922649383545,-2.012406349182129,yes,54,molecule
1,0,4.494375228881836,-2.674894332885742,yes,55,molecule
1,0,3.5059967041015625,-1.8159751892089844,yes,56,molecule
1,0,3.092219591140747,-2.9300806522369385,yes,57,molecule
0,0,3.2154183387756348,-1.3522820472717285,yes,58,molecule
0,0,1.9702682495117188,-0.7479060292243958,no,59,molecule
0,0,4.019518852233887,-1.6370784044265747,yes,60,molecule
0,0,1.1109364032745361,-2.1558685302734375,yes,61,molecule
1,0,3.673210382461548,-1.1707098484039307,yes,62,molecule
1,0,3.9425337314605713,-1.2638875246047974,yes,63,molecule
0,0,0.6201544404029846,-0.7125495672225952,no,64,molecule
1,0,3.343499183654785,-2.429232120513916,yes,65,molecule
0,0,2.4894373416900635,-1.5881011486053467,no,66,molecule
0,0,3.043219804763794,-0.8631083369255066,no,67,molecule
0,0,0.518190860748291,-1.5231519937515259,no,68,molecule
1,0,4.209361553192139,-1.570273756980896,yes,69,molecule
0,0,2.7169899940490723,-3.6302337646484375,yes,70,molecule
1,0,1.8915218114852905,-2.092716932296753,yes,71,molecule
1,0,5.196571350097656,-1.7625585794448853,yes,72,molecule
1,0,5.12116003036499,-2.1505589485168457,yes,73,molecule
1,0,5.029268741607666,-1.3119401931762695,yes,74,molecule
0,0,1.9764302968978882,-2.2098076343536377,yes,75,molecule
1,0,4.0966339111328125,-1.2367985248565674,yes,76,molecule
1,0,4.881632328033447,-1.3887606859207153,yes,77,molecule
1,0,4.544378757476807,-1.1782763004302979,yes,78,molecule
0,0,2.6636433601379395,-1.2165372371673584,yes,79,molecule
0,0,1.8263800144195557,-1.4017841815948486,no,80,molecule
1,0,4.682520866394043,-1.1651179790496826,yes,81,molecule
0,0,4.146198272705078,-2.190455675125122,yes,82,molecule
0,0,3.200213670730591,-1.1474334001541138,no,83,molecule
1,0,2.469107151031494,-2.2583296298980713,yes,84,molecule
1,0,3.418846845626831,-2.1970293521881104,yes,85,molecule
0,0,2.299118995666504,-1.173897385597229,no,86,molecule
1,0,3.2223355770111084,-1.0854899883270264,no,87,molecule
0,0,2.55405592918396,-1.0191503763198853,no,88,molecule
0,0,2.869213581085205,-1.6090391874313354,no,89,molecule
1,0,2.158118486404419,-2.2829298973083496,yes,90,molecule
0,0,2.6275713443756104,-1.2534737586975098,no,91,molecule
1,0,4.820967674255371,-2.0476245880126953,yes,92,molecule
1,0,4.888806343078613,-2.1577694416046143,yes,93,molecule
1,0,4.951613903045654,-1.8324335813522339,yes,94,molecule
0,0,1.8074363470077515,-1.3470971584320068,no,95,molecule
1,0,5.277717590332031,-1.4992356300354004,yes,96,molecule
1,0,4.0596184730529785,-1.6107232570648193,yes,97,molecule
1,0,4.718585968017578,-2.225031852722168,yes,98,molecule
1,0,4.681503772735596,-1.5620324611663818,yes,99,molecule
0,0,2.9344494342803955,-0.7727512717247009,no,100,molecule
1,1,4.598588466644287,-2.0202834606170654,yes,101,molecule
1,0,4.5635175704956055,-1.2055763006210327,yes,102,molecule
0,0,1.856048822402954,-1.9526851177215576,yes,103,molecule
1,0,3.009920835494995,-2.4196653366088867,yes,104,molecule
1,1,4.95729923248291,-2.2567832469940186,yes,105,molecule
0,0,2.906400680541992,-1.2379343509674072,no,106,molecule
0,0,3.5597808361053467,-3.643221378326416,yes,107,molecule
1,0,4.009790420532227,-1.8159488439559937,yes,108,molecule
1,0,3.5020108222961426,-2.275386333465576,yes,109,molecule
0,0,3.4211788177490234,-1.843346118927002,yes,110,molecule
1,0,4.754945278167725,-2.1801180839538574,yes,111,molecule
1,0,4.352736949920654,-2.165083169937134,yes,112,molecule
1,0,4.3318705558776855,-1.8211723566055298,yes,113,molecule
0,0,3.288672924041748,-3.217007875442505,yes,114,molecule
0,0,1.7291909456253052,-1.6653801202774048,no,115,molecule
1,0,4.716228485107422,-1.1960524320602417,yes,116,molecule
1,0,4.668262481689453,-2.054004669189453,yes,117,molecule
1,0,4.3305253982543945,-2.191879987716675,yes,118,molecule
0,0,2.5203802585601807,-1.114381194114685,no,119,molecule
1,1,5.18460750579834,-2.0410237312316895,yes,120,molecule
0,0,2.925827741622925,-0.8745801448822021,no,121,molecule
1,0,7.436287879943848,-1.9657074213027954,yes,122,molecule
1,1,5.039615631103516,-1.9233404397964478,yes,123,molecule
0,0,1.263946533203125,-1.3125920295715332,yes,124,molecule
0,0,2.87821364402771,-0.5903201699256897,no,125,molecule
0,0,1.6899940967559814,-1.1510076522827148,no,126,molecule
1,0,5.645689964294434,-1.228974461555481,yes,127,molecule
1,0,4.651860237121582,-1.639608383178711,yes,128,molecule
1,1,5.148856163024902,-1.9610917568206787,yes,129,molecule
0,0,2.562751293182373,-1.23607337474823,yes,130,molecule
1,1,5.37199592590332,-2.0189850330352783,yes,131,molecule
1,0,3.8571383953094482,-1.3324036598205566,yes,132,molecule
1,0,5.541200637817383,-1.7510353326797485,yes,133,molecule
1,0,4.612643241882324,-2.240243911743164,yes,134,molecule
0,0,2.8284173011779785,-1.6311265230178833,yes,135,molecule
1,0,3.837026357650757,-1.1984022855758667,yes,136,molecule
1,0,4.852372169494629,-1.783935546875,yes,137,molecule
1,0,4.8568291664123535,-1.8610764741897583,yes,138,molecule
1,0,4.634356498718262,-1.6502381563186646,yes,139,molecule
1,0,7.416483402252197,-1.6400288343429565,yes,140,molecule
0,0,2.8933165073394775,-1.1989034414291382,no,141,molecule
1,0,2.4489905834198,-1.3891465663909912,yes,142,molecule
0,0,2.1912949085235596,-1.1664639711380005,no,143,molecule
0,0,2.1752243041992188,-1.3913376331329346,yes,144,molecule
0,0,2.3482115268707275,-1.1232587099075317,no,145,molecule
1,0,2.96165132522583,-3.247011661529541,yes,146,molecule
1,0,3.770869731903076,-3.1251437664031982,yes,147,molecule
1,0,4.689702987670898,-1.7305104732513428,yes,148,molecule
1,0,7.839866638183594,-1.5190974473953247,no,149,molecule
0,0,2.419386148452759,-1.1877672672271729,no,150,molecule
0,0,2.4828708171844482,-1.669606328010559,no,151,molecule
1,0,4.556941032409668,-1.717256784439087,yes,152,molecule
1,0,2.7178266048431396,-2.2213220596313477,yes,153,molecule
0,0,2.356825590133667,-1.2388991117477417,yes,154,molecule
1,0,6.071629047393799,-2.112332820892334,yes,155,molecule
1,0,4.9138946533203125,-2.0053534507751465,yes,156,molecule
0,0,2.239644765853882,-1.2368193864822388,no,157,molecule
0,0,2.6884653568267822,-2.149082660675049,yes,158,molecule
1,0,4.516909599304199,-1.3722481727600098,yes,159,molecule
1,0,3.630140542984009,-1.6960879564285278,yes,160,molecule
1,0,4.895244121551514,-1.8575352430343628,yes,161,molecule
1,0,4.465757369995117,-2.0331366062164307,yes,162,molecule
1,0,5.5245490074157715,-1.6844515800476074,yes,163,molecule
0,0,2.993053913116455,-1.5412944555282593,yes,164,molecule
0,0,0.7420375347137451,-1.307763695716858,yes,165,molecule
1,0,6.952898025512695,-1.2630711793899536,no,166,molecule
1,0,4.062158584594727,-2.1343235969543457,yes,167,molecule
0,0,1.7891398668289185,-1.915765404701233,yes,168,molecule
0,0,3.6219770908355713,-1.1988747119903564,no,169,molecule
0,0,2.732267141342163,-1.7580581903457642,no,170,molecule
1,0,6.1766557693481445,-1.2822284698486328,no,171,molecule
1,0,5.025909900665283,-1.6354602575302124,yes,172,molecule
1,0,4.49080228805542,-1.6030385494232178,yes,173,molecule
0,0,2.2658846378326416,-1.7358667850494385,no,174,molecule
0,0,2.6399035453796387,-0.6901617646217346,no,175,molecule
0,0,4.014792442321777,-1.295606255531311,no,176,molecule
1,0,5.194565296173096,-1.6519010066986084,yes,177,molecule
1,0,5.0120697021484375,-1.670059084892273,yes,178,molecule
0,0,2.6731603145599365,-0.8298091888427734,no,179,molecule
1,0,4.365017414093018,-2.314897298812866,yes,180,molecule
1,0,4.5373969078063965,-1.8123984336853027,yes,181,molecule
0,0,2.91278076171875,-2.751507043838501,yes,182,molecule
1,0,4.6603899002075195,-2.244734287261963,yes,183,molecule
1,0,5.57051944732666,-2.25285005569458,yes,184,molecule
1,0,4.519245147705078,-2.118821144104004,yes,185,molecule
0,0,4.622769355773926,-1.1970981359481812,no,186,molecule
1,0,2.333655595779419,-2.284958839416504,yes,187,molecule
