element,type,charge,molecule_id,atom_id,node_type
h,3,0.061,2,74,atom
h,3,0.149,2,75,atom
h,3,0.154,2,76,atom
c,22,-0.124,2,77,atom
c,22,-0.115,2,78,atom
c,22,-0.124,2,79,atom
h,3,0.137,3,80,atom
h,3,0.135,3,81,atom
h,3,0.136,3,82,atom
h,3,0.188,3,83,atom
h,3,0.061,3,84,atom
c,22,-0.119,3,85,atom
c,22,0.822,3,86,atom
n,38,0.822,3,87,atom
h,3,0.149,3,88,atom
h,3,0.136,3,89,atom
c,22,-0.116,3,90,atom
h,3,0.073,3,91,atom
c,22,0.005,3,92,atom
h,3,0.143,3,93,atom
h,3,-0.122,3,94,atom
o,40,0.015,3,95,atom
n,32,-0.413,3,96,atom
c,3,0.142,3,97,atom
h,3,0.061,3,98,atom
n,38,0.805,3,99,atom
c,22,-0.124,3,100,atom
c,22,-0.126,3,101,atom
o,40,-0.397,3,102,atom
o,40,-0.083,3,103,atom
c,45,-0.104,3,104,atom
h,3,0.135,3,105,atom
n,38,0.011,3,106,atom
c,22,0.005,3,107,atom
c,22,-0.126,3,108,atom
o,40,-0.391,4,109,atom
h,3,0.129,4,110,atom
o,40,-0.191,4,111,atom
h,3,-0.131,4,112,atom
h,3,0.136,4,113,atom
h,3,0.152,4,114,atom
o,40,-0.395,4,115,atom
c,22,-0.115,4,116,atom
c,22,-0.08,4,117,atom
h,3,0.145,4,118,atom
h,3,0.136,4,119,atom
h,3,0.288,4,120,atom
h,3,0.154,4,121,atom
c,34,0.09,4,122,atom
c,22,0.005,4,123,atom
n,38,0.822,4,124,atom
c,22,-0.122,4,125,atom
h,3,0.108,4,126,atom
h,3,0.058,4,127,atom
h,3,-0.134,4,128,atom
h,3,0.139,4,129,atom
c,22,0.816,4,130,atom
c,22,0.118,4,131,atom
c,22,-0.115,4,132,atom
c,22,-0.133,5,133,atom
c,22,-0.124,5,134,atom
c,22,0.142,5,135,atom
c,22,-0.124,5,136,atom
h,3,0.136,5,137,atom
o,40,-0.191,5,138,atom
h,3,0.138,5,139,atom
c,34,-0.191,5,140,atom
h,3,0.061,5,141,atom
c,22,-0.384,5,142,atom
c,22,-0.121,5,143,atom
c,22,0.141,5,144,atom
c,27,0.012,5,145,atom
h,3,0.136,5,146,atom
c,22,-0.124,5,147,atom
c,22,-0.122,5,148,atom
c,22,-0.122,5,149,atom
c,22,-0.13,5,150,atom
h,3,0.139,5,151,atom
h,3,0.058,5,152,atom
o,40,-0.089,5,153,atom
h,3,0.15,5,154,atom
c,34,-0.137,5,155,atom
h,3,0.13,5,156,atom
o,40,-0.388,5,157,atom
h,3,0.136,5,158,atom
h,3,0.137,5,159,atom
h,3,0.129,5,160,atom
h,3,0.073,6,161,atom
h,3,0.152,6,162,atom
h,3,0.188,6,163,atom
h,3,0.152,6,164,atom
h,3,0.136,6,165,atom
c,22,-0.115,6,166,atom
c,22,-0.125,6,167,atom
c,22,-0.125,6,168,atom
h,3,0.139,6,169,atom
h,3,0.137,6,170,atom
o,40,-0.392,6,171,atom
h,3,0.137,6,172,atom
h,3,0.149,6,173,atom
h,3,0.136,6,174,atom
h,3,0.149,6,175,atom
c,22,-0.126,6,176,atom
c,22,0.128,6,177,atom
c,29,-0.091,6,178,atom
h,1,-0.074,6,179,atom
o,40,0.013,6,180,atom
c,22,-0.124,6,181,atom
h,3,0.152,6,182,atom
h,3,0.136,6,183,atom
h,3,0.137,6,184,atom
h,3,0.096,6,185,atom
n,38,0.182,6,186,atom
c,22,-0.124,6,187,atom
c,22,0.118,6,188,atom
h,3,0.139,7,189,atom
c,93,-0.191,7,190,atom
h,3,0.288,7,191,atom
h,3,0.134,7,192,atom
n,32,0.814,7,193,atom
c,22,0.132,7,194,atom
c,22,-0.122,7,195,atom
c,22,-0.124,7,196,atom
c,22,0.004,7,197,atom
c,22,-0.115,7,198,atom
f,3,-0.148,7,199,atom
c,93,0.006,7,200,atom
c,34,0.006,7,201,atom
h,3,0.152,7,202,atom
h,3,0.137,7,203,atom
c,22,-0.115,7,204,atom
c,27,-0.395,7,205,atom
c,27,-0.11,7,206,atom
c,93,-0.191,8,207,atom
c,1,-0.137,8,208,atom
h,3,0.154,8,209,atom
h,3,0.152,8,210,atom
h,3,0.136,8,211,atom
h,3,0.152,8,212,atom
h,3,0.058,8,213,atom
h,3,0.138,8,214,atom
o,40,0.005,8,215,atom
h,3,0.152,8,216,atom
c,22,-0.124,8,217,atom
h,3,0.13,8,218,atom
c,27,0.006,8,219,atom
c,27,-0.092,8,220,atom
c,22,-0.124,8,221,atom
c,22,-0.115,8,222,atom
h,3,0.149,8,223,atom
c,22,-0.115,8,224,atom
c,22,-0.123,8,225,atom
h,3,0.139,8,226,atom
h,3,0.129,8,227,atom
c,34,-0.191,8,228,atom
h,3,0.288,8,229,atom
c,22,0.153,8,230,atom
c,22,-0.118,8,231,atom
c,22,-0.11,8,232,atom
h,3,0.139,9,233,atom
h,3,0.154,9,234,atom
o,40,-0.076,9,235,atom
h,3,-0.131,9,236,atom
h,3,0.137,9,237,atom
c,22,-0.111,9,238,atom
c,22,-0.114,9,239,atom
h,3,-0.131,9,240,atom
h,3,-0.12,9,241,atom
h,3,0.058,9,242,atom
c,22,-0.126,9,243,atom
h,3,0.817,9,244,atom
c,22,-0.124,9,245,atom
h,3,0.136,9,246,atom
h,3,0.136,9,247,atom
h,3,0.127,9,248,atom
c,22,-0.126,9,249,atom
c,22,-0.125,9,250,atom
c,93,-0.15,9,251,atom
c,27,0.018,9,252,atom
n,28,0.163,9,253,atom
h,3,0.817,9,254,atom
h,3,0.149,9,255,atom
h,3,0.152,9,256,atom
h,3,0.187,9,257,atom
c,22,-0.392,9,258,atom
c,22,-0.115,9,259,atom
n,38,0.813,9,260,atom
o,40,-0.107,10,261,atom
o,40,-0.099,10,262,atom
h,3,-0.12,10,263,atom
h,3,0.137,10,264,atom
h,3,0.136,10,265,atom
c,22,-0.115,10,266,atom
c,29,0.008,10,267,atom
o,40,-0.395,10,268,atom
h,3,0.138,10,269,atom
h,3,0.055,10,270,atom
c,22,-0.119,10,271,atom
h,3,0.136,10,272,atom
c,22,-0.067,10,273,atom
h,3,0.137,10,274,atom
o,40,-0.395,10,275,atom
h,3,0.139,10,276,atom
c,22,-0.126,10,277,atom
h,3,0.149,10,278,atom
h,3,0.137,10,279,atom
c,22,-0.118,10,280,atom
c,22,-0.124,10,281,atom
c,22,-0.124,10,282,atom
o,40,-0.395,10,283,atom
h,3,0.136,10,284,atom
h,3,0.136,10,285,atom
o,40,-0.135,10,286,atom
c,22,0.153,10,287,atom
c,22,-0.122,10,288,atom
c,29,0.008,10,289,atom
c,22,-0.114,11,290,atom
c,22,-0.122,11,291,atom
n,38,-0.126,11,292,atom
c,22,-0.393,11,293,atom
h,3,0.136,11,294,atom
h,3,0.162,11,295,atom
h,3,0.145,11,296,atom
h,3,0.139,11,297,atom
h,3,0.061,11,298,atom
c,22,-0.114,11,299,atom
c,22,-0.115,11,300,atom
c,22,-0.133,11,301,atom
h,3,0.139,11,302,atom
c,22,-0.114,11,303,atom
h,3,0.152,11,304,atom
h,3,0.136,11,305,atom
h,3,0.135,12,306,atom
h,3,0.061,12,307,atom
c,22,0.005,12,308,atom
c,22,0.31,12,309,atom
h,3,0.152,12,310,atom
n,38,0.818,12,311,atom
h,3,0.152,12,312,atom
h,3,0.149,12,313,atom
h,3,0.139,12,314,atom
h,3,0.149,12,315,atom
h,3,0.139,12,316,atom
c,22,-0.126,12,317,atom
c,27,0.005,12,318,atom
c,22,-0.124,12,319,atom
c,29,0.006,12,320,atom
n,38,-0.115,12,321,atom
c,27,-0.39,12,322,atom
c,22,-0.126,12,323,atom
h,3,0.136,12,324,atom
c,22,0.046,12,325,atom
h,3,0.149,12,326,atom
h,3,0.288,12,327,atom
h,3,0.061,12,328,atom
c,22,-0.097,12,329,atom
c,22,-0.124,12,330,atom
h,3,0.137,12,331,atom
h,3,0.817,12,332,atom
h,3,0.136,12,333,atom
h,3,0.136,12,334,atom
h,3,0.149,12,335,atom
h,3,0.151,13,336,atom
c,22,-0.115,13,337,atom
o,40,-0.395,13,338,atom
c,22,-0.125,13,339,atom
c,22,-0.115,13,340,atom
h,3,0.149,13,341,atom
n,38,0.806,13,342,atom
c,22,-0.114,13,343,atom
h,3,0.154,13,344,atom
h,3,0.136,13,345,atom
h,3,0.056,13,346,atom
h,3,0.143,13,347,atom
h,3,0.143,13,348,atom
n,38,0.817,13,349,atom
c,22,-0.115,13,350,atom
c,22,-0.115,13,351,atom
c,22,-0.114,14,352,atom
c,22,0.118,14,353,atom
c,22,-0.125,14,354,atom
c,22,0.145,14,355,atom
n,38,-0.126,14,356,atom
c,22,-0.124,14,357,atom
c,22,-0.124,14,358,atom
c,22,-0.122,14,359,atom
h,3,0.061,14,360,atom
h,3,0.136,14,361,atom
h,3,0.137,14,362,atom
h,3,0.152,14,363,atom
h,3,0.061,14,364,atom
o,40,-0.393,14,365,atom
o,40,-0.11,14,366,atom
h,3,0.136,14,367,atom
c,22,-0.115,14,368,atom
c,22,-0.115,14,369,atom
h,3,0.061,14,370,atom
c,22,-0.115,14,371,atom
h,3,0.127,14,372,atom
h,3,0.073,14,373,atom
o,40,-0.393,14,374,atom
o,40,-0.395,14,375,atom
h,3,0.149,14,376,atom
o,40,-0.381,14,377,atom
h,3,0.149,14,378,atom
h,1,0.188,14,379,atom
h,3,0.12,15,380,atom
c,22,-0.125,15,381,atom
h,3,0.058,15,382,atom
h,3,0.139,15,383,atom
o,40,-0.398,15,384,atom
h,3,0.136,15,385,atom
h,21,0.823,15,386,atom
h,3,0.149,15,387,atom
c,22,-0.067,15,388,atom
c,22,0.132,15,389,atom
c,22,0.017,15,390,atom
h,3,0.12,15,391,atom
c,22,0.004,15,392,atom
o,40,-0.395,15,393,atom
h,3,0.137,15,394,atom
o,40,-0.395,15,395,atom
o,40,-0.395,15,396,atom
c,40,-0.076,15,397,atom
c,22,-0.137,15,398,atom
h,3,0.329,15,399,atom
h,3,0.152,15,400,atom
h,3,0.137,15,401,atom
o,40,-0.076,15,402,atom
c,22,-0.115,15,403,atom
c,22,-0.125,15,404,atom
c,22,-0.126,15,405,atom
o,40,-0.418,16,406,atom
h,3,0.136,16,407,atom
h,3,0.134,16,408,atom
h,3,0.154,16,409,atom
h,3,0.061,16,410,atom
c,22,-0.124,16,411,atom
c,27,0.008,16,412,atom
h,3,0.135,16,413,atom
h,3,0.139,16,414,atom
h,3,0.152,16,415,atom
c,22,0.282,16,416,atom
h,3,0.137,16,417,atom
c,22,-0.111,16,418,atom
o,40,-0.401,16,419,atom
o,40,-0.114,16,420,atom
h,3,0.288,16,421,atom
c,22,-0.124,16,422,atom
o,40,0.03,16,423,atom
h,3,0.073,16,424,atom
c,22,-0.111,16,425,atom
c,29,0.011,16,426,atom
c,22,-0.126,16,427,atom
h,3,0.137,16,428,atom
h,3,0.136,16,429,atom
h,3,0.149,16,430,atom
h,3,0.135,16,431,atom
c,22,-0.124,16,432,atom
c,22,-0.124,16,433,atom
c,22,-0.115,16,434,atom
h,3,0.188,17,435,atom
h,3,0.188,17,436,atom
h,3,0.136,17,437,atom
h,3,0.136,17,438,atom
n,35,-0.137,17,439,atom
h,3,0.139,17,440,atom
c,22,-0.124,17,441,atom
c,22,-0.114,17,442,atom
c,22,0.832,17,443,atom
o,40,-0.395,17,444,atom
c,34,-0.191,17,445,atom
h,3,0.329,17,446,atom
o,40,-0.39,17,447,atom
o,34,0.008,17,448,atom
n,21,0.806,17,449,atom
c,22,-0.115,17,450,atom
c,22,-0.124,17,451,atom
c,22,0.808,17,452,atom
c,27,-0.091,17,453,atom
n,38,-0.126,17,454,atom
n,38,-0.126,17,455,atom
c,22,-0.115,17,456,atom
o,40,-0.096,17,457,atom
h,3,-0.167,17,458,atom
h,3,0.136,17,459,atom
h,3,0.129,17,460,atom
o,40,-0.395,17,461,atom
h,3,0.136,17,462,atom
o,40,-0.148,17,463,atom
c,22,-0.121,18,464,atom
h,3,0.152,18,465,atom
h,3,0.149,18,466,atom
c,34,-0.191,18,467,atom
c,22,-0.122,18,468,atom
c,29,-0.083,18,469,atom
c,22,-0.118,18,470,atom
h,3,0.129,18,471,atom
o,40,-0.385,18,472,atom
h,3,0.067,18,473,atom
h,3,0.152,18,474,atom
c,22,-0.121,18,475,atom
c,22,-0.124,18,476,atom
c,22,-0.115,18,477,atom
h,3,0.137,18,478,atom
h,3,0.058,18,479,atom
h,3,0.15,18,480,atom
o,40,0.008,18,481,atom
h,3,0.136,18,482,atom
c,22,-0.125,18,483,atom
h,3,-0.084,18,484,atom
h,3,0.152,18,485,atom
o,40,-0.395,18,486,atom
h,3,0.137,18,487,atom
h,3,0.13,18,488,atom
h,3,0.137,18,489,atom
h,3,0.129,18,490,atom
c,27,0.008,18,491,atom
c,22,-0.121,18,492,atom
c,22,0.118,19,493,atom
c,22,-0.121,19,494,atom
c,27,0.108,19,495,atom
c,22,-0.126,19,496,atom
n,38,0.818,19,497,atom
c,22,-0.115,19,498,atom
c,22,-0.111,19,499,atom
c,22,-0.126,19,500,atom
h,3,0.188,19,501,atom
h,3,0.152,19,502,atom
h,3,0.152,19,503,atom
h,3,0.149,19,504,atom
h,3,0.059,19,505,atom
h,3,0.134,19,506,atom
o,40,-0.381,19,507,atom
h,3,0.151,19,508,atom
h,3,0.129,19,509,atom
h,3,0.137,19,510,atom
h,3,0.054,19,511,atom
o,40,-0.397,19,512,atom
h,3,0.136,19,513,atom
n,38,0.809,19,514,atom
c,22,-0.39,19,515,atom
o,40,-0.122,19,516,atom
c,22,-0.126,19,517,atom
c,22,-0.124,19,518,atom
h,3,0.149,19,519,atom
c,22,-0.111,19,520,atom
h,3,0.136,20,521,atom
c,22,0.832,20,522,atom
h,3,0.152,20,523,atom
h,3,0.135,20,524,atom
h,3,0.152,20,525,atom
h,3,0.136,20,526,atom
h,3,0.152,20,527,atom
h,3,0.188,20,528,atom
c,22,-0.118,20,529,atom
c,22,-0.124,20,530,atom
c,22,-0.118,20,531,atom
h,3,0.152,20,532,atom
c,22,-0.124,20,533,atom
h,3,0.136,20,534,atom
h,3,0.817,20,535,atom
c,45,0.012,20,536,atom
c,22,-0.126,20,537,atom
c,22,-0.124,20,538,atom
c,22,-0.126,20,539,atom
h,3,0.188,20,540,atom
o,40,-0.394,20,541,atom
h,3,0.136,20,542,atom
h,3,0.012,20,543,atom
c,22,-0.111,20,544,atom
c,22,-0.111,20,545,atom
c,22,0.128,20,546,atom
h,3,0.149,21,547,atom
c,22,-0.115,21,548,atom
o,40,-0.394,21,549,atom
h,3,0.073,21,550,atom
c,34,-0.137,21,551,atom
h,3,0.152,21,552,atom
c,22,-0.119,21,553,atom
c,22,0.153,21,554,atom
h,3,0.061,21,555,atom
h,3,0.135,21,556,atom
o,40,-0.396,21,557,atom
h,3,0.188,21,558,atom
h,3,0.139,21,559,atom
c,22,0.004,21,560,atom
c,22,-0.124,21,561,atom
c,22,-0.125,21,562,atom
h,3,0.136,21,563,atom
h,3,0.149,21,564,atom
c,22,-0.125,21,565,atom
h,3,0.139,21,566,atom
h,3,0.188,21,567,atom
h,3,0.822,21,568,atom
h,3,0.152,21,569,atom
c,22,-0.124,21,570,atom
c,22,-0.126,21,571,atom
c,22,-0.129,21,572,atom
c,93,0.006,22,573,atom
h,3,0.137,22,574,atom
h,3,0.149,22,575,atom
o,40,-0.393,22,576,atom
c,22,-0.133,22,577,atom
n,34,-0.094,22,578,atom
n,38,0.813,22,579,atom
c,27,-0.097,22,580,atom
c,27,0.805,22,581,atom
h,3,0.149,22,582,atom
c,93,-0.137,22,583,atom
c,22,-0.133,22,584,atom
n,38,0.832,22,585,atom
h,3,0.152,22,586,atom
h,3,0.136,22,587,atom
h,3,0.152,22,588,atom
h,3,0.145,22,589,atom
c,22,-0.118,22,590,atom
c,22,-0.115,22,591,atom
c,22,0.282,22,592,atom
h,3,0.139,23,593,atom
o,40,0.03,23,594,atom
o,40,-0.123,23,595,atom
h,3,0.137,23,596,atom
h,3,0.108,23,597,atom
h,3,0.149,23,598,atom
c,34,-0.084,23,599,atom
h,3,0.058,23,600,atom
h,3,0.817,23,601,atom
c,22,-0.126,23,602,atom
c,22,0.118,23,603,atom
h,3,0.139,23,604,atom
c,22,-0.124,23,605,atom
c,22,-0.126,23,606,atom
c,29,0.138,23,607,atom
c,22,-0.124,23,608,atom
c,22,-0.125,23,609,atom
c,22,-0.074,23,610,atom
c,22,-0.126,23,611,atom
c,27,-0.091,23,612,atom
c,22,-0.125,23,613,atom
n,38,0.809,23,614,atom
h,3,0.135,23,615,atom
c,22,-0.108,23,616,atom
h,3,0.145,23,617,atom
h,3,0.137,23,618,atom
h,3,0.817,23,619,atom
n,38,-0.39,23,620,atom
o,40,-0.384,23,621,atom
h,3,-0.134,23,622,atom
c,29,-0.122,24,623,atom
o,40,0.015,24,624,atom
o,40,0.282,24,625,atom
h,3,0.136,24,626,atom
o,40,-0.395,24,627,atom
h,3,0.141,24,628,atom
o,40,-0.385,24,629,atom
o,40,-0.386,24,630,atom
h,3,0.136,24,631,atom
h,3,0.141,24,632,atom
o,40,-0.395,24,633,atom
c,22,-0.131,24,634,atom
h,3,0.141,24,635,atom
c,22,0.055,24,636,atom
c,22,0.137,24,637,atom
c,22,-0.119,24,638,atom
o,45,-0.383,24,639,atom
c,22,0.019,24,640,atom
c,22,0.137,24,641,atom
n,32,-0.412,24,642,atom
c,22,0.112,24,643,atom
c,27,0.014,24,644,atom
n,21,0.054,24,645,atom
c,22,0.019,24,646,atom
n,32,-0.412,24,647,atom
c,27,0.014,24,648,atom
n,32,-0.533,24,649,atom
c,22,-0.128,24,650,atom
h,3,0.153,24,651,atom
n,14,-0.398,24,652,atom
o,40,-0.108,24,653,atom
c,22,0.019,24,654,atom
n,38,0.814,24,655,atom
c,3,0.141,24,656,atom
c,27,0.144,24,657,atom
c,22,0.012,24,658,atom
c,22,0.188,24,659,atom
n,38,-0.119,24,660,atom
o,40,0.059,24,661,atom
c,29,0.141,24,662,atom
h,3,0.152,25,663,atom
h,3,0.139,25,664,atom
h,3,0.817,25,665,atom
n,38,-0.382,25,666,atom
n,38,-0.398,25,667,atom
c,22,-0.122,25,668,atom
c,22,-0.115,25,669,atom
c,27,0.016,25,670,atom
c,22,0.108,25,671,atom
h,3,0.149,25,672,atom
h,3,0.817,25,673,atom
c,26,-0.393,25,674,atom
c,40,-0.4,25,675,atom
o,40,-0.391,25,676,atom
c,93,0.823,25,677,atom
h,3,0.127,25,678,atom
h,3,0.125,25,679,atom
c,22,-0.088,25,680,atom
c,22,-0.11,25,681,atom
c,22,-0.114,25,682,atom
c,22,-0.125,26,683,atom
h,3,0.056,26,684,atom
c,22,-0.067,26,685,atom
h,3,0.136,26,686,atom
h,3,0.288,26,687,atom
h,3,0.288,26,688,atom
h,3,0.137,26,689,atom
h,3,0.13,26,690,atom
h,3,0.817,26,691,atom
c,22,-0.126,26,692,atom
c,29,-0.385,26,693,atom
c,22,0.015,26,694,atom
h,3,0.129,26,695,atom
c,22,-0.118,26,696,atom
h,3,0.134,26,697,atom
c,34,0.09,26,698,atom
c,22,-0.067,26,699,atom
c,27,-0.091,26,700,atom
c,22,0.202,26,701,atom
c,22,-0.393,26,702,atom
h,3,0.152,26,703,atom
h,3,0.817,26,704,atom
h,3,0.149,26,705,atom
h,3,0.149,26,706,atom
c,22,0.202,26,707,atom
c,22,-0.115,26,708,atom
h,3,0.817,27,709,atom
n,34,-0.144,27,710,atom
h,3,0.152,27,711,atom
c,22,0.118,27,712,atom
c,22,0.141,27,713,atom
h,3,0.152,27,714,atom
c,22,0.118,27,715,atom
c,22,-0.388,27,716,atom
c,34,-0.076,27,717,atom
c,22,-0.118,27,718,atom
c,22,-0.393,27,719,atom
h,3,0.129,27,720,atom
h,3,0.152,27,721,atom
h,3,0.061,27,722,atom
h,3,0.136,27,723,atom
h,3,0.017,27,724,atom
c,22,0.282,27,725,atom
c,22,0.012,27,726,atom
c,22,-0.122,27,727,atom
h,3,0.136,28,728,atom
c,22,-0.126,28,729,atom
h,3,0.152,28,730,atom
h,3,0.13,28,731,atom
o,40,-0.395,28,732,atom
h,3,0.152,28,733,atom
o,40,-0.395,28,734,atom
h,3,0.152,28,735,atom
c,22,0.015,28,736,atom
c,22,-0.122,28,737,atom
c,22,-0.124,28,738,atom
h,3,0.139,28,739,atom
c,22,-0.089,28,740,atom
h,3,0.152,28,741,atom
h,3,0.056,28,742,atom
c,34,0.025,28,743,atom
c,22,-0.124,28,744,atom
c,22,0.128,28,745,atom
c,22,-0.115,28,746,atom
h,3,0.152,28,747,atom
o,40,-0.076,28,748,atom
o,40,-0.395,28,749,atom
h,3,0.152,28,750,atom
c,22,-0.122,28,751,atom
c,22,-0.115,28,752,atom
c,22,-0.124,28,753,atom
c,22,-0.124,29,754,atom
h,3,0.135,29,755,atom
h,3,0.152,29,756,atom
o,40,-0.076,29,757,atom
c,22,-0.122,29,758,atom
c,22,-0.124,29,759,atom
c,27,0.158,29,760,atom
n,38,0.008,29,761,atom
n,38,-0.126,29,762,atom
c,22,-0.39,29,763,atom
c,22,-0.378,29,764,atom
h,3,0.136,29,765,atom
h,3,0.154,29,766,atom
n,38,0.198,29,767,atom
h,3,0.152,29,768,atom
c,22,-0.133,29,769,atom
h,3,0.136,29,770,atom
h,3,0.139,29,771,atom
h,3,0.139,29,772,atom
h,3,0.152,29,773,atom
h,3,0.108,29,774,atom
c,27,0.015,29,775,atom
h,3,0.136,29,776,atom
h,3,0.288,29,777,atom
h,3,0.288,29,778,atom
h,3,0.129,29,779,atom
h,3,0.136,29,780,atom
o,40,-0.379,29,781,atom
h,3,0.129,29,782,atom
c,22,-0.392,29,783,atom
h,3,0.061,30,784,atom
c,22,-0.067,30,785,atom
h,3,0.137,30,786,atom
o,40,-0.291,30,787,atom
h,3,0.137,30,788,atom
h,3,0.136,30,789,atom
h,3,0.061,30,790,atom
h,3,0.058,30,791,atom
c,22,0.015,30,792,atom
n,38,-0.126,30,793,atom
n,34,-0.401,30,794,atom
h,3,0.136,30,795,atom
c,22,-0.115,30,796,atom
h,3,0.152,30,797,atom
h,3,0.137,30,798,atom
c,34,-0.191,30,799,atom
c,22,-0.115,30,800,atom
c,22,-0.125,30,801,atom
c,22,-0.126,30,802,atom
h,3,0.152,30,803,atom
h,3,0.136,30,804,atom
h,3,0.135,30,805,atom
h,3,0.136,30,806,atom
c,22,-0.122,30,807,atom
n,38,-0.126,30,808,atom
c,22,0.202,30,809,atom
h,3,0.135,31,810,atom
c,22,-0.123,31,811,atom
n,28,0.011,31,812,atom
h,3,0.137,31,813,atom
h,3,0.136,31,814,atom
c,22,-0.126,31,815,atom
c,29,0.004,31,816,atom
c,22,-0.291,31,817,atom
c,22,-0.121,31,818,atom
h,3,0.137,31,819,atom
h,3,0.096,31,820,atom
h,3,0.188,31,821,atom
h,3,0.152,31,822,atom
c,22,-0.124,31,823,atom
c,22,-0.122,31,824,atom
c,22,-0.124,31,825,atom
o,40,0.814,31,826,atom
h,3,0.188,31,827,atom
o,40,-0.379,31,828,atom
h,3,0.136,31,829,atom
h,3,0.137,31,830,atom
h,3,0.136,31,831,atom
h,3,0.154,31,832,atom
c,22,-0.121,31,833,atom
c,22,-0.168,31,834,atom
c,22,-0.126,31,835,atom
h,3,0.055,31,836,atom
h,3,0.129,32,837,atom
c,93,0.006,32,838,atom
h,3,0.152,32,839,atom
h,3,0.152,32,840,atom
h,3,0.152,32,841,atom
c,22,-0.084,32,842,atom
c,22,0.146,32,843,atom
c,22,-0.114,32,844,atom
h,3,0.139,32,845,atom
n,38,-0.115,32,846,atom
c,27,-0.083,32,847,atom
h,3,0.152,32,848,atom
h,3,0.822,32,849,atom
h,3,0.139,32,850,atom
h,3,0.134,32,851,atom
c,93,0.135,32,852,atom
c,22,0.142,32,853,atom
c,22,-0.115,32,854,atom
c,22,-0.122,32,855,atom
h,3,0.15,33,856,atom
c,93,-0.074,33,857,atom
o,40,-0.129,33,858,atom
h,3,-0.134,33,859,atom
h,3,0.134,33,860,atom
c,22,-0.124,33,861,atom
h,3,0.152,33,862,atom
h,3,0.061,33,863,atom
h,3,0.136,33,864,atom
n,38,0.182,33,865,atom
c,22,0.141,33,866,atom
h,3,0.129,33,867,atom
o,40,-0.393,33,868,atom
c,93,-0.191,33,869,atom
h,3,0.152,33,870,atom
c,22,-0.119,33,871,atom
c,22,0.142,33,872,atom
c,22,-0.115,33,873,atom
h,3,0.198,33,874,atom
c,22,-0.122,33,875,atom
c,22,-0.067,33,876,atom
o,40,-0.418,33,877,atom
h,3,0.12,33,878,atom
h,3,0.152,33,879,atom
c,93,-0.396,33,880,atom
c,22,-0.119,33,881,atom
c,22,-0.404,33,882,atom
c,22,-0.125,33,883,atom
h,3,0.142,34,884,atom
o,40,-0.384,34,885,atom
h,3,0.145,34,886,atom
o,40,-0.39,34,887,atom
c,22,-0.113,34,888,atom
c,29,0.132,34,889,atom
h,3,0.138,34,890,atom
o,40,-0.369,34,891,atom
h,3,0.135,34,892,atom
n,28,0.818,34,893,atom
c,22,-0.116,34,894,atom
h,3,0.136,34,895,atom
h,3,0.058,34,896,atom
h,3,0.141,34,897,atom
h,3,0.155,34,898,atom
c,32,0.016,34,899,atom
c,32,-0.391,34,900,atom
h,3,0.152,34,901,atom
h,3,0.139,34,902,atom
c,29,-0.129,34,903,atom
