element,type,charge,molecule_id,atom_id,node_type
c,22,-0.123,12,331,atom
c,22,-0.114,12,332,atom
h,3,0.058,12,333,atom
h,3,0.062,12,334,atom
h,3,0.147,12,335,atom
h,3,0.145,13,336,atom
c,22,-0.114,13,337,atom
n,32,-0.412,13,338,atom
c,22,-0.111,13,339,atom
h,3,0.129,13,340,atom
h,3,-0.125,13,341,atom
h,3,0.149,13,342,atom
o,40,0.011,13,343,atom
c,22,-0.113,13,344,atom
c,22,-0.115,13,345,atom
c,22,-0.122,13,346,atom
o,40,-0.381,13,347,atom
c,22,0.137,13,348,atom
c,22,-0.142,13,349,atom
c,22,-0.114,13,350,atom
h,3,0.066,13,351,atom
n,38,0.81,14,352,atom
h,3,0.062,14,353,atom
h,3,0.129,14,354,atom
h,3,0.282,14,355,atom
h,3,0.123,14,356,atom
c,27,-0.085,14,357,atom
c,29,0.818,14,358,atom
c,22,-0.122,14,359,atom
o,40,-0.4,14,360,atom
c,27,0.112,14,361,atom
c,22,-0.122,14,362,atom
c,27,0.009,14,363,atom
h,3,0.059,14,364,atom
c,22,-0.111,14,365,atom
c,22,-0.148,14,366,atom
c,22,-0.113,14,367,atom
h,3,0.132,14,368,atom
c,22,-0.112,14,369,atom
c,22,-0.393,14,370,atom
o,40,-0.39,14,371,atom
c,22,-0.126,14,372,atom
c,22,0.016,14,373,atom
c,22,-0.118,14,374,atom
c,27,-0.11,14,375,atom
h,3,0.145,14,376,atom
c,22,-0.097,14,377,atom
n,38,0.812,14,378,atom
c,22,-0.114,14,379,atom
h,3,0.142,15,380,atom
c,22,-0.125,15,381,atom
c,38,0.009,15,382,atom
h,3,0.147,15,383,atom
c,22,-0.13,15,384,atom
c,22,-0.118,15,385,atom
h,3,0.134,15,386,atom
c,22,-0.396,15,387,atom
h,3,0.145,15,388,atom
n,38,0.136,15,389,atom
h,3,0.132,15,390,atom
h,3,0.163,15,391,atom
c,22,0.046,15,392,atom
o,40,-0.383,15,393,atom
h,3,-0.106,15,394,atom
c,29,0.004,15,395,atom
c,22,-0.122,15,396,atom
h,3,0.142,15,397,atom
h,3,0.145,15,398,atom
c,22,-0.118,15,399,atom
h,3,0.145,15,400,atom
c,22,-0.109,15,401,atom
c,22,-0.128,15,402,atom
c,29,0.002,15,403,atom
h,3,0.126,15,404,atom
c,22,0.01,15,405,atom
n,38,0.812,16,406,atom
h,3,0.142,16,407,atom
c,22,-0.125,16,408,atom
h,3,0.146,16,409,atom
h,3,0.153,16,410,atom
c,10,-0.385,16,411,atom
c,22,-0.122,16,412,atom
o,40,-0.392,16,413,atom
c,22,-0.115,16,414,atom
h,3,0.282,16,415,atom
o,40,-0.398,16,416,atom
o,40,-0.385,16,417,atom
c,22,-0.142,16,418,atom
c,10,0.017,16,419,atom
h,3,0.132,16,420,atom
c,38,-0.11,16,421,atom
c,10,0.059,16,422,atom
c,22,-0.126,16,423,atom
h,1,0.816,16,424,atom
h,3,0.132,16,425,atom
c,22,-0.076,16,426,atom
h,3,0.145,16,427,atom
h,3,0.059,16,428,atom
c,22,-0.119,16,429,atom
h,3,0.135,16,430,atom
c,26,0.015,16,431,atom
c,22,-0.123,16,432,atom
c,22,-0.118,16,433,atom
h,3,0.142,16,434,atom
c,22,-0.116,17,435,atom
h,3,0.146,17,436,atom
h,3,0.142,17,437,atom
o,40,-0.384,17,438,atom
o,40,-0.107,17,439,atom
o,40,-0.393,17,440,atom
n,38,0.123,17,441,atom
o,40,-0.089,17,442,atom
c,93,-0.084,17,443,atom
o,40,-0.382,17,444,atom
h,3,-0.142,17,445,atom
o,40,0.805,17,446,atom
h,3,0.137,17,447,atom
h,3,0.064,17,448,atom
c,10,0.147,17,449,atom
c,22,0.816,17,450,atom
c,22,0.133,17,451,atom
c,22,-0.115,17,452,atom
h,3,0.145,17,453,atom
o,40,-0.393,17,454,atom
c,22,-0.118,17,455,atom
h,3,0.108,17,456,atom
c,22,0.816,17,457,atom
h,3,0.059,17,458,atom
c,22,-0.115,17,459,atom
h,3,0.138,17,460,atom
n,38,0.154,17,461,atom
h,3,-0.125,17,462,atom
c,22,-0.097,17,463,atom
h,3,0.152,18,464,atom
c,22,-0.128,18,465,atom
c,22,0.149,18,466,atom
h,3,0.155,18,467,atom
c,22,-0.13,18,468,atom
h,3,0.132,18,469,atom
h,3,0.146,18,470,atom
c,22,0.054,18,471,atom
h,3,0.136,18,472,atom
h,3,0.161,18,473,atom
c,26,0.015,18,474,atom
h,3,0.142,18,475,atom
o,40,-0.396,18,476,atom
c,29,-0.378,18,477,atom
h,3,0.149,18,478,atom
c,27,0.006,18,479,atom
h,3,0.282,18,480,atom
o,40,0.017,18,481,atom
o,40,-0.395,18,482,atom
h,3,0.146,18,483,atom
c,28,0.03,18,484,atom
h,3,0.132,18,485,atom
h,3,-0.12,18,486,atom
h,3,0.056,18,487,atom
n,38,0.135,18,488,atom
h,3,0.149,18,489,atom
c,22,-0.133,18,490,atom
o,40,-0.382,18,491,atom
c,29,0.017,18,492,atom
c,22,0.015,19,493,atom
o,50,0.006,19,494,atom
h,3,0.191,19,495,atom
c,22,-0.119,19,496,atom
c,27,0.012,19,497,atom
n,38,0.143,19,498,atom
h,3,0.134,19,499,atom
c,22,-0.074,19,500,atom
h,3,0.146,19,501,atom
h,3,0.817,19,502,atom
c,29,-0.137,19,503,atom
n,38,-0.383,19,504,atom
c,22,-0.116,19,505,atom
n,38,-0.086,19,506,atom
h,3,0.059,19,507,atom
n,38,0.813,19,508,atom
h,3,0.135,19,509,atom
n,38,0.011,19,510,atom
h,3,-0.12,19,511,atom
h,1,0.155,19,512,atom
h,1,0.062,19,513,atom
c,27,0.332,19,514,atom
n,38,-0.383,19,515,atom
h,3,0.146,19,516,atom
h,3,0.146,19,517,atom
h,3,0.148,19,518,atom
c,10,-0.089,19,519,atom
c,22,-0.109,19,520,atom
n,34,-0.377,20,521,atom
h,1,0.062,20,522,atom
c,27,0.005,20,523,atom
c,22,-0.118,20,524,atom
o,40,-0.388,20,525,atom
c,22,-0.369,20,526,atom
n,38,0.817,20,527,atom
c,27,-0.393,20,528,atom
n,32,-0.779,20,529,atom
h,3,0.059,20,530,atom
c,27,0.018,20,531,atom
c,22,-0.111,20,532,atom
c,22,-0.074,20,533,atom
h,3,0.142,20,534,atom
h,3,0.142,20,535,atom
h,3,0.145,20,536,atom
o,40,-0.4,20,537,atom
c,27,0.015,20,538,atom
c,22,0.316,20,539,atom
h,3,0.145,20,540,atom
h,3,0.142,20,541,atom
h,3,0.145,20,542,atom
o,40,-0.107,20,543,atom
c,22,-0.118,20,544,atom
h,3,0.134,20,545,atom
h,3,-0.119,20,546,atom
o,40,-0.404,21,547,atom
c,27,0.016,21,548,atom
h,3,0.143,21,549,atom
n,38,0.136,21,550,atom
h,3,0.123,21,551,atom
h,3,0.014,21,552,atom
h,3,-0.12,21,553,atom
c,22,-0.123,21,554,atom
h,3,0.149,21,555,atom
c,22,-0.128,21,556,atom
c,22,0.816,21,557,atom
h,3,-0.122,21,558,atom
f,92,-0.082,21,559,atom
h,1,0.148,21,560,atom
c,22,-0.118,21,561,atom
h,3,0.801,21,562,atom
h,3,0.108,21,563,atom
c,22,-0.122,21,564,atom
c,21,-0.08,21,565,atom
c,29,0.011,21,566,atom
c,22,-0.122,21,567,atom
o,40,-0.385,21,568,atom
o,40,-0.382,21,569,atom
h,3,0.142,21,570,atom
c,22,-0.148,21,571,atom
n,38,0.817,21,572,atom
c,22,-0.119,22,573,atom
c,22,-0.111,22,574,atom
h,3,0.142,22,575,atom
c,29,0.144,22,576,atom
n,38,0.814,22,577,atom
c,22,-0.109,22,578,atom
f,92,-0.386,22,579,atom
h,3,0.104,22,580,atom
h,3,0.059,22,581,atom
h,3,0.146,22,582,atom
n,38,0.812,22,583,atom
h,3,0.147,22,584,atom
h,3,0.13,22,585,atom
h,3,0.142,22,586,atom
c,22,-0.093,22,587,atom
o,40,-0.088,22,588,atom
c,27,-0.093,22,589,atom
h,3,0.155,22,590,atom
h,3,0.148,22,591,atom
h,3,0.145,22,592,atom
h,3,0.136,23,593,atom
c,22,-0.109,23,594,atom
h,3,0.135,23,595,atom
n,38,0.806,23,596,atom
h,3,0.149,23,597,atom
o,40,-0.412,23,598,atom
c,22,-0.122,23,599,atom
c,22,-0.124,23,600,atom
c,27,-0.084,23,601,atom
o,40,-0.398,23,602,atom
c,10,0.005,23,603,atom
c,22,-0.122,23,604,atom
n,38,0.815,23,605,atom
c,27,-0.076,23,606,atom
c,22,-0.116,23,607,atom
c,22,-0.114,23,608,atom
h,3,0.118,23,609,atom
h,3,0.136,23,610,atom
n,35,0.136,23,611,atom
o,40,-0.384,23,612,atom
c,22,-0.123,23,613,atom
h,3,0.054,23,614,atom
o,40,-0.384,23,615,atom
c,27,0.005,23,616,atom
o,40,-0.393,23,617,atom
o,40,0.017,23,618,atom
c,22,-0.393,23,619,atom
h,3,0.191,23,620,atom
h,3,0.132,23,621,atom
h,3,0.125,23,622,atom
c,22,-0.123,24,623,atom
h,3,0.132,24,624,atom
c,27,0.009,24,625,atom
c,27,0.012,24,626,atom
c,29,0.017,24,627,atom
c,29,0.002,24,628,atom
c,26,0.805,24,629,atom
c,27,-0.079,24,630,atom
c,26,0.142,24,631,atom
c,22,-0.102,24,632,atom
c,22,-0.122,24,633,atom
h,3,0.149,24,634,atom
c,22,0.096,24,635,atom
c,27,0.006,24,636,atom
n,32,-0.11,24,637,atom
c,22,-0.142,24,638,atom
c,22,-0.118,24,639,atom
h,3,0.152,24,640,atom
c,22,-0.137,24,641,atom
c,22,-0.121,24,642,atom
h,3,0.145,24,643,atom
c,22,-0.088,24,644,atom
n,32,-0.379,24,645,atom
h,3,0.142,24,646,atom
h,3,0.145,24,647,atom
n,38,0.813,24,648,atom
c,27,-0.083,24,649,atom
o,40,-0.391,24,650,atom
c,22,-0.097,24,651,atom
c,22,-0.121,24,652,atom
c,22,-0.114,24,653,atom
o,40,0.818,24,654,atom
o,40,-0.385,24,655,atom
c,22,-0.128,24,656,atom
c,22,-0.107,24,657,atom
o,40,-0.404,24,658,atom
c,27,0.141,24,659,atom
h,3,0.149,24,660,atom
c,22,-0.148,24,661,atom
c,22,0.012,24,662,atom
c,27,0.018,25,663,atom
h,3,0.059,25,664,atom
c,22,-0.067,25,665,atom
c,10,-0.377,25,666,atom
n,38,0.814,25,667,atom
h,3,0.132,25,668,atom
h,3,-0.12,25,669,atom
c,10,0.018,25,670,atom
n,38,0.123,25,671,atom
c,38,0.012,25,672,atom
c,22,-0.08,25,673,atom
o,38,-0.127,25,674,atom
c,27,-0.091,25,675,atom
c,27,-0.119,25,676,atom
o,40,-0.086,25,677,atom
h,3,0.134,25,678,atom
c,27,0.012,25,679,atom
h,3,0.118,25,680,atom
n,38,0.136,25,681,atom
h,3,0.146,25,682,atom
h,3,0.134,26,683,atom
h,3,0.153,26,684,atom
h,3,0.139,26,685,atom
c,27,-0.393,26,686,atom
n,38,0.136,26,687,atom
c,22,0.133,26,688,atom
c,22,-0.117,26,689,atom
c,21,-0.08,26,690,atom
c,22,-0.118,26,691,atom
c,22,-0.111,26,692,atom
c,22,-0.122,26,693,atom
c,22,-0.113,26,694,atom
h,3,0.054,26,695,atom
h,3,0.132,26,696,atom
o,40,-0.4,26,697,atom
c,195,-0.079,26,698,atom
o,35,0.055,26,699,atom
c,10,-0.081,26,700,atom
c,22,0.03,26,701,atom
h,3,0.801,26,702,atom
h,3,0.163,26,703,atom
c,22,-0.129,26,704,atom
o,40,-0.381,26,705,atom
h,3,0.142,26,706,atom
c,29,-0.116,26,707,atom
h,3,0.149,26,708,atom
c,16,-0.167,27,709,atom
o,40,-0.384,27,710,atom
o,40,-0.391,27,711,atom
h,3,0.138,27,712,atom
c,22,-0.118,27,713,atom
c,10,-0.091,27,714,atom
c,22,-0.135,27,715,atom
c,27,-0.083,27,716,atom
h,3,0.801,27,717,atom
h,3,0.146,27,718,atom
h,3,0.146,27,719,atom
h,3,0.146,27,720,atom
o,40,-0.107,27,721,atom
c,29,-0.167,27,722,atom
c,21,0.163,27,723,atom
c,22,-0.115,27,724,atom
n,38,0.15,27,725,atom
h,3,0.138,27,726,atom
h,3,0.142,27,727,atom
h,3,0.149,28,728,atom
o,40,-0.398,28,729,atom
h,3,0.149,28,730,atom
c,26,0.011,28,731,atom
o,40,-0.391,28,732,atom
c,22,0.202,28,733,atom
c,22,-0.119,28,734,atom
h,3,0.061,28,735,atom
h,3,0.142,28,736,atom
c,27,0.006,28,737,atom
c,22,-0.126,28,738,atom
h,3,0.142,28,739,atom
h,3,0.147,28,740,atom
o,40,0.016,28,741,atom
h,3,0.132,28,742,atom
h,3,0.145,28,743,atom
c,22,-0.117,28,744,atom
c,22,-0.122,28,745,atom
n,38,0.809,28,746,atom
h,3,0.062,28,747,atom
o,40,-0.779,28,748,atom
h,3,0.145,28,749,atom
c,22,-0.105,28,750,atom
n,38,-0.412,28,751,atom
h,3,0.145,28,752,atom
c,22,-0.118,28,753,atom
h,3,0.142,29,754,atom
o,40,-0.389,29,755,atom
h,3,0.073,29,756,atom
c,22,-0.122,29,757,atom
c,22,-0.118,29,758,atom
c,22,-0.118,29,759,atom
c,22,-0.118,29,760,atom
h,3,0.145,29,761,atom
c,27,-0.091,29,762,atom
h,3,0.146,29,763,atom
o,40,-0.382,29,764,atom
c,29,-0.107,29,765,atom
o,40,-0.388,29,766,atom
c,22,-0.116,29,767,atom
c,22,-0.123,29,768,atom
h,3,0.073,29,769,atom
o,40,-0.383,29,770,atom
c,29,0.012,29,771,atom
h,3,0.123,29,772,atom
c,22,-0.141,29,773,atom
h,3,0.145,29,774,atom
o,40,-0.384,29,775,atom
n,32,-0.368,29,776,atom
c,27,-0.085,29,777,atom
c,27,-0.085,29,778,atom
n,38,0.008,29,779,atom
c,22,-0.118,29,780,atom
h,3,0.054,29,781,atom
c,21,-0.08,29,782,atom
c,22,-0.144,29,783,atom
o,40,-0.395,30,784,atom
c,22,-0.128,30,785,atom
c,22,-0.107,30,786,atom
h,3,0.134,30,787,atom
o,40,-0.398,30,788,atom
c,22,-0.123,30,789,atom
f,92,-0.089,30,790,atom
c,22,-0.116,30,791,atom
n,38,0.818,30,792,atom
c,35,-0.097,30,793,atom
h,3,0.132,30,794,atom
c,22,-0.116,30,795,atom
c,22,0.332,30,796,atom
h,3,0.136,30,797,atom
c,22,0.015,30,798,atom
o,40,-0.386,30,799,atom
h,3,0.146,30,800,atom
c,10,-0.085,30,801,atom
n,38,0.154,30,802,atom
c,28,0.012,30,803,atom
o,40,-0.391,30,804,atom
c,22,-0.122,30,805,atom
n,195,-0.081,30,806,atom
h,3,0.132,30,807,atom
h,3,0.132,30,808,atom
c,22,-0.122,30,809,atom
c,22,-0.074,31,810,atom
h,3,0.132,31,811,atom
c,22,-0.118,31,812,atom
h,3,0.109,31,813,atom
n,35,-0.381,31,814,atom
n,38,-0.137,31,815,atom
h,3,0.138,31,816,atom
c,22,-0.122,31,817,atom
c,22,-0.114,31,818,atom
h,3,-0.119,31,819,atom
c,22,-0.122,31,820,atom
c,22,0.015,31,821,atom
h,1,-0.382,31,822,atom
c,27,0.009,31,823,atom
c,29,-0.091,31,824,atom
h,3,0.138,31,825,atom
h,3,0.141,31,826,atom
c,22,-0.137,31,827,atom
c,22,-0.393,31,828,atom
o,40,-0.383,31,829,atom
c,22,-0.123,31,830,atom
h,3,0.142,31,831,atom
n,38,0.059,31,832,atom
h,3,0.054,31,833,atom
h,3,0.123,31,834,atom
h,3,0.143,31,835,atom
c,22,-0.116,31,836,atom
h,3,0.109,32,837,atom
h,3,0.146,32,838,atom
n,38,-0.096,32,839,atom
h,3,0.149,32,840,atom
n,38,0.814,32,841,atom
h,3,0.142,32,842,atom
h,3,0.133,32,843,atom
h,3,0.132,32,844,atom
c,32,-0.084,32,845,atom
o,40,-0.388,32,846,atom
h,3,0.132,32,847,atom
h,3,0.146,32,848,atom
n,38,0.818,32,849,atom
h,3,0.163,32,850,atom
c,22,-0.116,32,851,atom
h,3,0.133,32,852,atom
o,40,0.005,32,853,atom
o,40,-0.382,32,854,atom
o,40,-0.382,32,855,atom
c,22,-0.119,33,856,atom
c,27,0.005,33,857,atom
h,3,0.136,33,858,atom
h,3,0.152,33,859,atom
h,3,0.142,33,860,atom
h,3,0.132,33,861,atom
c,22,-0.725,33,862,atom
c,22,-0.124,33,863,atom
c,22,-0.08,33,864,atom
c,22,-0.115,33,865,atom
f,45,0.007,33,866,atom
c,22,-0.124,33,867,atom
c,22,-0.122,33,868,atom
h,3,0.146,33,869,atom
c,22,-0.122,33,870,atom
o,45,-0.135,33,871,atom
h,3,0.132,33,872,atom
c,27,-0.076,33,873,atom
h,94,0.146,33,874,atom
h,3,0.141,33,875,atom
h,3,0.141,33,876,atom
c,22,-0.115,33,877,atom
c,22,-0.119,33,878,atom
h,3,0.163,33,879,atom
c,27,-0.081,33,880,atom
o,42,-0.089,33,881,atom
o,40,-0.386,33,882,atom
c,22,0.202,33,883,atom
h,3,0.132,34,884,atom
c,22,-0.124,34,885,atom
o,40,-0.395,34,886,atom
c,22,-0.137,34,887,atom
h,3,0.152,34,888,atom
c,22,-0.106,34,889,atom
o,40,-0.384,34,890,atom
h,3,0.144,34,891,atom
c,22,0.005,34,892,atom
c,16,0.016,34,893,atom
c,22,0.34,34,894,atom
c,22,-0.124,34,895,atom
c,22,-0.125,34,896,atom
c,22,-0.111,34,897,atom
h,1,0.154,34,898,atom
c,22,-0.119,34,899,atom
h,3,0.145,34,900,atom
