CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2SinceWeek,Promo2SinceYear,StoreType,Assortment,Promo2,PromoInterval,Store,node_type
108,0,0,7,2013,c,a,1,"Jan,Apr,Jul,Oct",130,store
345,7,2010,0,0,a,a,0,,131,store
10766,0,0,0,0,a,c,0,,132,store
3308,7,2013,24,2009,d,a,1,"Jan,Apr,Jul,Oct",133,store
709,0,0,0,0,a,a,0,,134,store
2836,12,2008,0,0,a,a,0,,135,store
679,9,2007,0,0,c,c,0,,136,store
7906,7,2004,0,0,c,a,0,,137,store
1311,4,2011,0,0,a,a,0,,138,store
4930,12,2012,34,2012,d,b,1,"Jan,Apr,Jul,Oct",139,store
865,0,0,40,2009,a,a,1,"Feb,May,Aug,Nov",140,store
9471,0,0,0,0,d,c,0,,141,store
2505,12,2004,0,0,a,a,0,,142,store
4968,7,2015,0,0,a,a,0,,143,store
2365,11,2011,23,2011,a,c,1,"Feb,May,Aug,Nov",144,store
13101,0,0,14,2013,a,c,1,"Jan,Apr,Jul,Oct",145,store
520,3,2001,10,2012,a,a,1,"Mar,Jun,Sept,Dec",146,store
3978,0,0,14,2011,c,c,1,"Jan,Apr,Jul,Oct",147,store
1206,0,0,14,2010,a,c,1,"Mar,Jun,Sept,Dec",148,store
111,0,0,0,0,c,c,0,,149,store
2094,0,0,14,2011,c,a,1,"Mar,Jun,Sept,Dec",150,store
243,7,2013,39,2014,a,a,1,"Jan,Apr,Jul,Oct",151,store
754,12,2010,0,2014,d,a,1,"Jan,Apr,Jul,Oct",152,store
10481,5,2013,2,2013,a,c,1,"Jan,Apr,Jul,Oct",153,store
1655,0,0,28,2012,a,c,1,"Jan,Apr,Jul,Oct",154,store
457,9,2012,0,0,a,c,0,,155,store
17765,0,0,16,2011,a,a,1,"Feb,May,Aug,Nov",156,store
1621,8,2005,0,0,a,a,0,,157,store
15218,9,2011,0,0,a,c,0,,158,store
53978,7,2011,0,0,a,c,0,,159,store
2303,9,2007,0,0,a,a,0,,160,store
8293,10,2010,14,2013,d,c,1,"Feb,May,Aug,Nov",161,store
2643,4,2012,0,0,d,a,0,,162,store
10583,3,2012,0,0,a,a,0,,163,store
12254,7,2010,36,2009,d,a,1,"Jan,Apr,Jul,Oct",164,store
90,0,0,22,2012,a,a,1,"Mar,Jun,Sept,Dec",165,store
1232,2,2006,0,0,a,a,0,,166,store
1276,11,2005,0,0,a,a,0,,167,store
0,0,0,0,0,a,a,0,,168,store
1267,0,0,13,2011,d,a,1,"Jan,Apr,Jul,Oct",169,store
186,11,2006,4,2010,c,a,1,"Jan,Apr,Jul,Oct",170,store
3040,9,2007,0,0,a,a,0,,171,store
3409,0,0,0,0,d,c,0,,172,store
3439,1,2013,21,2011,d,c,1,"Feb,May,Aug,Nov",173,store
2257,4,2015,0,0,c,a,0,,174,store
1622,11,2010,7,2015,d,c,1,"Feb,May,Aug,Nov",175,store
1541,7,2008,22,2010,a,a,1,"Jan,Apr,Jul,Oct",176,store
1598,11,2012,0,0,a,c,0,,177,store
3256,11,2010,0,0,d,a,0,,178,store
99,11,2013,0,0,a,a,0,,179,store
9308,3,2013,14,2011,a,a,1,"Jan,Apr,Jul,Oct",180,store
1277,4,2012,0,0,a,a,0,,181,store
980,3,2013,0,0,a,c,0,,182,store
29965,1,2013,0,0,a,a,0,,183,store
368,12,2007,40,2013,a,c,1,"Jan,Apr,Jul,Oct",184,store
10952,0,0,6,2011,c,c,1,"Jan,Apr,Jul,Oct",185,store
1401,2,2011,0,0,a,c,0,,186,store
8294,9,2008,0,0,a,a,0,,187,store
24194,4,2009,0,0,a,c,0,,188,store
2085,5,2013,0,0,a,c,0,,189,store
65791,7,2011,0,0,a,a,0,,190,store
47,11,2014,36,2009,a,a,1,"Feb,May,Aug,Nov",191,store
3370,0,0,40,2009,d,a,1,"Feb,May,Aug,Nov",192,store
3301,11,2009,14,2011,a,a,1,"Jan,Apr,Jul,Oct",193,store
11122,11,2006,0,0,d,a,0,,194,store
6155,9,2009,0,0,a,c,0,,195,store
133,5,2013,0,0,c,a,0,,196,store
402,0,0,15,2012,a,a,1,"Jan,Apr,Jul,Oct",197,store
2124,0,0,7,2011,a,c,1,"Jan,Apr,Jul,Oct",198,store
263,11,2012,0,0,a,a,0,,199,store
14512,9,2013,0,0,a,c,0,,200,store
3554,0,0,14,2011,d,c,1,"Mar,Jun,Sept,Dec",201,store
105,1,709,0,0,c,c,0,,202,store
1506,0,0,40,2012,d,c,1,"Mar,Jun,Sept,Dec",203,store
3171,3,2007,36,2014,d,c,1,"Jan,Apr,Jul,Oct",204,store
3376,5,2012,14,2011,a,c,1,"Jan,Apr,Jul,Oct",205,store
4934,11,2011,0,0,a,c,0,,206,store
4759,0,0,12,2013,d,c,1,"Jan,Apr,Jul,Oct",207,store
1640,5,2010,0,0,d,a,0,,208,store
4783,11,2014,0,0,d,c,0,,209,store
841,2,2007,0,0,a,a,0,,210,store
18395,9,2011,0,0,a,a,0,,211,store
9296,11,0,0,0,a,a,0,,212,store
181,11,2012,0,0,a,a,0,,213,store
108,0,0,49,2012,c,a,1,"Jan,Apr,Jul,Oct",214,store
3732,5,2010,26,2011,d,a,1,"Jan,Apr,Jul,Oct",215,store
1665,9,2010,0,0,d,a,0,,216,store
592,6,2005,38,2014,a,c,1,"Jan,Apr,Jul,Oct",217,store
14699,0,0,16,2015,a,a,1,"Jan,Apr,Jul,Oct",218,store
1556,0,0,0,0,a,a,0,,219,store
3566,0,0,44,2009,a,a,1,"Feb,May,Aug,Nov",220,store
309,11,2003,13,2012,c,a,1,"Mar,Jun,Sept,Dec",221,store
22417,0,0,35,2014,d,a,1,"Jan,Apr,Jul,Oct",222,store
14342,0,0,0,0,d,c,0,,223,store
11466,9,2013,0,0,d,c,0,,224,store
4599,7,2005,33,2013,d,c,1,"Jan,Apr,Jul,Oct",225,store
1110,4,2010,0,0,c,c,0,,226,store
10929,9,2005,23,2012,a,a,1,"Mar,Jun,Sept,Dec",227,store
7140,4,2013,0,0,d,c,0,,228,store
17971,0,0,0,0,a,c,0,,229,store
393,3,2014,40,2014,d,a,1,"Jan,Apr,Jul,Oct",230,store
54155,4,2005,0,0,d,c,0,,231,store
3439,12,2010,40,2014,a,a,1,"Jan,Apr,Jul,Oct",232,store
4505,0,0,40,2013,a,c,1,"Feb,May,Aug,Nov",233,store
17156,0,0,18,2011,a,c,1,"Jan,Apr,Jul,Oct",234,store
3772,9,2009,0,0,d,a,0,,235,store
1693,11,2004,13,2012,a,a,1,"Mar,Jun,Sept,Dec",236,store
303,11,2006,0,0,d,c,0,,237,store
9845,9,2006,0,0,a,c,0,,238,store
10914,0,0,0,0,d,c,0,,239,store
1127,0,0,40,2013,c,c,1,"Feb,May,Aug,Nov",240,store
2454,5,2007,0,0,d,c,0,,241,store
1211,8,2013,35,2014,a,a,1,"Jan,Apr,Jul,Oct",242,store
4441,0,0,25,2010,d,c,1,"Mar,Jun,Sept,Dec",243,store
4306,12,2012,0,0,a,a,0,,244,store
1051,12,2011,42,2009,a,a,1,"Jan,Apr,Jul,Oct",245,store
384,12,2003,23,2014,d,a,1,"Mar,Jun,Sept,Dec",246,store
37923,7,2015,0,0,c,a,0,,247,store
2627,0,0,36,2010,d,a,1,"Mar,Jun,Sept,Dec",248,store
5417,7,2010,36,2011,a,a,1,"Jan,Apr,Jul,Oct",249,store
1004,0,0,0,0,a,c,0,,250,store
260,10,2002,0,0,c,a,0,,251,store
443,8,2008,0,0,a,a,0,,252,store
7318,0,0,0,0,d,c,0,,253,store
13958,8,2011,0,0,d,c,0,,254,store
8076,11,2007,0,0,d,c,0,,255,store
13194,0,0,21,2014,a,a,1,"Jan,Apr,Jul,Oct",256,store
3897,2,2009,0,0,d,a,0,,257,store
623,9,2012,0,0,a,c,0,,258,store
2081,0,0,0,0,c,c,0,,259,store
10153,0,0,32,2011,c,c,1,"Feb,May,Aug,Nov",260,store
4493,9,2007,23,2013,d,c,1,"Feb,May,Aug,Nov",261,store
1852,0,0,28,2010,d,a,1,"Jan,Apr,Jul,Oct",262,store
3281,9,2010,34,2012,a,c,1,"Mar,Jun,Sept,Dec",263,store
358,4,2005,0,0,d,c,0,,264,store
2773,9,2010,0,0,c,c,0,,265,store
45627,9,2011,0,0,a,a,0,,266,store
407,7,2013,23,2012,a,a,1,"Jan,Apr,Jul,Oct",267,store
828,0,0,12,2010,a,a,1,"Jan,Apr,Jul,Oct",268,store
2097,2,458,0,0,a,c,0,,269,store
16,11,2014,0,0,a,a,0,,270,store
460,3,2010,0,0,a,a,0,,271,store
4343,10,2005,13,2011,c,c,1,"Jan,Apr,Jul,Oct",272,store
466,0,0,11,2013,a,a,1,"Feb,May,Aug,Nov",273,store
1116,0,0,13,2013,a,a,1,"Jan,Apr,Jul,Oct",274,store
2521,0,0,40,2012,c,c,1,"Mar,Jun,Sept,Dec",275,store
4764,0,0,0,0,a,a,0,,276,store
3801,3,2007,0,0,a,c,0,,277,store
2849,0,0,0,0,a,c,0,,278,store
13319,0,0,0,0,d,a,0,,279,store
1269,9,2004,0,0,c,a,0,,280,store
816,11,2013,0,0,a,c,0,,281,store
312,0,0,0,0,a,a,0,,282,store
3209,0,0,13,2011,a,c,1,"Jan,Apr,Jul,Oct",283,store
236,7,2010,9,2014,a,a,1,"Jan,Apr,Jul,Oct",284,store
9014,8,2005,0,0,a,a,0,,285,store
231,9,2006,32,2010,a,c,1,"Mar,Jun,Sept,Dec",286,store
4036,12,2012,0,0,a,a,0,,287,store
34,0,0,0,0,d,c,0,,288,store
4925,0,0,39,2010,c,a,1,"Jan,Apr,Jul,Oct",289,store
680,12,2007,0,0,d,a,0,,290,store
8101,12,2011,0,0,a,a,0,,291,store
2274,4,2010,0,0,c,a,0,,292,store
808,2,2009,0,0,a,a,0,,293,store
190,5,2009,14,2011,a,a,1,"Jan,Apr,Jul,Oct",294,store
13275,9,2011,0,0,d,c,0,,295,store
1386,0,0,0,0,d,c,0,,296,store
2288,0,0,20,2010,a,c,1,"Feb,May,Aug,Nov",297,store
96,6,2005,40,2013,c,c,1,"Mar,Jun,Sept,Dec",298,store
104,0,0,40,2010,c,a,1,"Jan,Apr,Jul,Oct",299,store
19494,9,2012,0,0,d,c,0,,300,store
347,3,2011,29,2009,a,a,1,"Jan,Apr,Jul,Oct",301,store
154,0,0,46,2014,a,a,1,"Jan,Apr,Jul,Oct",302,store
12729,9,2012,0,0,c,c,0,,303,store
51022,0,0,0,0,d,c,0,,304,store
826,0,0,0,0,a,a,0,,305,store
823,0,0,22,2009,a,a,1,"Jan,Apr,Jul,Oct",306,store
16643,4,0,37,2009,d,c,1,"Jan,Apr,Jul,Oct",307,store
2421,0,0,16,2015,d,c,1,"Mar,Jun,Sept,Dec",308,store
27,4,2012,13,2015,a,a,1,"Feb,May,Aug,Nov",309,store
8664,6,0,0,0,d,c,0,,310,store
7518,1,2011,14,2012,d,c,1,"Jan,Apr,Jul,Oct",311,store
4822,9,2010,0,0,a,a,0,,312,store
16303,0,0,14,2012,d,c,1,"Mar,Jun,Sept,Dec",313,store
2423,0,0,0,0,a,c,0,,314,store
2982,11,2007,0,0,d,a,0,,315,store
485,11,2006,31,2011,d,a,1,"Jan,Apr,Jul,Oct",316,store
502,0,0,0,0,a,c,0,,317,store
929,0,0,0,0,a,c,0,,318,store
5167,12,2003,0,0,a,c,0,,319,store
6752,3,2013,31,2014,a,a,1,"Jan,Apr,Jul,Oct",320,store
10761,10,2005,21,2014,d,c,1,"Jan,Apr,Jul,Oct",321,store
233,0,0,31,2012,a,c,1,"Mar,Jun,Sept,Dec",322,store
4087,10,2010,0,0,a,c,0,,323,store
3187,9,2014,0,0,d,c,0,,324,store
2458,0,0,13,2015,d,c,1,"Jan,Apr,Jul,Oct",325,store
23942,0,0,0,0,a,c,0,,326,store
14825,0,0,0,0,a,a,0,,327,store
19720,7,2014,0,0,d,c,0,,328,store
1579,7,2010,35,2009,a,a,1,"Jan,Apr,Jul,Oct",329,store
17915,9,2011,0,0,d,c,0,,330,store
5743,0,0,0,0,a,a,0,,331,store
7251,0,0,0,0,d,c,0,,332,store
6303,0,0,49,2009,d,a,1,"Feb,May,Aug,Nov",333,store
21965,11,2003,0,0,c,c,0,,334,store
3619,0,0,20,2013,a,c,1,"Mar,Jun,Sept,Dec",335,store
33150,0,0,36,2009,d,c,1,"Jan,Apr,Jul,Oct",336,store
2418,12,2010,0,0,a,a,0,,337,store
4527,8,2003,0,0,c,c,0,,338,store
22494,5,189,0,0,a,c,0,,339,store
19399,4,2011,15,2011,d,c,1,"Jan,Apr,Jul,Oct",340,store
1841,9,2010,0,0,a,c,0,,341,store
2311,0,0,14,2012,c,c,1,"Feb,May,Aug,Nov",342,store
244,3,2012,0,0,a,c,0,,343,store
8621,12,2005,0,0,a,a,0,,344,store
559,4,0,0,0,a,a,0,,345,store
2928,2,2012,14,2011,d,b,1,"Jan,Apr,Jul,Oct",346,store
731,1,2013,35,2011,d,c,1,"Jan,Apr,Jul,Oct",347,store
836,9,2011,30,2013,a,c,1,"Feb,May,Aug,Nov",348,store
2638,0,0,40,2009,a,c,1,"Feb,May,Aug,Nov",349,store
12066,4,2009,0,0,d,c,0,,350,store
1192,4,2007,14,2010,d,c,1,"Feb,May,Aug,Nov",351,store
9692,0,0,44,2009,d,c,1,"Feb,May,Aug,Nov",352,store
5832,0,0,0,0,a,c,0,,353,store
1175,5,2002,26,2012,a,a,1,"Mar,Jun,Sept,Dec",354,store
140,4,2010,16,2011,a,c,1,"Jan,Apr,Jul,Oct",355,store
212,7,2014,0,0,a,a,0,,356,store
1792,4,2012,40,2009,c,a,1,"Feb,May,Aug,Nov",357,store
2195,6,2011,13,2010,d,c,1,"Feb,May,Aug,Nov",358,store
3633,0,0,13,2011,d,c,1,"Feb,May,Aug,Nov",359,store
778,12,2011,0,0,a,c,0,,360,store
17860,4,2015,0,2011,a,c,0,"Mar,Jun,Sept,Dec",361,store
5012,0,0,14,2011,c,a,1,"Jan,Apr,Jul,Oct",362,store
9923,0,0,11,2010,a,a,1,"Jan,Apr,Jul,Oct",363,store
11636,0,0,0,0,a,c,0,,364,store
6304,0,0,26,2010,a,c,1,"Mar,Jun,Sept,Dec",365,store
155,0,0,0,0,a,c,0,,366,store
2207,6,2011,14,2012,a,a,1,"Jan,Apr,Jul,Oct",367,store
13407,0,0,24,2012,d,c,1,"Jan,Apr,Jul,Oct",368,store
3796,7,2010,23,2014,d,c,1,"Feb,May,Aug,Nov",369,store
3690,4,2015,0,0,a,a,0,,370,store
2090,0,0,7,2013,a,a,1,"Jan,Apr,Jul,Oct",371,store
8142,7,2005,0,0,a,c,0,,372,store
2325,8,2013,0,0,a,c,0,,373,store
3035,12,2013,22,2009,a,a,1,"Jan,Apr,Jul,Oct",374,store
1006,4,2004,0,0,a,a,0,,375,store
2838,9,2007,0,0,d,c,0,,376,store
13692,2,2009,0,0,d,c,0,,377,store
3924,0,0,40,2010,d,c,1,"Jan,Apr,Jul,Oct",378,store
2256,3,2007,48,2014,a,a,1,"Jan,Apr,Jul,Oct",379,store
1395,0,0,40,2009,a,c,1,"Feb,May,Aug,Nov",380,store
7352,11,2009,38,2011,a,a,1,"Jan,Apr,Jul,Oct",381,store
2974,0,0,14,2014,d,a,1,"Mar,Jun,Sept,Dec",382,store
1065,0,0,39,2009,d,c,1,"Jan,Apr,Jul,Oct",383,store
146,7,2014,36,2012,a,a,1,"Jan,Apr,Jul,Oct",384,store
532,0,0,13,2012,a,c,1,"Jan,Apr,Jul,Oct",385,store
2126,9,2010,0,0,d,c,0,,386,store
3499,0,0,0,0,a,c,0,,387,store
8240,0,0,1,2013,d,c,1,"Jan,Apr,Jul,Oct",388,store
1626,4,2006,30,2012,a,c,1,"Mar,Jun,Sept,Dec",389,store
306,3,2013,0,0,c,a,0,,390,store
414,2,2013,29,2012,d,c,1,"Feb,May,Aug,Nov",391,store
8285,3,2007,0,0,d,c,0,,392,store
1327,0,0,0,0,d,c,0,,393,store
2352,0,0,14,2012,c,c,1,"Jan,Apr,Jul,Oct",394,store
3178,0,0,0,0,a,c,0,,395,store
3483,11,2011,0,0,d,c,0,,396,store
5050,11,2008,10,2011,a,a,1,"Jan,Apr,Jul,Oct",397,store
720,7,2012,0,0,d,a,0,,398,store
2514,10,2002,35,2014,d,a,1,"Jan,Apr,Jul,Oct",399,store
7095,9,2007,0,0,a,a,0,,400,store
7233,10,0,0,0,a,c,0,,401,store
220,8,2012,23,2014,a,a,1,"Jan,Apr,Jul,Oct",402,store
1790,0,0,33,2010,c,a,1,"Jan,Apr,Jul,Oct",403,store
15176,0,0,37,2011,c,c,1,"Mar,Jun,Sept,Dec",404,store
8257,0,0,14,2015,a,c,1,"Jan,Apr,Jul,Oct",405,store
1879,10,578,3,2013,d,c,1,"Jan,Apr,Jul,Oct",406,store
234,11,2002,0,0,a,a,0,,407,store
185,0,0,0,0,a,c,0,,408,store
4183,6,2011,19,2013,c,c,1,"Jan,Apr,Jul,Oct",409,store
11465,4,2005,13,2011,d,a,1,"Jan,Apr,Jul,Oct",410,store
4,0,0,35,2011,a,a,1,"Feb,May,Aug,Nov",411,store
119,3,2012,0,0,a,a,0,,412,store
8517,7,2014,0,0,a,a,0,,413,store
2043,5,2012,0,0,c,a,0,,414,store
2102,5,2009,0,0,a,a,0,,415,store
8196,8,2011,11,2011,d,a,1,"Jan,Apr,Jul,Oct",416,store
1188,4,2004,9,2012,a,a,1,"Jan,Apr,Jul,Oct",417,store
4637,4,2013,0,0,a,a,0,,418,store
2236,9,2007,0,0,a,a,0,,419,store
3170,6,2005,40,2009,d,a,1,"Jan,Apr,Jul,Oct",420,store
3438,0,0,27,2014,d,a,1,"Jan,Apr,Jul,Oct",421,store
6549,4,2005,14,2011,a,a,1,"Jan,Apr,Jul,Oct",422,store
2594,4,2014,0,0,d,a,0,,423,store
3446,0,0,0,0,c,c,0,,424,store
153,11,2013,0,0,a,c,0,,425,store
1420,9,2012,0,0,c,a,0,,426,store
2840,11,2008,0,0,a,c,0,,427,store
3389,9,2012,0,0,d,c,0,,428,store
1623,8,2015,0,0,a,c,0,,429,store
18079,3,2002,13,2011,d,a,1,"Jan,Apr,Jul,Oct",430,store
31857,7,2015,0,0,d,c,0,,431,store
2766,0,0,31,2012,c,a,1,"Jan,Apr,Jul,Oct",432,store
356,0,0,33,2010,a,c,1,"Mar,Jun,Sept,Dec",433,store
691,9,2011,0,0,a,c,0,,434,store
449,12,625,0,0,b,b,0,,435,store
463,0,0,0,0,a,c,0,,436,store
372,0,0,41,2012,a,a,1,"Mar,Jun,Sept,Dec",437,store
1,7,2010,0,0,a,a,0,,438,store
1237,12,2013,0,0,d,c,0,,439,store
884,9,2007,0,0,c,a,0,,440,store
263,11,2012,0,0,a,a,0,,441,store
4965,12,2008,0,0,d,c,0,,442,store
9308,0,0,13,2011,d,c,1,"Feb,May,Aug,Nov",443,store
9680,2,2014,0,0,d,c,0,,444,store
1148,11,2002,0,0,a,a,0,,445,store
2842,10,2011,41,2009,d,a,1,"Feb,May,Aug,Nov",446,store
505,0,0,14,2013,c,c,1,"Jan,Apr,Jul,Oct",447,store
4112,0,0,0,0,a,c,0,,448,store
102,11,2012,0,0,a,a,0,,449,store
5874,11,2010,10,2011,d,a,1,"Jan,Apr,Jul,Oct",450,store
1699,9,2009,35,2015,a,a,1,"Feb,May,Aug,Nov",451,store
81,2,2013,13,2014,a,a,1,"Jan,Apr,Jul,Oct",452,store
73,11,2007,14,2011,a,a,1,"Jan,Apr,Jul,Oct",453,store
4606,0,0,33,2013,a,a,1,"Feb,May,Aug,Nov",454,store
47079,9,2010,0,0,d,c,0,,455,store
1553,12,2012,0,0,a,a,0,,456,store
629,0,0,0,0,a,a,0,,457,store
6371,8,2014,0,0,a,c,0,,458,store
357,8,2010,19,2014,a,c,1,"Jan,Apr,Jul,Oct",459,store
