ind1,inda,logp,lumo,mutagenic,molecule_id
1,0,3.591154098510742,-1.2578617334365845,yes,3395
1,0,7.426370620727539,-1.5903948545455933,no,3418
0,0,1.8739241361618042,-1.1393049955368042,no,3451
1,0,4.177857875823975,-1.9498333930969238,yes,3506
1,0,3.3681111335754395,-1.239311695098877,yes,3567
0,0,1.855703353881836,-1.552638292312622,yes,3598
1,0,2.8275234699249268,-2.2672605514526367,yes,3690
0,0,2.0198824405670166,-1.9882725477218628,no,3771
1,0,4.862547874450684,-1.6093535423278809,yes,3819
0,0,2.369506597518921,-2.1594269275665283,yes,3841
1,0,3.4171364307403564,-1.3244787454605103,yes,3904
1,0,3.4315826892852783,-1.1500146389007568,yes,3943
1,0,2.473517656326294,-2.496708631515503,yes,4033
0,0,3.120119094848633,-1.9756299257278442,no,4079
1,0,2.592712163925171,-1.986255168914795,yes,4112
0,0,3.722266674041748,-1.1883748769760132,no,4205
1,0,4.450900554656982,-1.2911338806152344,yes,4230
1,0,5.911963939666748,-2.0374183654785156,yes,4299
1,1,5.068599700927734,-1.968812346458435,yes,4304
1,0,4.326201915740967,-2.175497531890869,yes,4411
0,0,4.155331611633301,-2.23659610748291,yes,4479
1,0,6.382532596588135,-1.9210001230239868,yes,4513
0,0,1.9946218729019165,-1.5214952230453491,no,4588
0,0,2.3398475646972656,-1.2074511051177979,yes,4598
1,0,5.026679515838623,-1.6529104709625244,yes,4691
1,0,4.265594959259033,-2.140547513961792,yes,4726
1,0,5.110505104064941,-1.245841383934021,yes,4732
0,0,2.662766456604004,-1.445634365081787,no,4802
1,0,3.66300368309021,-1.9171148538589478,yes,4848
0,0,0.8172075748443604,-1.6626331806182861,no,4960
0,0,1.478545069694519,-1.6445592641830444,no,5027
0,0,2.2672150135040283,-0.6496999859809875,no,5056
1,0,1.9868210554122925,-2.2031140327453613,yes,5083
0,0,2.8113367557525635,-2.133382558822632,yes,5221
1,0,2.863577127456665,-2.2730188369750977,yes,5269
0,0,1.8618507385253906,-0.9478816986083984,no,5299
1,0,4.778824329376221,-2.417428493499756,yes,5341
0,0,3.6683707237243652,-1.1875563859939575,no,5398
1,0,4.6001362800598145,-2.2872676849365234,yes,5430
1,0,5.253182888031006,-2.036705255508423,yes,5552
1,0,4.451868057250977,-1.4976719617843628,yes,5569
0,0,3.301863193511963,-3.0755245685577393,yes,5641
0,0,0.3401000499725342,-1.3394750356674194,no,5670
0,0,2.0382206439971924,-1.260304570198059,yes,5719
0,0,2.4064583778381348,-1.2251309156417847,no,5722
0,0,0.7453643083572388,-1.2568583488464355,no,5814
0,0,2.9066483974456787,-1.9869996309280396,yes,5851
1,0,5.095272064208984,-1.679997444152832,yes,5855
0,0,2.952932119369507,-1.6499195098876953,yes,5968
1,0,6.130056381225586,-2.080261468887329,yes,6020
0,0,3.102926731109619,-3.713257312774658,yes,6082
0,0,2.8873801231384277,-1.5928301811218262,yes,6132
1,0,5.914919853210449,-1.5769915580749512,yes,6155
0,0,1.9894837141036987,-1.1377062797546387,no,6194
1,0,4.352406024932861,-2.2805166244506836,yes,6275
0,0,3.2077646255493164,-2.568514585494995,yes,6352
1,0,5.206867218017578,-1.8124959468841553,yes,6402
0,0,3.066865921020508,-1.1831917762756348,no,6430
1,0,4.142475605010986,-1.1936038732528687,yes,6445
0,0,2.7668964862823486,-2.211660861968994,no,6546
0,0,2.844210147857666,-0.5630668997764587,no,6602
1,0,4.561619758605957,-2.708936929702759,yes,6649
1,0,3.0245323181152344,-1.4277591705322266,yes,6666
1,0,4.134172439575195,-1.260070562362671,yes,6743
1,0,3.712477922439575,-1.1199138164520264,no,6802
1,0,5.1409759521484375,-1.1455137729644775,yes,6901
0,0,1.772612452507019,-1.644077181816101,no,6928
1,0,4.6873579025268555,-1.8711671829223633,yes,6953
1,0,5.236422538757324,-1.605013132095337,yes,7013
0,0,2.1609768867492676,-1.968408226966858,yes,7037
1,0,3.672607660293579,-1.4667422771453857,yes,7120
0,0,1.6723613739013672,-0.5395054221153259,no,7193
0,0,2.644965648651123,-1.9843709468841553,yes,7218
0,0,2.0484461784362793,-1.718691110610962,yes,7291
0,0,2.6992526054382324,-2.0306553840637207,yes,7292
1,0,4.737314224243164,-1.5633764266967773,yes,7410
1,0,4.9292402267456055,-1.554214596748352,yes,7422
1,0,3.447251558303833,-1.5244619846343994,yes,7495
1,0,2.907309055328369,-1.6317235231399536,yes,7564
1,0,3.167118787765503,-1.791629433631897,yes,7640
1,0,4.992863655090332,-1.4677033424377441,yes,7665
0,0,1.9224120378494263,-1.444766640663147,no,7721
0,0,2.437350273132324,-0.6211403012275696,no,7777
1,1,5.01550817489624,-2.146930456161499,yes,7851
0,0,1.9011446237564087,-0.9501445293426514,no,7900
0,0,2.9551546573638916,-2.0506768226623535,no,7972
1,0,4.926088809967041,-1.7744797468185425,yes,7984
0,0,3.02874493598938,-2.213181734085083,yes,8021
1,0,4.297275066375732,-1.2386655807495117,yes,8093
1,0,3.429091691970825,-2.5688107013702393,yes,8154
0,0,1.2726030349731445,-1.1281969547271729,no,8188
1,0,4.016778469085693,-1.6429171562194824,yes,8255
0,0,1.9757341146469116,-1.3364886045455933,no,8286
1,0,4.380428314208984,-3.061361789703369,yes,8345
0,0,2.6226847171783447,-1.1645194292068481,no,8449
1,0,3.9410386085510254,-1.4187183380126953,yes,8501
0,0,1.797589659690857,-1.7601956129074097,no,8524
1,0,4.656308174133301,-1.777906060218811,yes,8564
0,0,2.822848081588745,-2.0424392223358154,yes,8617
0,0,2.1401968002319336,-2.0508832931518555,yes,8718
0,0,0.9328811764717102,-1.1142503023147583,no,8740
1,0,7.4577250480651855,-1.3462172746658325,no,8797
1,0,5.237394332885742,-1.764992356300354,yes,8844
0,0,2.5733184814453125,-1.6530981063842773,yes,8876
0,0,2.105214834213257,-1.84023118019104,no,8961
0,0,2.7288875579833984,-1.9544596672058105,no,9014
0,0,2.7515652179718018,-2.0837347507476807,yes,9029
1,0,3.390582799911499,-2.364793062210083,yes,9044
0,0,2.57711124420166,-1.8431445360183716,yes,9086
1,0,4.609316349029541,-1.8122450113296509,yes,9157
1,0,4.512178421020508,-1.71377432346344,yes,9207
0,0,2.064652919769287,-1.6600042581558228,no,9229
0,0,2.651667594909668,-1.9985980987548828,no,9284
1,0,4.572017669677734,-1.9411931037902832,yes,9329
1,0,3.1337172985076904,-0.9249125719070435,yes,9367
0,0,3.1064956188201904,-1.2095766067504883,no,9423
0,0,1.6820529699325562,-1.1130083799362183,no,9452
1,0,3.5285627841949463,-1.1909135580062866,yes,9500
1,0,4.015588760375977,-1.890522837638855,yes,9568
1,0,3.518826723098755,-1.2229176759719849,yes,9638
0,0,2.271115779876709,-1.041481852531433,no,9679
1,0,5.900160312652588,-1.7741950750350952,yes,9718
0,0,2.3418843746185303,-1.1647279262542725,no,9802
1,0,7.829946994781494,-1.7585170269012451,no,9844
0,0,1.0524015426635742,-2.2357332706451416,yes,9867
1,0,3.662358045578003,-1.6234889030456543,yes,9940
