atom1_id,atom2_id,type,bond_id
d10_8,d10_9,7,368
d10_9,d10_10,7,369
d10_9,d10_17,1,370
d110_1,d110_2,7,371
d110_1,d110_7,1,372
d110_10,d110_11,7,373
d110_11,d110_12,7,374
d110_11,d110_16,1,375
d110_12,d110_13,7,376
d110_12,d110_17,1,377
d110_13,d110_14,7,378
d110_13,d110_20,1,379
d110_14,d110_15,7,380
d110_14,d110_18,1,381
d110_15,d110_10,7,382
d110_15,d110_19,1,383
d110_19,d110_25,2,384
d110_19,d110_26,2,385
d110_2,d110_3,7,386
d110_2,d110_8,1,387
d110_20,d110_27,2,388
d110_20,d110_28,2,389
d110_21,d110_23,2,390
d110_21,d110_24,2,391
d110_22,d110_29,2,392
d110_22,d110_30,2,393
d110_3,d110_22,1,394
d110_3,d110_4,7,395
d110_4,d110_10,1,396
d110_4,d110_5,7,397
d110_5,d110_21,1,398
d110_5,d110_6,7,399
d110_6,d110_1,7,400
d110_6,d110_9,1,401
d111_1,d111_2,7,402
d111_1,d111_7,1,403
d111_10,d111_11,2,404
d111_10,d111_12,1,405
d111_14,d111_15,2,406
d111_14,d111_16,2,407
d111_2,d111_14,1,408
d111_2,d111_3,7,409
d111_3,d111_4,7,410
d111_3,d111_8,1,411
d111_4,d111_13,1,412
d111_4,d111_5,7,413
d111_5,d111_10,1,414
d111_5,d111_6,7,415
d111_6,d111_1,7,416
d111_6,d111_9,1,417
d112_1,d112_2,7,418
d112_1,d112_7,1,419
d112_10,d112_11,7,420
d112_10,d112_14,1,421
d112_11,d112_12,7,422
d112_11,d112_15,1,423
d112_12,d112_13,7,424
d112_12,d112_22,1,425
d112_13,d112_4,7,426
d112_16,d112_17,1,427
d112_16,d112_18,1,428
d112_16,d112_19,1,429
d112_17,d112_13,1,430
d112_17,d112_20,1,431
d112_17,d112_21,1,432
d112_2,d112_3,7,433
d112_2,d112_8,1,434
d112_22,d112_23,2,435
d112_22,d112_24,2,436
d112_3,d112_10,7,437
d112_3,d112_4,7,438
d112_4,d112_5,7,439
d112_5,d112_16,1,440
d112_5,d112_6,7,441
d112_6,d112_1,7,442
d112_6,d112_9,1,443
d113_1,d113_2,7,444
d113_1,d113_7,1,445
d113_10,d113_17,1,446
d113_10,d113_18,1,447
d113_11,d113_13,2,448
d113_11,d113_14,2,449
d113_12,d113_15,2,450
d113_12,d113_16,2,451
d113_2,d113_12,1,452
d113_2,d113_3,7,453
d113_3,d113_4,7,454
d113_3,d113_8,1,455
d113_4,d113_11,1,456
d113_4,d113_5,7,457
d113_5,d113_10,1,458
d113_5,d113_6,7,459
d113_6,d113_1,7,460
d113_6,d113_9,1,461
d114_1,d114_2,7,462
d114_1,d114_22,1,463
d114_11,d114_12,7,464
d114_12,d114_13,7,465
d114_12,d114_17,1,466
d114_13,d114_14,7,467
d114_13,d114_18,1,468
d114_14,d114_15,7,469
d114_14,d114_19,1,470
d114_15,d114_16,7,471
d114_15,d114_20,1,472
d114_16,d114_11,7,473
d114_16,d114_21,1,474
d114_2,d114_3,7,475
d114_2,d114_7,1,476
d114_21,d114_25,1,477
d114_21,d114_26,1,478
d114_22,d114_23,2,479
d114_22,d114_24,2,480
d114_3,d114_4,7,481
d114_3,d114_8,1,482
d114_4,d114_11,1,483
d114_4,d114_5,7,484
d114_5,d114_6,7,485
d114_5,d114_9,1,486
d114_6,d114_1,7,487
d114_6,d114_10,1,488
d115_1,d115_2,7,489
d115_1,d115_7,1,490
d115_10,d115_11,1,491
d115_10,d115_12,1,492
d115_10,d115_13,1,493
d115_11,d115_16,1,494
d115_14,d115_11,2,495
d115_14,d115_15,1,496
d115_17,d115_18,2,497
d115_17,d115_19,2,498
d115_2,d115_3,7,499
d115_2,d115_8,1,500
d115_3,d115_10,1,501
d115_3,d115_4,7,502
d115_4,d115_14,1,503
d115_4,d115_5,7,504
d115_5,d115_6,7,505
d115_5,d115_9,1,506
d115_6,d115_1,7,507
d115_6,d115_17,1,508
d116_1,d116_2,7,509
d116_1,d116_7,1,510
d116_11,d116_13,2,511
d116_11,d116_14,2,512
d116_2,d116_12,1,513
d116_2,d116_3,7,514
d116_3,d116_4,7,515
d116_3,d116_8,1,516
d116_4,d116_5,7,517
d116_4,d116_9,1,518
d116_5,d116_11,1,519
d116_5,d116_6,7,520
d116_6,d116_1,7,521
d116_6,d116_10,1,522
d117_1,d117_2,7,523
d117_1,d117_7,1,524
d117_11,d117_12,7,525
d117_12,d117_13,7,526
d117_12,d117_17,1,527
d117_13,d117_14,7,528
d117_13,d117_18,1,529
d117_14,d117_15,7,530
d117_14,d117_21,1,531
d117_15,d117_16,7,532
d117_15,d117_19,1,533
d117_16,d117_11,7,534
d117_16,d117_20,1,535
d117_2,d117_3,7,536
d117_2,d117_8,1,537
d117_20,d117_25,2,538
d117_20,d117_26,2,539
d117_21,d117_27,2,540
d117_21,d117_28,2,541
d117_22,d117_23,2,542
d117_22,d117_24,2,543
d117_3,d117_4,7,544
d117_3,d117_9,1,545
d117_4,d117_11,1,546
d117_4,d117_5,7,547
d117_5,d117_10,1,548
d117_5,d117_6,7,549
d117_6,d117_1,7,550
d117_6,d117_22,1,551
d118_1,d118_2,1,552
d118_1,d118_33,1,553
d118_1,d118_34,1,554
d118_10,d118_4,7,555
d118_11,d118_12,7,556
d118_11,d118_25,1,557
d118_12,d118_13,7,558
d118_12,d118_26,1,559
d118_13,d118_14,7,560
d118_13,d118_18,7,561
d118_14,d118_15,7,562
d118_14,d118_9,7,563
d118_15,d118_16,7,564
d118_16,d118_17,7,565
d118_16,d118_27,1,566
d118_17,d118_10,7,567
d118_17,d118_28,1,568
d118_18,d118_19,7,569
d118_18,d118_21,1,570
d118_19,d118_20,7,571
d118_19,d118_29,1,572
d118_2,d118_3,1,573
d118_2,d118_31,1,574
d118_2,d118_32,1,575
d118_20,d118_15,7,576
d118_20,d118_30,1,577
d118_21,d118_22,2,578
d118_21,d118_23,2,579
d118_3,d118_4,7,580
d118_3,d118_7,7,581
d118_4,d118_5,1,582
d118_5,d118_37,1,583
d118_5,d118_38,1,584
d118_5,d118_6,1,585
d118_6,d118_1,1,586
d118_6,d118_35,1,587
d118_6,d118_36,1,588
d118_7,d118_24,1,589
d118_7,d118_8,7,590
d118_8,d118_11,7,591
d118_8,d118_9,7,592
d118_9,d118_10,7,593
d119_1,d119_2,7,594
d119_1,d119_7,1,595
d119_11,d119_12,7,596
d119_12,d119_13,7,597
d119_12,d119_17,1,598
d119_13,d119_14,7,599
d119_13,d119_18,1,600
d119_14,d119_15,7,601
d119_14,d119_21,1,602
d119_15,d119_16,7,603
d119_15,d119_19,1,604
d119_16,d119_11,7,605
d119_16,d119_20,1,606
d119_2,d119_3,7,607
d119_2,d119_8,1,608
d119_20,d119_25,2,609
d119_20,d119_26,2,610
d119_21,d119_27,2,611
d119_21,d119_28,2,612
d119_22,d119_23,2,613
d119_22,d119_24,2,614
d119_3,d119_4,7,615
d119_3,d119_9,1,616
d119_4,d119_11,1,617
d119_4,d119_5,7,618
d119_5,d119_22,1,619
d119_5,d119_6,7,620
d119_6,d119_1,7,621
d119_6,d119_10,1,622
d11_1,d11_2,7,623
d11_1,d11_7,1,624
d11_11,d11_12,7,625
d11_11,d11_16,7,626
d11_12,d11_13,7,627
d11_13,d11_14,7,628
d11_13,d11_15,1,629
d11_14,d11_5,7,630
d11_16,d11_17,7,631
d11_16,d11_20,1,632
d11_17,d11_18,7,633
d11_17,d11_21,1,634
d11_18,d11_19,7,635
d11_18,d11_23,1,636
d11_19,d11_12,7,637
d11_19,d11_22,1,638
d11_2,d11_3,7,639
d11_2,d11_8,1,640
d11_24,d11_14,1,641
d11_25,d11_24,2,642
d11_26,d11_24,2,643
d11_3,d11_4,7,644
d11_3,d11_9,1,645
d11_4,d11_11,7,646
d11_4,d11_5,7,647
d11_5,d11_6,7,648
d11_6,d11_1,7,649
d11_6,d11_10,1,650
d120_1,d120_14,1,651
d120_1,d120_2,7,652
d120_10,d120_18,1,653
d120_10,d120_19,1,654
d120_10,d120_20,1,655
d120_11,d120_12,2,656
d120_11,d120_13,2,657
d120_2,d120_15,1,658
d120_2,d120_3,7,659
d120_3,d120_4,7,660
d120_3,d120_7,7,661
d120_4,d120_5,7,662
d120_4,d120_9,7,663
d120_5,d120_16,1,664
d120_5,d120_6,7,665
d120_6,d120_1,7,666
d120_6,d120_11,1,667
d120_7,d120_10,1,668
d120_7,d120_8,7,669
d120_9,d120_17,1,670
d120_9,d120_8,7,671
d121_1,d121_2,7,672
d121_1,d121_26,1,673
d121_10,d121_11,7,674
d121_10,d121_25,1,675
d121_11,d121_12,7,676
d121_11,d121_24,1,677
d121_12,d121_4,7,678
d121_14,d121_15,7,679
d121_14,d121_5,1,680
d121_15,d121_12,1,681
d121_15,d121_16,7,682
d121_16,d121_17,7,683
d121_16,d121_20,1,684
d121_17,d121_18,7,685
d121_17,d121_21,1,686
d121_18,d121_19,7,687
d121_18,d121_22,1,688
d121_19,d121_14,7,689
d121_19,d121_23,1,690
d121_2,d121_3,7,691
d121_2,d121_7,1,692
d121_24,d121_27,2,693
d121_24,d121_28,2,694
d121_25,d121_29,2,695
d121_25,d121_30,2,696
d121_26,d121_31,2,697
d121_26,d121_32,2,698
d121_3,d121_4,7,699
d121_3,d121_9,7,700
d121_4,d121_5,7,701
d121_5,d121_6,7,702
d121_6,d121_1,7,703
d121_6,d121_8,1,704
d121_9,d121_10,7,705
d121_9,d121_13,1,706
d122_1,d122_2,7,707
d122_1,d122_7,1,708
d122_11,d122_12,7,709
d122_11,d122_30,1,710
d122_12,d122_13,7,711
d122_12,d122_15,1,712
d122_13,d122_14,7,713
d122_13,d122_16,7,714
d122_14,d122_4,7,715
d122_16,d122_17,7,716
d122_16,d122_22,7,717
d122_17,d122_18,7,718
d122_18,d122_19,7,719
d122_18,d122_20,1,720
d122_19,d122_14,7,721
d122_19,d122_21,1,722
d122_2,d122_3,7,723
d122_2,d122_8,1,724
d122_22,d122_23,7,725
d122_22,d122_26,1,726
d122_23,d122_24,7,727
d122_23,d122_27,1,728
d122_24,d122_25,7,729
d122_24,d122_28,1,730
d122_25,d122_17,7,731
d122_25,d122_29,1,732
d122_3,d122_11,7,733
d122_3,d122_4,7,734
d122_30,d122_31,2,735
d122_30,d122_32,2,736
d122_4,d122_5,7,737
d122_5,d122_6,7,738
d122_5,d122_9,1,739
d122_6,d122_1,7,740
d122_6,d122_10,1,741
d123_1,d123_2,7,742
d123_1,d123_7,1,743
d123_11,d123_12,7,744
d123_12,d123_13,7,745
d123_12,d123_17,1,746
d123_13,d123_14,7,747
d123_13,d123_18,1,748
d123_14,d123_15,7,749
d123_14,d123_28,1,750
d123_15,d123_16,7,751
d123_15,d123_19,1,752
d123_16,d123_11,7,753
d123_16,d123_23,1,754
d123_19,d123_20,1,755
d123_19,d123_21,1,756
d123_19,d123_22,1,757
d123_2,d123_3,7,758
d123_2,d123_8,1,759
d123_24,d123_25,1,760
d123_24,d123_26,1,761
d123_24,d123_27,1,762
d123_28,d123_29,2,763
d123_28,d123_30,2,764
d123_3,d123_4,7,765
d123_3,d123_9,1,766
d123_4,d123_11,1,767
d123_4,d123_5,7,768
d123_5,d123_24,1,769
d123_5,d123_6,7,770
d123_6,d123_1,7,771
d123_6,d123_10,1,772
d124_1,d124_2,7,773
d124_1,d124_7,1,774
d124_10,d124_13,2,775
d124_10,d124_14,2,776
d124_2,d124_12,1,777
d124_2,d124_3,7,778
d124_3,d124_4,7,779
d124_3,d124_8,1,780
d124_4,d124_11,1,781
d124_4,d124_5,7,782
d124_5,d124_10,1,783
d124_5,d124_6,7,784
d124_6,d124_1,7,785
d124_6,d124_9,1,786
d125_1,d125_18,1,787
d125_1,d125_2,7,788
d125_10,d125_11,7,789
d125_10,d125_4,7,790
d125_11,d125_12,7,791
d125_12,d125_13,7,792
d125_12,d125_21,1,793
d125_13,d125_22,1,794
d125_13,d125_5,7,795
d125_14,d125_15,7,796
d125_14,d125_23,1,797
d125_15,d125_16,7,798
d125_15,d125_17,1,799
d125_16,d125_11,7,800
d125_16,d125_24,1,801
d125_17,d125_29,2,802
d125_17,d125_30,2,803
d125_2,d125_19,1,804
d125_2,d125_3,7,805
d125_3,d125_4,7,806
d125_3,d125_7,1,807
d125_4,d125_5,7,808
d125_5,d125_6,7,809
d125_6,d125_1,7,810
d125_6,d125_20,1,811
d125_7,d125_25,1,812
d125_7,d125_26,1,813
d125_7,d125_8,1,814
d125_8,d125_27,1,815
d125_8,d125_28,1,816
d125_8,d125_9,1,817
d125_9,d125_10,7,818
d125_9,d125_14,7,819
d126_1,d126_2,7,820
d126_1,d126_24,1,821
d126_10,d126_11,1,822
d126_10,d126_22,1,823
d126_11,d126_12,7,824
d126_11,d126_14,7,825
d126_12,d126_13,1,826
d126_13,d126_21,1,827
d126_13,d126_4,1,828
d126_14,d126_15,7,829
d126_14,d126_18,1,830
d126_15,d126_16,7,831
d126_15,d126_19,1,832
d126_16,d126_17,7,833
d126_16,d126_20,1,834
d126_17,d126_12,7,835
d126_17,d126_23,1,836
d126_2,d126_3,7,837
d126_2,d126_7,1,838
d126_23,d126_25,2,839
d126_23,d126_26,2,840
d126_24,d126_27,2,841
d126_24,d126_28,2,842
d126_3,d126_10,1,843
d126_3,d126_4,7,844
d126_4,d126_5,7,845
d126_5,d126_6,7,846
d126_5,d126_8,1,847
d126_6,d126_1,7,848
d126_6,d126_9,1,849
d127_1,d127_2,7,850
d127_1,d127_7,1,851
d127_11,d127_12,7,852
d127_12,d127_13,7,853
d127_12,d127_17,1,854
d127_13,d127_14,7,855
d127_13,d127_18,1,856
d127_14,d127_15,7,857
d127_14,d127_22,1,858
d127_15,d127_16,7,859
d127_15,d127_20,1,860
d127_16,d127_11,7,861
d127_16,d127_19,1,862
d127_2,d127_3,7,863
d127_2,d127_8,1,864
d127_20,d127_23,2,865
d127_20,d127_24,2,866
d127_21,d127_27,2,867
d127_21,d127_28,2,868
d127_22,d127_25,2,869
d127_22,d127_26,2,870
d127_3,d127_4,7,871
d127_3,d127_9,1,872
d127_4,d127_11,1,873
d127_4,d127_5,7,874
d127_5,d127_10,1,875
d127_5,d127_6,7,876
d127_6,d127_1,7,877
d127_6,d127_21,1,878
d128_1,d128_13,1,879
d128_1,d128_2,7,880
d128_10,d128_12,7,881
d128_10,d128_4,7,882
d128_11,d128_12,7,883
d128_11,d128_18,1,884
d128_12,d128_19,1,885
d128_2,d128_14,1,886
d128_2,d128_3,7,887
d128_20,d128_21,2,888
d128_20,d128_22,2,889
d128_3,d128_4,7,890
d128_3,d128_7,7,891
d128_4,d128_5,7,892
d128_5,d128_11,7,893
d128_5,d128_6,7,894
d128_6,d128_1,7,895
d128_6,d128_15,1,896
d128_7,d128_20,1,897
d128_7,d128_8,7,898
d128_8,d128_16,1,899
d128_8,d128_9,7,900
d128_9,d128_10,7,901
d128_9,d128_17,1,902
d129_1,d129_2,7,903
d129_1,d129_7,1,904
d129_10,d129_11,1,905
d129_10,d129_12,1,906
d129_11,d129_13,1,907
d129_11,d129_14,1,908
d129_15,d129_17,2,909
d129_15,d129_18,2,910
d129_16,d129_19,2,911
d129_16,d129_20,2,912
d129_2,d129_16,1,913
d129_2,d129_3,7,914
d129_3,d129_4,7,915
d129_3,d129_8,1,916
d129_4,d129_15,1,917
d129_4,d129_5,7,918
d129_5,d129_10,1,919
d129_5,d129_6,7,920
d129_6,d129_1,7,921
d129_6,d129_9,1,922
d12_1,d12_2,7,923
d12_1,d12_7,1,924
d12_10,d12_11,7,925
d12_11,d12_12,7,926
d12_11,d12_13,1,927
d12_12,d12_14,1,928
d12_12,d12_5,7,929
d12_15,d12_16,7,930
d12_15,d12_18,1,931
d12_16,d12_17,7,932
d12_16,d12_19,1,933
d12_17,d12_20,7,934
d12_17,d12_9,7,935
d12_2,d12_3,7,936
d12_2,d12_8,1,937
d12_20,d12_21,7,938
d12_20,d12_23,1,939
d12_21,d12_22,7,940
d12_21,d12_24,1,941
d12_22,d12_10,7,942
d12_22,d12_28,1,943
d12_25,d12_6,1,944
d12_26,d12_25,2,945
d12_27,d12_25,2,946
d12_28,d12_29,1,947
d12_28,d12_30,1,948
d12_3,d12_15,7,949
d12_3,d12_4,7,950
d12_4,d12_5,7,951
d12_4,d12_9,7,952
d12_5,d12_6,7,953
d12_6,d12_1,7,954
d12_9,d12_10,7,955
d130_1,d130_2,7,956
d130_1,d130_7,1,957
d130_11,d130_12,1,958
d130_12,d130_13,1,959
d130_12,d130_14,1,960
d130_12,d130_15,1,961
d130_16,d130_17,2,962
d130_16,d130_18,2,963
d130_2,d130_3,7,964
d130_2,d130_8,1,965
d130_3,d130_4,7,966
d130_3,d130_9,1,967
d130_4,d130_16,1,968
d130_4,d130_5,7,969
d130_5,d130_11,1,970
d130_5,d130_6,7,971
d130_6,d130_1,7,972
d130_6,d130_10,1,973
d131_1,d131_2,7,974
d131_1,d131_7,1,975
d131_11,d131_12,2,976
d131_11,d131_13,1,977
d131_12,d131_14,1,978
d131_12,d131_15,1,979
d131_14,d131_16,1,980
d131_16,d131_17,7,981
d131_17,d131_18,7,982
d131_17,d131_22,1,983
d131_18,d131_19,7,984
d131_18,d131_23,1,985
d131_19,d131_20,7,986
d131_19,d131_24,1,987
d131_2,d131_27,1,988
d131_2,d131_3,7,989
d131_20,d131_21,7,990
d131_20,d131_25,1,991
d131_21,d131_16,7,992
d131_21,d131_26,1,993
d131_27,d131_28,2,994
d131_27,d131_29,2,995
d131_3,d131_4,7,996
