Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
ap,a,a,6476.0,4.0,2014.0,0,0.0,0.0,
aq,a,a,0.0,11.0,2014.0,0,0.0,2011.0,
ar,a,b,7757.0,4.0,2005.0,1,9.0,2012.0,"Mar,Jun,Sept,Dec"
as,a,a,2983.0,10.0,2014.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
at,d,a,0.0,9.0,2013.0,1,5.0,2013.0,"Jan,Apr,Jul,Oct"
au,a,a,4803.0,1.0,2010.0,0,0.0,0.0,
av,a,c,10013.0,11.0,2007.0,0,0.0,0.0,
aw,d,c,6639.0,7.0,0.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
ax,c,a,10789.0,11.0,2005.0,0,0.0,0.0,
ay,a,a,17086.0,1.0,2010.0,0,40.0,2010.0,"Jan,Apr,Jul,Oct"
az,a,c,7313.0,9.0,2011.0,1,0.0,2011.0,"Jan,Apr,Jul,Oct"
aA,a,a,4266.0,11.0,0.0,1,45.0,2010.0,"Jan,Apr,Jul,Oct"
aB,a,a,0.0,6.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
aC,a,c,8501.0,11.0,2010.0,0,0.0,0.0,
aD,a,c,8379.0,0.0,2012.0,1,37.0,2013.0,"Jan,Apr,Jul,Oct"
aE,a,a,12906.0,11.0,2014.0,1,0.0,2011.0,
aF,c,a,8073.0,0.0,0.0,0,0.0,0.0,
aG,c,c,0.0,4.0,2013.0,0,0.0,0.0,
aH,a,a,0.0,3.0,2009.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
aI,a,c,7495.0,4.0,2014.0,1,1.0,2009.0,"Jan,Apr,Jul,Oct"
aJ,d,a,17230.0,4.0,0.0,0,0.0,0.0,
aK,d,a,0.0,9.0,2005.0,1,31.0,2011.0,
aL,d,a,10874.0,0.0,0.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
aM,a,a,4056.0,5.0,2011.0,1,0.0,0.0,
aN,a,b,1527.0,0.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
aO,a,a,2738.0,0.0,0.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
aP,c,a,5880.0,8.0,2010.0,0,0.0,0.0,
aQ,a,a,13369.0,0.0,2012.0,1,5.0,2014.0,"Jan,Apr,Jul,Oct"
aR,a,a,3468.0,4.0,2011.0,0,0.0,2013.0,
aS,a,a,10579.0,7.0,2014.0,1,22.0,2013.0,"Mar,Jun,Sept,Dec"
aT,d,c,21965.0,3.0,2008.0,0,0.0,0.0,
aU,d,c,3212.0,11.0,2003.0,0,0.0,0.0,
aV,a,a,657.0,6.0,2012.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
aW,a,a,0.0,4.0,2008.0,1,44.0,2012.0,"Mar,Jun,Sept,Dec"
aX,a,c,3081.0,4.0,0.0,1,31.0,2014.0,"Jan,Apr,Jul,Oct"
aY,a,a,4702.0,4.0,2014.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
aZ,a,c,4327.0,0.0,2014.0,1,31.0,2011.0,"Jan,Apr,Jul,Oct"
ba,a,c,8296.0,2.0,2011.0,0,0.0,0.0,
bb,d,c,1689.0,0.0,0.0,1,0.0,0.0,
bc,d,a,0.0,12.0,2011.0,1,31.0,2014.0,"Mar,Jun,Sept,Dec"
bd,c,c,2462.0,9.0,2013.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
be,d,c,20719.0,0.0,2012.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
bf,d,c,2740.0,4.0,2011.0,0,0.0,0.0,
bg,d,a,92.0,7.0,2003.0,1,37.0,2013.0,"Jan,Apr,Jul,Oct"
bh,d,a,2148.0,4.0,2008.0,0,0.0,2011.0,
bi,a,a,1430.0,0.0,2014.0,0,0.0,2011.0,
bj,c,c,10411.0,4.0,2012.0,0,0.0,0.0,
bk,a,a,5024.0,4.0,2011.0,0,0.0,0.0,
bl,a,c,0.0,4.0,2005.0,1,0.0,2011.0,"Jan,Apr,Jul,Oct"
bm,c,a,3893.0,0.0,0.0,0,0.0,0.0,
bn,a,c,11904.0,6.0,2006.0,0,0.0,0.0,
bo,a,c,13279.0,4.0,2005.0,1,45.0,2013.0,"Feb,May,Aug,Nov"
bp,d,c,0.0,0.0,0.0,0,0.0,0.0,
bq,d,a,10363.0,0.0,0.0,0,0.0,0.0,
br,a,a,0.0,0.0,2013.0,1,5.0,2013.0,"Jan,Apr,Jul,Oct"
bs,a,c,0.0,0.0,2005.0,1,28.0,2015.0,"Mar,Jun,Sept,Dec"
bt,a,a,3836.0,0.0,0.0,1,0.0,0.0,
bu,a,a,8288.0,9.0,0.0,0,0.0,2011.0,
bv,d,c,6402.0,0.0,0.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
bw,d,a,2594.0,11.0,2011.0,0,40.0,0.0,"Jan,Apr,Jul,Oct"
bx,a,c,1934.0,3.0,2008.0,1,28.0,2012.0,"Mar,Jun,Sept,Dec"
by,a,c,1841.0,11.0,0.0,1,5.0,2012.0,"Feb,May,Aug,Nov"
bz,d,a,4902.0,9.0,2009.0,1,0.0,0.0,
bA,a,a,15589.0,3.0,2014.0,0,0.0,0.0,
bB,d,a,7175.0,4.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
bC,c,c,9987.0,0.0,2012.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
bD,d,c,2924.0,9.0,2012.0,0,31.0,2011.0,"Jan,Apr,Jul,Oct"
bE,d,a,24258.0,5.0,1998.0,0,14.0,2011.0,
bF,a,c,5601.0,0.0,2013.0,0,0.0,0.0,
bG,d,a,0.0,0.0,2012.0,1,13.0,2009.0,"Feb,May,Aug,Nov"
bH,d,c,15659.0,7.0,2011.0,0,0.0,0.0,
bI,a,c,2456.0,12.0,2009.0,1,37.0,2012.0,"Jan,Apr,Jul,Oct"
bJ,d,a,0.0,10.0,2012.0,1,28.0,2015.0,"Mar,Jun,Sept,Dec"
bK,d,a,9383.0,9.0,2002.0,0,0.0,0.0,
bL,b,a,7618.0,11.0,2014.0,0,40.0,2013.0,
bM,a,c,7600.0,5.0,2009.0,1,0.0,0.0,"Jan,Apr,Jul,Oct"
bN,d,a,7741.0,4.0,2005.0,1,28.0,2015.0,"Mar,Jun,Sept,Dec"
bO,a,c,11993.0,3.0,2008.0,1,28.0,2014.0,"Feb,May,Aug,Nov"
bP,a,a,0.0,12.0,2006.0,1,0.0,2011.0,"Jan,Apr,Jul,Oct"
bQ,d,a,0.0,4.0,2015.0,1,13.0,2014.0,"Mar,Jun,Sept,Dec"
bR,d,a,0.0,0.0,2013.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
bS,a,a,3191.0,7.0,1998.0,1,36.0,2015.0,"Mar,Jun,Sept,Dec"
bT,d,c,8012.0,11.0,2013.0,0,0.0,0.0,
bU,a,a,2801.0,7.0,2006.0,1,1.0,2011.0,"Jan,Apr,Jul,Oct"
bV,a,c,0.0,0.0,0.0,1,10.0,0.0,"Jan,Apr,Jul,Oct"
bW,d,c,0.0,12.0,2008.0,1,0.0,0.0,"Jan,Apr,Jul,Oct"
bX,a,a,9500.0,3.0,2012.0,0,0.0,0.0,
bY,c,c,3159.0,0.0,0.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
bZ,a,a,12322.0,4.0,2007.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
ca,d,c,10151.0,6.0,2009.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
cb,a,c,7902.0,0.0,0.0,1,0.0,0.0,"Jan,Apr,Jul,Oct"
cc,c,c,8321.0,0.0,2013.0,0,0.0,0.0,
cd,a,a,16804.0,0.0,0.0,0,0.0,0.0,
ce,d,c,2343.0,9.0,2014.0,0,10.0,2013.0,"Jan,Apr,Jul,Oct"
cf,d,b,3779.0,9.0,2005.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
cg,a,a,4610.0,9.0,2010.0,0,0.0,0.0,
ch,a,a,7114.0,0.0,2010.0,1,0.0,0.0,"Jan,Apr,Jul,Oct"
ci,d,a,3349.0,0.0,2012.0,1,28.0,2015.0,"Jan,Apr,Jul,Oct"
cj,a,c,6656.0,0.0,2008.0,0,14.0,2011.0,
ck,b,c,0.0,12.0,2005.0,1,5.0,2014.0,"Jan,Apr,Jul,Oct"
cl,a,c,0.0,7.0,2005.0,1,18.0,2009.0,"Mar,Jun,Sept,Dec"
cm,b,c,5689.0,9.0,2012.0,1,37.0,2011.0,"Jan,Apr,Jul,Oct"
cn,d,a,3157.0,10.0,2005.0,1,28.0,2012.0,"Feb,May,Aug,Nov"
co,d,c,0.0,4.0,2013.0,1,13.0,2009.0,"Jan,Apr,Jul,Oct"
cp,a,a,9042.0,8.0,2015.0,0,40.0,2011.0,"Jan,Apr,Jul,Oct"
cq,a,a,2923.0,0.0,0.0,1,1.0,2014.0,"Jan,Apr,Jul,Oct"
cr,d,a,0.0,6.0,1998.0,1,40.0,2009.0,
cs,a,c,4481.0,0.0,2012.0,1,28.0,2010.0,"Feb,May,Aug,Nov"
ct,c,a,3058.0,12.0,2007.0,1,13.0,2009.0,"Feb,May,Aug,Nov"
cu,b,c,3689.0,9.0,2012.0,1,18.0,2012.0,"Mar,Jun,Sept,Dec"
cv,d,c,8095.0,4.0,2013.0,0,14.0,0.0,"Jan,Apr,Jul,Oct"
cw,d,a,0.0,0.0,0.0,1,48.0,2013.0,"Mar,Jun,Sept,Dec"
cx,a,c,990.0,3.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
cy,a,a,10386.0,7.0,2009.0,1,0.0,0.0,
cz,a,a,7447.0,3.0,0.0,0,0.0,0.0,
cA,a,c,0.0,9.0,0.0,1,22.0,2009.0,"Jan,Apr,Jul,Oct"
cB,a,a,1017.0,4.0,2013.0,0,0.0,0.0,
cC,a,a,17179.0,1.0,1998.0,1,0.0,0.0,
cD,b,a,0.0,11.0,2011.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct"
cE,c,a,2487.0,0.0,2010.0,0,0.0,0.0,
cF,a,a,13141.0,1.0,2000.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
cG,a,a,0.0,4.0,0.0,1,45.0,2015.0,"Mar,Jun,Sept,Dec"
cH,c,c,5796.0,4.0,2014.0,1,14.0,2011.0,
cI,a,b,3134.0,0.0,2013.0,0,0.0,0.0,
cJ,d,c,13527.0,0.0,0.0,1,14.0,2014.0,
cK,a,c,4238.0,0.0,2013.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
cL,d,a,0.0,1.0,2015.0,1,9.0,2014.0,"Jan,Apr,Jul,Oct"
cM,d,a,9814.0,4.0,2013.0,1,37.0,2014.0,"Jan,Apr,Jul,Oct"
cN,a,a,3825.0,2.0,2011.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
cO,c,c,7147.0,1.0,1998.0,1,0.0,0.0,
cP,d,c,40.0,0.0,2013.0,0,0.0,0.0,
cQ,a,a,0.0,11.0,2001.0,0,0.0,0.0,
cR,d,a,338.0,3.0,2015.0,0,31.0,2011.0,"Jan,Apr,Jul,Oct"
cS,a,c,2626.0,10.0,2003.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
cT,a,c,6289.0,0.0,2012.0,0,0.0,2011.0,
cU,d,c,9208.0,10.0,2008.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
cV,a,a,6044.0,9.0,0.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
cW,d,c,2654.0,0.0,0.0,1,35.0,2013.0,"Feb,May,Aug,Nov"
cX,d,c,0.0,10.0,2014.0,0,0.0,2011.0,
cY,a,a,6224.0,7.0,2014.0,0,0.0,0.0,
cZ,d,c,6333.0,1.0,2002.0,0,40.0,0.0,
da,a,c,849.0,0.0,0.0,0,0.0,0.0,
db,a,c,9925.0,11.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
dc,c,a,1452.0,1.0,2006.0,1,9.0,2012.0,"Feb,May,Aug,Nov"
dd,d,a,12384.0,0.0,0.0,1,27.0,2010.0,"Mar,Jun,Sept,Dec"
de,d,a,7698.0,11.0,2010.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
df,a,c,7009.0,3.0,2010.0,1,14.0,2014.0,
dg,b,c,4310.0,0.0,2013.0,1,28.0,2012.0,"Jan,Apr,Jul,Oct"
dh,a,a,3261.0,0.0,0.0,0,40.0,2013.0,
di,d,c,17758.0,4.0,2012.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
dj,d,c,16644.0,4.0,2013.0,1,45.0,2012.0,"Jan,Apr,Jul,Oct"
dk,a,c,5905.0,11.0,2013.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
dl,a,b,0.0,0.0,0.0,1,14.0,2009.0,"Jan,Apr,Jul,Oct"
dm,a,c,0.0,3.0,2007.0,0,0.0,0.0,
dn,c,c,12297.0,7.0,2008.0,0,0.0,0.0,
do,a,a,9100.0,6.0,2012.0,1,31.0,2014.0,"Jan,Apr,Jul,Oct"
dp,a,c,12697.0,7.0,2015.0,0,0.0,0.0,
dq,c,a,0.0,11.0,2014.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct"
dr,a,b,3188.0,9.0,2012.0,0,0.0,0.0,
ds,d,c,0.0,0.0,0.0,1,18.0,2011.0,"Jan,Apr,Jul,Oct"
dt,a,c,11077.0,4.0,2009.0,0,0.0,0.0,
du,b,b,20482.0,11.0,2013.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
dv,a,a,5772.0,0.0,0.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
dw,b,c,14042.0,4.0,0.0,0,0.0,0.0,
dx,a,b,13909.0,4.0,2014.0,1,5.0,2012.0,"Jan,Apr,Jul,Oct"
dy,a,a,17171.0,12.0,2009.0,0,0.0,0.0,
dz,d,c,24912.0,9.0,0.0,0,40.0,0.0,
dA,d,c,4782.0,2.0,1998.0,0,0.0,0.0,
dB,d,c,0.0,0.0,0.0,1,0.0,0.0,
dC,a,c,4223.0,9.0,0.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
dD,d,a,7527.0,1.0,2007.0,1,40.0,2013.0,
dE,a,c,9436.0,11.0,2013.0,0,0.0,0.0,
dF,a,a,19024.0,5.0,2008.0,0,0.0,0.0,
dG,a,a,3145.0,9.0,2006.0,0,40.0,2011.0,"Feb,May,Aug,Nov"
dH,a,a,1076.0,12.0,2009.0,1,5.0,0.0,"Jan,Apr,Jul,Oct"
dI,a,c,10036.0,0.0,0.0,1,0.0,0.0,
dJ,d,b,0.0,4.0,2006.0,1,28.0,2015.0,"Mar,Jun,Sept,Dec"
dK,a,c,6014.0,11.0,0.0,0,0.0,0.0,
dL,d,a,0.0,5.0,2006.0,0,0.0,0.0,
dM,d,a,3522.0,3.0,2012.0,0,40.0,2013.0,
dN,a,a,0.0,10.0,2009.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
dO,d,a,6798.0,12.0,2010.0,0,0.0,0.0,
dP,a,b,0.0,0.0,2013.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
dQ,d,c,14382.0,9.0,2005.0,0,0.0,0.0,
dR,a,c,0.0,7.0,2010.0,0,0.0,0.0,
dS,a,a,3318.0,1.0,2002.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
dT,d,a,3609.0,1.0,1961.0,1,0.0,2014.0,"Jan,Apr,Jul,Oct"
dU,a,a,9827.0,0.0,0.0,0,0.0,0.0,
dV,a,c,4373.0,3.0,2006.0,0,14.0,0.0,
dW,b,a,4462.0,0.0,2012.0,1,5.0,2013.0,"Jan,Apr,Jul,Oct"
dX,d,c,4693.0,3.0,0.0,1,40.0,2014.0,"Mar,Jun,Sept,Dec"
dY,a,a,12484.0,12.0,2005.0,0,0.0,0.0,
dZ,a,b,5177.0,0.0,2014.0,0,0.0,2013.0,
ea,d,c,0.0,1.0,2006.0,1,37.0,2012.0,"Jan,Apr,Jul,Oct"
eb,a,a,3809.0,7.0,2008.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
ec,d,a,0.0,4.0,0.0,1,0.0,2011.0,
ed,a,c,4499.0,0.0,2012.0,0,0.0,0.0,
ee,d,a,6247.0,3.0,2014.0,0,0.0,0.0,
ef,d,a,3647.0,3.0,2011.0,1,5.0,2012.0,"Jan,Apr,Jul,Oct"
eg,a,c,0.0,11.0,2013.0,1,40.0,2013.0,
eh,a,a,0.0,1.0,2006.0,1,0.0,0.0,
ei,d,a,2564.0,0.0,0.0,1,28.0,2015.0,"Jan,Apr,Jul,Oct"
ej,a,a,6303.0,5.0,2009.0,1,28.0,2015.0,"Feb,May,Aug,Nov"
ek,d,a,6479.0,10.0,1998.0,1,5.0,2014.0,"Jan,Apr,Jul,Oct"
el,d,a,1360.0,4.0,2006.0,1,5.0,2012.0,"Jan,Apr,Jul,Oct"
em,a,a,3791.0,10.0,2008.0,0,45.0,2013.0,"Jan,Apr,Jul,Oct"
en,a,a,233.0,0.0,2013.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
eo,c,a,0.0,5.0,1998.0,1,28.0,2015.0,"Mar,Jun,Sept,Dec"
ep,d,c,0.0,1.0,1998.0,0,0.0,2011.0,
eq,a,a,4292.0,11.0,2013.0,1,13.0,2012.0,"Jan,Apr,Jul,Oct"
er,d,a,947.0,9.0,0.0,0,0.0,0.0,
es,a,a,7151.0,11.0,2010.0,0,0.0,0.0,
et,a,a,10512.0,7.0,2014.0,1,14.0,2014.0,
eu,a,c,13838.0,4.0,0.0,0,0.0,0.0,
ev,d,a,10941.0,11.0,0.0,0,0.0,0.0,
ew,d,a,10534.0,11.0,0.0,1,39.0,2015.0,"Feb,May,Aug,Nov"
ex,a,a,0.0,4.0,2015.0,0,0.0,0.0,
ey,d,c,13064.0,12.0,2011.0,1,31.0,2014.0,"Feb,May,Aug,Nov"
ez,a,c,9907.0,3.0,2013.0,0,31.0,0.0,
eA,a,c,0.0,9.0,2012.0,0,0.0,0.0,
eB,a,c,0.0,0.0,2014.0,1,31.0,2014.0,"Jan,Apr,Jul,Oct"
eC,a,c,10594.0,0.0,2010.0,0,0.0,0.0,
eD,a,a,1663.0,6.0,1998.0,1,37.0,2010.0,"Feb,May,Aug,Nov"
eE,a,a,14896.0,6.0,2012.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
eF,a,c,0.0,10.0,2011.0,1,22.0,2014.0,"Jan,Apr,Jul,Oct"
eG,a,a,0.0,9.0,2013.0,1,28.0,2015.0,"Mar,Jun,Sept,Dec"
eH,d,c,3850.0,0.0,0.0,0,0.0,0.0,
eI,c,a,4882.0,0.0,2005.0,0,0.0,0.0,
eJ,d,c,30.0,11.0,2009.0,1,13.0,2013.0,"Jan,Apr,Jul,Oct"
eK,a,a,17637.0,4.0,0.0,1,0.0,0.0,
eL,a,a,688.0,6.0,2009.0,0,0.0,0.0,
eM,a,a,0.0,11.0,2005.0,1,28.0,2014.0,"Mar,Jun,Sept,Dec"
eN,d,c,6081.0,3.0,2010.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
eO,d,a,2455.0,2.0,2013.0,0,0.0,0.0,
eP,b,a,0.0,9.0,2014.0,0,0.0,2011.0,
eQ,d,c,6352.0,11.0,2007.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
eR,d,c,12556.0,6.0,2005.0,1,0.0,2011.0,"Jan,Apr,Jul,Oct"
eS,a,c,6474.0,2.0,2009.0,1,1.0,2009.0,"Jan,Apr,Jul,Oct"
eT,a,a,15169.0,7.0,2008.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
eU,a,a,0.0,3.0,2006.0,1,37.0,2012.0,"Jan,Apr,Jul,Oct"
eV,d,a,0.0,3.0,2008.0,1,10.0,2010.0,"Feb,May,Aug,Nov"
eW,c,c,705.0,0.0,0.0,1,0.0,0.0,
eX,a,a,0.0,0.0,0.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
eY,a,c,2303.0,0.0,0.0,0,0.0,0.0,
eZ,a,a,1030.0,1.0,2007.0,1,45.0,2014.0,"Jan,Apr,Jul,Oct"
fa,a,a,3027.0,9.0,0.0,1,37.0,2015.0,"Jan,Apr,Jul,Oct"
fb,a,a,3174.0,2.0,1998.0,1,10.0,2013.0,"Jan,Apr,Jul,Oct"
fc,a,a,597.0,11.0,0.0,1,10.0,2014.0,"Feb,May,Aug,Nov"
fd,a,c,17945.0,0.0,0.0,0,0.0,0.0,
fe,d,c,8395.0,4.0,0.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
ff,d,a,0.0,0.0,2014.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
fg,a,a,3703.0,11.0,2013.0,0,0.0,0.0,
fh,d,a,3184.0,3.0,2012.0,0,10.0,2011.0,"Jan,Apr,Jul,Oct"
fi,d,c,6928.0,4.0,2005.0,0,0.0,0.0,
fj,d,c,3002.0,11.0,2011.0,0,0.0,0.0,
fk,d,a,0.0,12.0,2005.0,0,0.0,0.0,
fl,a,a,8203.0,1.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
fm,d,a,4131.0,1.0,1998.0,0,0.0,0.0,
fn,a,c,0.0,9.0,2011.0,0,14.0,0.0,
fo,a,a,11608.0,0.0,2013.0,0,31.0,2011.0,"Jan,Apr,Jul,Oct"
fp,a,c,0.0,4.0,2014.0,0,0.0,0.0,
fq,d,a,1252.0,1.0,2001.0,0,0.0,0.0,
fr,a,c,7917.0,9.0,0.0,0,0.0,0.0,
fs,a,a,1743.0,0.0,2013.0,1,28.0,2015.0,"Mar,Jun,Sept,Dec"
ft,d,a,8580.0,11.0,2012.0,1,5.0,2014.0,"Mar,Jun,Sept,Dec"
fu,d,a,0.0,11.0,2002.0,0,0.0,0.0,
fv,d,a,0.0,9.0,2014.0,1,28.0,2012.0,"Jan,Apr,Jul,Oct"
fw,a,a,9876.0,11.0,2006.0,0,0.0,0.0,
fx,d,a,0.0,0.0,2014.0,1,10.0,2009.0,"Feb,May,Aug,Nov"
fy,a,c,6452.0,0.0,2012.0,1,0.0,0.0,
fz,a,a,9300.0,3.0,1998.0,0,0.0,0.0,
fA,a,c,16518.0,3.0,2002.0,1,14.0,2011.0,
