element,type,charge,molecule_id,atom_id
c,10,-0.091,1154,1191
c,10,0.021,1154,1192
c,10,-0.191,1154,1193
h,3,0.145,1154,1194
o,40,-0.418,1154,1195
c,34,0.09,1154,1196
c,10,-0.386,1250,1210
c,10,-0.377,1250,1212
c,10,-0.392,1250,1213
c,10,-0.404,1250,1214
n,21,0.067,1250,1215
o,40,0.015,1250,1216
h,3,0.014,1250,1217
o,40,-0.39,1250,1218
h,3,0.142,1250,1219
c,10,-0.392,1250,1220
c,10,-0.393,1250,1221
o,40,-0.39,1250,1222
h,3,0.146,1250,1223
c,10,-0.081,1250,1224
c,10,-0.393,1250,1225
c,10,-0.088,1250,1226
c,10,-0.404,1250,1227
h,3,0.142,1250,1229
o,40,-0.398,1250,1230
o,40,-0.094,1250,1231
c,10,-0.404,1268,1264
c,10,-0.081,1268,1265
c,10,-0.393,1268,1266
c,10,-0.379,1268,1267
c,10,-0.079,1268,1269
c,10,-0.089,1268,1270
c,10,-0.089,1268,1271
c,10,-0.395,1268,1272
c,10,-0.079,1268,1273
o,40,-0.384,1268,1274
o,40,-0.391,1268,1275
c,10,-0.379,1268,1276
h,3,0.145,1268,1277
o,40,-0.384,1268,1278
h,3,0.152,1268,1279
h,3,0.138,1268,1280
h,3,0.142,1268,1281
h,3,0.146,1268,1282
h,3,0.141,1268,1283
h,3,-0.122,1268,1284
o,45,-0.398,1268,1285
h,3,0.141,1268,1286
c,10,-0.079,1268,1287
h,3,0.061,1268,1288
c,10,-0.393,1268,1289
c,10,-0.079,1268,1290
c,10,-0.089,1268,1291
c,10,-0.089,1268,1292
c,10,0.018,1268,1293
c,10,-0.395,1268,1294
c,10,-0.091,1315,1316
c,10,0.046,1315,1317
c,10,-0.291,1315,1318
c,10,0.816,1315,1319
c,10,0.816,1315,1320
c,10,0.046,1315,1321
c,10,-0.076,1315,1322
c,10,0.006,1315,1323
c,10,0.055,1315,1324
n,38,-0.096,1315,1325
c,10,-0.382,1315,1326
c,10,0.006,1315,1327
c,10,-0.396,1315,1328
c,10,-0.137,1315,1329
o,40,-0.343,1315,1330
h,3,0.154,1315,1331
h,3,0.154,1315,1332
h,3,0.801,1315,1333
o,40,0.031,1315,1334
h,3,0.154,1315,1335
h,3,0.801,1315,1336
h,3,0.126,1315,1337
c,10,0.006,1315,1338
h,3,0.126,1315,1339
o,16,0.017,1315,1340
o,40,-0.089,1315,1341
o,16,0.017,1315,1342
h,3,0.019,1315,1343
c,19,-0.191,1315,1344
h,3,0.154,1315,1345
c,38,0.006,1315,1346
c,16,0.017,1315,1347
h,3,0.019,1315,1348
c,10,0.017,1315,1349
h,3,0.126,1315,1350
c,10,-0.091,1315,1351
c,10,-0.137,1315,1352
c,10,-0.091,1315,1353
c,10,-0.291,1315,1354
c,10,-0.382,1315,1355
c,10,-0.363,1441,1401
c,10,-0.083,1441,1403
c,10,0.016,1441,1404
c,10,-0.779,1441,1405
n,49,-0.412,1441,1406
o,40,-0.108,1441,1407
o,40,-0.113,1441,1408
h,3,0.13,1441,1409
n,21,-0.106,1441,1410
c,10,0.016,1441,1411
c,10,-0.089,1441,1412
o,40,-0.094,1441,1413
f,45,-0.112,1441,1414
c,10,-0.083,1441,1415
c,10,-0.144,1441,1416
c,10,-0.083,1441,1417
c,10,-0.384,1441,1418
o,40,-0.393,1441,1420
o,40,-0.082,1441,1421
h,3,0.149,1441,1422
h,3,-0.125,1443,1442
c,10,0.015,1443,1471
h,3,0.149,1443,1472
c,10,-0.11,1443,1473
c,10,0.015,1443,1474
c,26,0.015,1443,1475
c,10,-0.394,1443,1476
c,10,-0.418,1443,1477
c,10,0.015,1443,1478
o,40,-0.388,1443,1479
o,40,-0.088,1443,1480
h,3,-0.122,1443,1481
c,10,-0.418,1443,1482
o,40,-0.385,1443,1483
c,10,-0.385,1443,1484
c,10,-0.082,1443,1485
o,40,-0.388,1443,1486
h,3,0.142,1443,1487
h,3,0.134,1443,1488
h,3,0.142,1443,1489
c,10,-0.088,1443,1490
c,10,-0.384,1443,1491
c,10,-0.107,1443,1492
c,10,-0.393,1443,1493
h,3,0.141,1443,1494
h,3,0.142,1443,1495
c,10,-0.137,1515,1496
c,10,0.017,1515,1497
c,10,0.046,1515,1498
c,22,0.005,1515,1499
c,22,0.823,1515,1500
c,10,0.055,1515,1501
o,49,-0.137,1515,1502
c,16,-0.076,1515,1503
c,10,-0.395,1515,1504
o,41,-0.384,1515,1505
n,21,-0.137,1515,1506
c,10,-0.137,1515,1507
c,10,-0.137,1515,1508
c,10,-0.137,1515,1509
c,10,0.006,1515,1510
c,10,-0.137,1515,1511
o,52,-0.191,1515,1512
c,16,0.006,1515,1513
c,38,0.006,1515,1514
c,10,-0.083,1562,1563
o,40,-0.383,1562,1564
c,10,-0.083,1562,1565
c,10,-0.395,1562,1566
c,10,-0.083,1562,1567
c,10,0.006,1562,1568
c,10,-0.083,1562,1569
c,10,-0.395,1562,1570
o,40,0.805,1562,1571
o,40,0.017,1562,1572
n,1,-0.106,1562,1573
c,10,-0.083,1562,1574
n,21,0.801,1562,1575
c,10,-0.083,1562,1576
c,10,-0.083,1562,1577
o,40,-0.369,1562,1578
n,22,0.055,1562,1579
b,3,-0.368,1562,1580
h,3,0.056,1562,1581
c,10,-0.083,1562,1582
c,10,-0.083,1562,1583
c,10,-0.395,1562,1584
c,10,-0.083,1562,1585
h,3,0.058,1562,1586
h,3,0.058,1562,1587
o,40,0.805,1562,1588
h,3,0.146,1639,1590
c,10,-0.089,1639,1591
c,10,-0.404,1639,1592
c,10,-0.083,1639,1593
o,40,-0.384,1639,1594
h,3,0.146,1639,1595
o,40,-0.384,1639,1596
h,3,0.138,1639,1597
h,3,0.288,1639,1598
h,3,0.145,1639,1599
h,3,0.139,1639,1600
c,10,0.005,1639,1601
c,10,-0.393,1639,1602
o,40,-0.384,1639,1603
c,10,0.005,1639,1604
h,3,0.142,1639,1605
c,10,-0.088,1639,1640
c,10,-0.393,1639,1641
c,10,-0.393,1639,1642
c,10,-0.393,1639,1643
c,10,-0.11,1639,1644
h,3,0.136,1639,1645
c,10,0.005,1639,1646
c,10,-0.083,1639,1647
c,10,-0.393,1639,1648
c,10,-0.404,1639,1649
c,10,-0.083,1639,1650
c,10,-0.343,1639,1651
c,10,-0.404,1639,1652
h,3,0.054,1639,1653
c,10,-0.076,1681,1682
o,40,0.805,1681,1683
c,10,-0.083,1681,1684
c,10,-0.4,1681,1685
c,10,-0.363,1681,1686
c,10,-0.083,1681,1687
c,10,-0.363,1681,1688
c,10,-0.083,1681,1689
h,3,-0.125,1681,1690
h,3,0.134,1681,1691
o,40,-0.383,1681,1692
c,10,-0.083,1681,1693
h,3,0.132,1681,1694
c,10,-0.363,1681,1695
c,10,-0.083,1681,1696
o,40,-0.398,1681,1697
h,3,0.146,1681,1698
h,1,0.188,1681,1699
b,3,-0.368,1681,1700
c,10,-0.076,1681,1701
c,10,-0.4,1681,1702
c,10,-0.191,1681,1703
c,10,-0.083,1681,1704
h,3,-0.125,1681,1705
o,40,-0.084,1681,1706
o,40,-0.383,1681,1707
c,10,-0.099,1753,1708
o,40,-0.385,1753,1709
h,3,0.051,1753,1710
c,10,-0.091,1753,1711
c,10,-0.091,1753,1712
h,3,0.133,1753,1713
c,93,-0.084,1753,1714
h,3,0.145,1753,1715
o,40,0.008,1753,1716
c,10,-0.385,1753,1717
c,10,-0.091,1753,1718
c,10,-0.779,1753,1719
c,10,0.006,1753,1720
c,34,-0.099,1753,1721
o,40,-0.385,1753,1722
h,3,0.328,1753,1723
c,10,-0.076,1753,1754
c,10,-0.093,1753,1755
c,10,-0.091,1753,1756
c,10,-0.091,1753,1757
c,10,-0.394,1753,1758
c,10,-0.089,1753,1759
c,10,-0.091,1753,1760
h,3,0.134,1753,1761
h,3,0.328,1753,1762
h,3,0.133,1753,1763
c,10,-0.191,1753,1764
c,10,-0.396,1804,1785
n,49,0.006,1804,1786
c,10,0.004,1804,1787
c,10,-0.376,1804,1788
c,10,-0.137,1804,1789
c,3,0.182,1804,1790
n,38,-0.191,1804,1791
h,3,-0.124,1804,1792
c,10,-0.083,1804,1793
o,40,0.024,1804,1794
o,40,-0.389,1804,1795
c,10,-0.148,1804,1796
c,10,-0.395,1804,1797
c,10,-0.137,1804,1798
c,10,-0.137,1804,1799
c,10,-0.137,1804,1800
h,3,0.153,1804,1801
h,3,0.142,1804,1802
o,16,-0.092,1804,1803
c,10,-0.392,1830,1823
c,10,-0.418,1830,1824
c,10,-0.11,1830,1827
c,10,-0.091,1830,1828
c,10,0.015,1830,1829
h,3,0.141,1830,1831
c,10,-0.173,1830,1832
c,10,-0.392,1830,1833
c,10,-0.392,1830,1834
h,3,0.127,1830,1835
n,21,0.126,1830,1836
c,10,-0.377,1830,1837
c,10,-0.395,1830,1838
c,10,-0.089,1830,1839
c,10,-0.392,1830,1840
o,40,-0.383,1830,1841
h,3,0.139,1830,1842
h,3,-0.12,1830,1843
c,10,-0.083,1830,1844
o,40,-0.391,1830,1845
h,3,0.058,1830,1846
c,10,-0.404,1830,1847
c,10,-0.081,1830,1848
c,10,-0.081,1830,1849
c,10,-0.392,1830,1850
o,40,-0.391,1830,1851
h,3,0.139,1830,1852
b,3,0.811,1830,1853
c,10,-0.091,1921,1865
c,10,-0.091,1921,1866
c,10,-0.091,1921,1867
c,10,-0.091,1921,1868
h,3,0.801,1921,1869
c,34,0.006,1921,1870
c,10,-0.144,1921,1871
c,10,-0.091,1921,1872
c,10,-0.091,1921,1873
o,40,0.015,1921,1874
h,3,0.127,1921,1875
c,10,-0.091,1921,1876
c,10,-0.091,1921,1877
c,10,-0.091,1921,1878
c,10,0.147,1921,1879
h,3,0.288,1921,1880
h,3,0.127,1921,1881
c,10,-0.091,1921,1882
c,10,-0.091,1921,1883
h,3,0.154,1921,1884
o,40,-0.379,1921,1885
h,3,0.126,1921,1886
c,10,-0.091,1921,1887
o,40,-0.11,1921,1888
c,10,-0.091,1921,1889
c,10,-0.091,1921,1890
c,10,-0.091,1921,1891
o,40,0.015,1921,1892
h,3,0.136,1921,1893
c,10,-0.091,1921,1894
c,10,-0.375,1981,1956
c,10,-0.11,1981,1957
c,10,0.006,1981,1958
c,10,-0.191,1981,1959
c,10,-0.191,1981,1960
h,3,0.148,1981,1961
c,10,-0.083,1981,1962
o,40,-0.108,1981,1963
h,3,0.152,1981,1964
o,40,-0.089,1981,1965
o,40,-0.082,1981,1966
c,10,-0.384,1981,1967
h,3,0.154,1981,1968
h,3,0.145,1981,1969
o,40,-0.123,1981,1970
h,3,0.152,1981,1971
o,40,0.059,1981,1972
h,3,0.154,1981,1973
c,10,-0.089,1981,1974
c,10,-0.089,1981,1975
c,10,-0.144,1981,1976
c,10,0.016,1981,1977
c,10,-0.191,1981,1978
c,10,-0.083,1981,1979
c,10,-0.363,1981,1980
h,3,0.187,1994,1982
h,3,0.143,1994,1983
c,10,0.113,1994,1984
h,1,0.012,1994,1985
h,3,0.056,1994,1986
c,10,-0.076,1994,1987
c,10,0.006,1994,1988
c,10,0.006,1994,1989
c,10,-0.076,1994,1990
h,3,0.118,1994,1991
h,1,-0.134,1994,1992
h,1,-0.084,1994,1993
c,10,0.006,1994,2023
h,3,0.118,1994,2024
h,3,0.058,1994,2025
c,10,-0.083,1994,2026
c,10,0.006,1994,2027
c,10,-0.393,1994,2028
c,10,-0.379,1994,2029
c,10,-0.076,1994,2030
c,10,0.006,1994,2031
h,3,0.146,1994,2032
h,3,0.146,1994,2033
c,10,0.006,1994,2034
h,1,-0.137,1994,2035
c,10,0.006,1994,2036
h,3,0.118,1994,2037
c,10,0.823,2079,2057
o,52,-0.191,2079,2058
c,10,-0.137,2079,2059
c,10,-0.137,2079,2060
c,10,-0.137,2079,2061
c,10,-0.137,2079,2062
o,40,-0.385,2079,2063
c,21,0.017,2079,2064
o,41,0.013,2079,2065
c,10,-0.137,2079,2066
n,28,-0.137,2079,2067
c,10,0.006,2079,2068
o,52,0.016,2079,2069
c,10,-0.413,2079,2070
c,10,-0.137,2079,2071
c,10,0.069,2079,2072
c,10,-0.137,2079,2073
c,22,-0.291,2079,2074
c,52,-0.137,2079,2075
c,22,-0.191,2079,2076
c,10,-0.393,2094,2080
n,45,-0.291,2094,2081
c,10,-0.381,2094,2082
f,92,-0.084,2094,2083
n,21,0.145,2094,2084
c,16,-0.084,2094,2085
c,10,0.016,2094,2086
c,10,-0.369,2094,2087
c,10,0.016,2094,2088
c,10,0.016,2094,2089
c,10,0.016,2094,2090
b,3,0.333,2094,2091
c,22,-0.142,2094,2092
n,3,0.011,2094,2093
h,3,0.019,2164,2109
c,10,-0.091,2164,2148
h,3,0.123,2164,2149
c,10,-0.091,2164,2150
c,10,-0.091,2164,2151
n,38,0.143,2164,2152
c,10,-0.091,2164,2153
h,3,0.13,2164,2154
c,10,-0.091,2164,2155
c,10,-0.091,2164,2156
c,10,-0.091,2164,2157
c,10,-0.091,2164,2158
c,10,0.006,2164,2159
h,3,0.13,2164,2160
c,34,-0.191,2164,2161
c,10,-0.091,2164,2162
c,10,-0.091,2164,2163
c,10,-0.137,2164,2165
h,3,0.126,2164,2166
