CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2SinceWeek,Promo2SinceYear,StoreType,Assortment,Promo2,PromoInterval,Store,node_type
140,0,0,40,2015,a,c,1,"Mar,Jun,Sept,Dec",103,store
2117,4,2015,0,0,a,a,0,,104,store
2683,4,2010,18,2015,c,a,1,"Jan,Apr,Jul,Oct",105,store
572,12,2007,0,0,a,a,0,,106,store
1551,9,2007,0,0,a,a,0,,107,store
8383,4,2007,0,0,a,a,0,,108,store
1070,8,2013,0,0,a,a,0,,109,store
258,0,0,19,2013,a,a,1,"Feb,May,Aug,Nov",110,store
499,0,0,40,2014,a,c,1,"Jan,Apr,Jul,Oct",111,store
3156,0,0,16,2015,d,c,1,"Feb,May,Aug,Nov",112,store
15364,10,0,40,2009,d,c,1,"Jan,Apr,Jul,Oct",113,store
543,12,2007,16,2013,a,a,1,"Jan,Apr,Jul,Oct",114,store
2262,10,2011,0,0,d,c,0,,115,store
708,4,0,0,0,b,a,0,,116,store
2476,8,2014,0,0,c,a,0,,117,store
5370,0,0,14,2013,d,a,1,"Feb,May,Aug,Nov",118,store
2606,12,2010,0,0,a,a,0,,119,store
2527,7,2010,40,2009,d,a,1,"Jan,Apr,Jul,Oct",120,store
3531,11,2011,22,2013,d,a,1,"Jan,Apr,Jul,Oct",121,store
138,8,2009,0,0,c,c,0,,122,store
1419,0,0,16,2014,a,c,1,"Mar,Jun,Sept,Dec",123,store
598,7,2013,25,2015,a,a,1,"Jan,Apr,Jul,Oct",124,store
2586,12,2008,0,0,d,a,0,,125,store
6948,2,2009,0,0,c,c,0,,126,store
1002,8,2007,14,2011,a,a,1,"Jan,Apr,Jul,Oct",127,store
14952,0,0,0,0,d,c,0,,128,store
114,2,2014,9,2013,a,a,1,"Jan,Apr,Jul,Oct",129,store
285,9,2013,0,0,a,a,0,,130,store
309,12,2005,0,0,a,a,0,,131,store
138,2,2010,9,2010,a,a,1,"Jan,Apr,Jul,Oct",132,store
5106,5,2014,35,2009,d,c,1,"Jan,Apr,Jul,Oct",133,store
2734,10,2007,0,0,c,c,0,,134,store
4536,5,2010,0,0,a,a,0,,135,store
3539,7,2004,37,2012,a,c,1,"Feb,May,Aug,Nov",136,store
726,0,0,18,2011,a,c,1,"Feb,May,Aug,Nov",137,store
217,7,2002,0,0,a,a,0,,138,store
72,6,2015,0,0,a,a,0,,139,store
22,12,2013,0,0,a,a,0,,140,store
8567,4,2014,15,2013,d,a,1,"Jan,Apr,Jul,Oct",141,store
319,12,2013,13,2011,a,a,1,"Jan,Apr,Jul,Oct",142,store
1628,6,2007,0,0,a,a,0,,143,store
106,12,2009,7,2012,a,a,1,"Mar,Jun,Sept,Dec",144,store
1097,3,2014,14,2011,a,a,1,"Jan,Apr,Jul,Oct",145,store
2321,10,2014,40,2009,d,a,1,"Feb,May,Aug,Nov",146,store
152,0,0,43,2009,d,a,1,"Feb,May,Aug,Nov",147,store
375,9,2005,0,2010,a,a,1,"Jan,Apr,Jul,Oct",148,store
249,7,2006,10,2015,c,a,1,"Jan,Apr,Jul,Oct",149,store
326,1,2012,5,2013,d,c,1,"Jan,Apr,Jul,Oct",150,store
2181,3,2013,0,0,c,a,0,,151,store
1420,2,2009,14,2013,a,a,1,"Jan,Apr,Jul,Oct",152,store
2170,9,2007,9,2011,d,c,1,"Mar,Jun,Sept,Dec",153,store
5742,0,0,0,0,a,c,0,,154,store
1211,0,0,0,0,a,a,0,,155,store
1952,3,2010,40,2009,a,c,1,"Mar,Jun,Sept,Dec",156,store
73389,9,2011,0,0,c,a,0,,157,store
599,12,2003,0,0,a,a,0,,158,store
13636,10,2007,28,2012,d,c,1,"Jan,Apr,Jul,Oct",159,store
15636,2,2005,0,0,a,c,0,,160,store
179,0,0,47,2014,a,c,1,"Jan,Apr,Jul,Oct",161,store
18679,7,2011,0,0,d,c,0,,162,store
1178,11,2006,35,2013,d,c,1,"Feb,May,Aug,Nov",163,store
5707,11,2008,0,0,d,c,0,,164,store
2699,10,2010,13,2013,a,c,1,"Feb,May,Aug,Nov",165,store
2620,11,2009,20,2013,d,a,1,"Feb,May,Aug,Nov",166,store
9359,4,2003,0,0,d,c,0,,167,store
11628,7,2013,0,0,a,a,0,,168,store
9322,11,2007,0,0,a,a,0,,169,store
1466,11,2009,40,2014,a,a,1,"Mar,Jun,Sept,Dec",170,store
1652,0,0,20,2013,a,c,1,"Feb,May,Aug,Nov",171,store
191,12,2007,0,0,a,c,0,,172,store
1713,4,2004,0,0,a,c,0,,173,store
4981,4,0,0,0,d,c,0,,174,store
8165,7,2005,12,2011,a,c,1,"Jan,Apr,Jul,Oct",175,store
10218,0,0,0,0,d,c,0,,176,store
20530,9,2013,0,0,c,c,0,,177,store
21701,12,2010,13,2011,a,a,1,"Jan,Apr,Jul,Oct",178,store
1727,0,0,40,2011,c,a,1,"Jan,Apr,Jul,Oct",179,store
411,12,2009,0,0,a,a,0,,180,store
2973,0,0,40,2009,d,c,1,"Feb,May,Aug,Nov",181,store
32394,4,2008,0,0,a,a,0,,182,store
421,6,2007,0,0,a,a,0,,183,store
1186,7,2010,0,0,c,a,0,,184,store
0,0,0,0,0,a,c,0,,185,store
3462,7,2013,40,2009,d,a,1,"Feb,May,Aug,Nov",186,store
2740,0,0,0,0,a,a,0,,187,store
365,11,2013,0,0,a,a,0,,188,store
3986,4,2012,0,0,c,c,0,,189,store
287,4,2005,0,0,a,c,0,,190,store
2711,9,2013,0,0,d,c,0,,191,store
387,12,2010,39,2012,d,c,1,"Mar,Jun,Sept,Dec",192,store
1529,0,0,0,0,a,c,0,,193,store
16826,8,0,14,2014,a,a,1,"Jan,Apr,Jul,Oct",194,store
18848,4,0,0,0,d,a,0,,195,store
1464,9,2005,0,2011,d,c,1,"Feb,May,Aug,Nov",196,store
8223,0,0,0,0,d,c,0,,197,store
1866,4,2007,0,0,a,a,0,,198,store
11573,0,0,0,0,d,a,0,,199,store
2046,0,0,0,0,c,c,0,,200,store
7717,0,0,44,2009,d,c,1,"Feb,May,Aug,Nov",201,store
735,3,2013,0,0,c,a,0,,202,store
41,2,2008,0,0,a,a,0,,203,store
1420,10,435,0,0,d,a,0,,204,store
255,0,0,14,2014,a,a,1,"Mar,Jun,Sept,Dec",205,store
1950,0,0,0,0,a,c,0,,206,store
2629,0,0,0,0,c,c,0,,207,store
1552,0,0,16,2014,a,a,1,"Mar,Jun,Sept,Dec",208,store
8338,3,2007,0,0,d,a,0,,209,store
1272,11,2010,0,0,a,a,0,,210,store
1361,11,2008,0,0,c,a,0,,211,store
4130,9,2010,0,0,c,c,0,,212,store
5786,3,2011,14,2010,d,b,1,"Jan,Apr,Jul,Oct",213,store
1627,4,2010,15,2011,d,a,1,"Jan,Apr,Jul,Oct",214,store
5169,0,0,0,0,a,c,0,,215,store
26948,0,0,0,0,a,a,0,,216,store
2036,7,2006,0,0,a,c,0,,217,store
10928,0,0,13,2011,a,c,1,"Feb,May,Aug,Nov",218,store
931,0,0,0,0,d,c,0,,219,store
1300,0,0,0,0,a,c,0,,220,store
7564,10,2007,14,2011,d,a,1,"Jan,Apr,Jul,Oct",221,store
6519,8,0,14,2011,d,a,1,"Jan,Apr,Jul,Oct",222,store
47,0,0,0,0,c,c,0,,223,store
8812,0,0,13,2013,d,c,1,"Jan,Apr,Jul,Oct",224,store
604,0,0,25,2011,d,c,1,"Feb,May,Aug,Nov",225,store
654,0,0,47,2009,a,c,1,"Feb,May,Aug,Nov",226,store
5388,0,0,0,0,d,c,0,,227,store
572,0,0,14,2013,a,c,1,"Jan,Apr,Jul,Oct",228,store
53606,4,0,0,0,d,a,0,,229,store
429,0,0,37,2012,c,c,1,"Feb,May,Aug,Nov",230,store
3320,5,2011,36,2009,a,a,1,"Jan,Apr,Jul,Oct",231,store
1803,0,0,14,2011,a,a,1,"Mar,Jun,Sept,Dec",232,store
4141,3,2011,14,2014,d,a,1,"Jan,Apr,Jul,Oct",233,store
2673,6,2005,0,0,a,c,0,,234,store
1261,12,2015,0,0,c,a,0,,235,store
13229,3,2007,27,2015,a,c,1,"Feb,May,Aug,Nov",236,store
3455,0,0,13,2011,d,a,1,"Jan,Apr,Jul,Oct",237,store
354,0,0,0,0,c,a,0,,238,store
15074,3,2013,0,0,d,a,0,,239,store
2186,0,0,30,2010,d,a,1,"Jan,Apr,Jul,Oct",240,store
17801,0,0,0,0,d,a,0,,241,store
677,12,2013,0,0,a,a,0,,242,store
1864,4,2010,0,0,d,c,0,,243,store
407,0,0,30,2013,a,a,1,"Jan,Apr,Jul,Oct",244,store
7767,3,2012,6,2010,a,a,1,"Jan,Apr,Jul,Oct",245,store
860,7,2014,40,2014,d,c,1,"Jan,Apr,Jul,Oct",246,store
9198,0,0,14,2012,d,c,1,"Jan,Apr,Jul,Oct",247,store
536,0,0,0,0,a,c,0,,248,store
9144,4,2002,41,2014,d,a,1,"Jan,Apr,Jul,Oct",249,store
21712,0,0,14,2011,a,c,1,"Feb,May,Aug,Nov",250,store
50,7,2013,0,0,c,a,0,,251,store
3098,2,2014,17,2011,a,c,1,"Mar,Jun,Sept,Dec",252,store
2,11,2007,0,0,a,a,0,,253,store
632,4,2011,0,0,a,a,0,,254,store
8931,11,447,0,0,a,a,0,,255,store
1047,6,2000,0,0,a,a,0,,256,store
39,0,0,5,2013,a,a,1,"Feb,May,Aug,Nov",257,store
3215,9,2010,0,0,d,a,0,,258,store
758,5,2011,17,2012,c,c,1,"Mar,Jun,Sept,Dec",259,store
1657,11,2004,0,0,c,a,0,,260,store
512,0,0,0,0,a,c,0,,261,store
549,9,2005,0,0,d,a,0,,262,store
1636,10,2011,0,0,a,c,0,,263,store
106,0,0,41,2011,d,a,1,"Jan,Apr,Jul,Oct",264,store
1138,0,0,0,0,a,c,0,,265,store
65,4,2007,0,0,c,a,0,,266,store
7965,0,0,0,0,a,c,0,,267,store
408,0,0,0,0,a,c,0,,268,store
4827,9,2007,40,2014,d,a,1,"Jan,Apr,Jul,Oct",269,store
1108,11,2007,14,2013,d,a,1,"Feb,May,Aug,Nov",270,store
1128,0,0,7,2013,c,a,1,"Jan,Apr,Jul,Oct",271,store
1258,11,2010,0,0,a,a,0,,272,store
898,0,0,40,2009,a,c,1,"Feb,May,Aug,Nov",273,store
1086,0,0,0,0,a,a,0,,274,store
2378,11,2007,0,0,a,a,0,,275,store
535,2,2012,0,0,a,c,0,,276,store
1065,5,2005,36,2012,a,c,1,"Jan,Apr,Jul,Oct",277,store
1381,11,2011,9,2015,c,c,1,"Feb,May,Aug,Nov",278,store
3678,3,2011,11,2011,d,a,1,"Feb,May,Aug,Nov",279,store
2107,4,2012,36,2014,d,a,1,"Jan,Apr,Jul,Oct",280,store
67,7,2012,0,0,a,a,0,,281,store
7295,5,2010,0,0,d,a,0,,282,store
137,6,2010,13,2011,c,a,1,"Jan,Apr,Jul,Oct",283,store
4617,0,0,13,2013,d,c,1,"Feb,May,Aug,Nov",284,store
8737,9,2013,14,2011,a,a,1,"Jan,Apr,Jul,Oct",285,store
1739,0,0,0,0,c,c,0,,286,store
8454,0,0,0,0,d,c,0,,287,store
10616,4,2005,0,0,c,c,0,,288,store
10473,0,0,0,0,d,a,0,,289,store
897,0,0,36,2010,d,c,1,"Jan,Apr,Jul,Oct",290,store
5931,2,2005,0,0,a,a,0,,291,store
1626,9,2009,14,2015,d,c,1,"Mar,Jun,Sept,Dec",292,store
14312,6,2012,0,0,c,c,0,,293,store
324,3,2013,37,2014,a,c,1,"Feb,May,Aug,Nov",294,store
16973,0,0,23,2014,d,a,1,"Jan,Apr,Jul,Oct",295,store
665,0,0,0,0,d,c,0,,296,store
5748,0,0,29,2013,a,c,1,"Feb,May,Aug,Nov",297,store
1779,0,0,40,2013,a,a,1,"Mar,Jun,Sept,Dec",298,store
682,11,2010,0,0,a,a,0,,299,store
6573,4,2008,0,0,a,c,0,,300,store
1365,11,2011,8,2013,a,a,1,"Feb,May,Aug,Nov",301,store
6079,7,2010,21,2012,a,c,1,"Mar,Jun,Sept,Dec",302,store
47,4,2010,27,2011,a,a,1,"Jan,Apr,Jul,Oct",303,store
9526,0,0,0,0,a,a,0,,304,store
2131,10,2005,0,0,a,c,0,,305,store
464,7,2011,0,0,a,c,0,,306,store
1914,0,0,0,2011,c,a,1,"Jan,Apr,Jul,Oct",307,store
1849,4,2009,40,2014,a,a,1,"Jan,Apr,Jul,Oct",308,store
4540,9,2005,15,2010,d,a,1,"Jan,Apr,Jul,Oct",309,store
437,0,0,0,2013,d,c,1,"Mar,Jun,Sept,Dec",310,store
9510,3,2013,0,0,d,c,0,,311,store
793,8,2010,14,2011,a,c,1,"Jan,Apr,Jul,Oct",312,store
9061,0,0,40,2014,d,c,1,"Mar,Jun,Sept,Dec",313,store
24089,4,0,0,0,a,a,0,,314,store
1098,4,2010,24,2014,c,a,1,"Mar,Jun,Sept,Dec",315,store
9083,7,2013,40,2009,a,a,1,"Jan,Apr,Jul,Oct",316,store
3126,4,2007,39,2009,a,a,1,"Jan,Apr,Jul,Oct",317,store
3840,10,2013,22,2014,a,a,1,"Feb,May,Aug,Nov",318,store
12938,7,0,0,0,a,c,0,,319,store
9016,10,2009,0,0,a,c,0,,320,store
3702,9,2009,0,0,a,a,0,,321,store
9504,11,2005,9,2012,d,c,1,"Jan,Apr,Jul,Oct",322,store
3337,5,2012,0,0,c,c,0,,323,store
20124,4,2009,0,0,a,c,0,,324,store
4133,12,2013,14,2015,a,a,1,"Mar,Jun,Sept,Dec",325,store
10063,9,2010,0,0,c,a,0,,326,store
1141,10,2007,22,2013,d,a,1,"Jan,Apr,Jul,Oct",327,store
1911,6,2012,0,0,c,a,0,,328,store
4838,8,2011,0,0,d,c,0,,329,store
1111,0,0,14,2012,a,c,1,"Jan,Apr,Jul,Oct",330,store
386,1,2013,0,0,c,a,0,,331,store
437,3,2003,19,2010,d,a,1,"Mar,Jun,Sept,Dec",332,store
682,0,0,11,2012,d,c,1,"Jan,Apr,Jul,Oct",333,store
4125,11,2013,0,0,c,a,0,,334,store
6357,12,2012,0,0,d,a,0,,335,store
7819,0,0,0,0,a,a,0,,336,store
13122,0,0,2,2013,d,c,1,"Jan,Apr,Jul,Oct",337,store
459,4,2011,11,2010,a,c,1,"Jan,Apr,Jul,Oct",338,store
12518,0,0,0,0,c,a,0,,339,store
2706,9,2004,20,2009,a,a,1,"Jan,Apr,Jul,Oct",340,store
1851,12,2010,4,2013,d,c,1,"Jan,Apr,Jul,Oct",341,store
81,6,0,0,0,a,a,0,,342,store
8106,11,2007,0,0,d,a,0,,343,store
541,3,2013,9,2010,a,a,1,"Jan,Apr,Jul,Oct",344,store
7273,4,2010,0,0,a,a,0,,345,store
9686,10,0,0,0,d,c,0,,346,store
10287,4,2007,0,0,a,c,0,,347,store
5060,0,0,35,2009,d,c,1,"Mar,Jun,Sept,Dec",348,store
8808,0,0,2,2013,d,c,1,"Jan,Apr,Jul,Oct",349,store
936,7,2002,0,0,a,a,0,,350,store
162,5,2010,11,2010,c,a,1,"Jan,Apr,Jul,Oct",351,store
6911,9,2005,38,2011,d,a,1,"Jan,Apr,Jul,Oct",352,store
9751,0,0,13,2013,d,a,1,"Jan,Apr,Jul,Oct",353,store
17468,9,2005,14,2011,d,a,1,"Jan,Apr,Jul,Oct",354,store
433,9,2010,47,2009,a,a,1,"Feb,May,Aug,Nov",355,store
21825,0,0,0,0,a,c,0,,356,store
2094,0,0,0,0,a,a,0,,357,store
1660,11,2011,0,0,a,c,0,,358,store
21,0,0,43,2009,a,c,1,"Feb,May,Aug,Nov",359,store
1076,0,0,14,2013,d,c,1,"Jan,Apr,Jul,Oct",360,store
699,7,2014,0,0,a,a,0,,361,store
8923,9,2009,33,2013,d,a,1,"Jan,Apr,Jul,Oct",362,store
3380,4,2009,24,2012,d,c,1,"Jan,Apr,Jul,Oct",363,store
397,11,2005,40,2014,d,a,1,"Mar,Jun,Sept,Dec",364,store
7827,3,2013,0,0,d,a,0,,365,store
422,12,2013,26,2012,c,a,1,"Jan,Apr,Jul,Oct",366,store
13188,9,2010,0,0,a,a,0,,367,store
11,7,2015,14,2011,a,a,1,"Jan,Apr,Jul,Oct",368,store
13767,2,2013,0,0,a,c,0,,369,store
12222,0,0,0,0,c,a,0,,370,store
1579,12,2013,0,0,a,a,0,,371,store
6777,7,2009,14,2012,a,a,1,"Jan,Apr,Jul,Oct",372,store
4013,4,1999,0,0,d,a,0,,373,store
3597,9,2010,0,0,d,a,0,,374,store
6007,9,2009,0,0,a,a,0,,375,store
7516,0,0,14,2013,a,a,1,"Jan,Apr,Jul,Oct",376,store
3071,11,2010,0,0,d,c,0,,377,store
5934,3,2004,40,2014,a,a,1,"Jan,Apr,Jul,Oct",378,store
1271,12,2010,0,0,d,a,0,,379,store
401,7,2013,20,2015,a,a,1,"Jan,Apr,Jul,Oct",380,store
514,10,2011,42,2009,a,a,1,"Feb,May,Aug,Nov",381,store
19611,0,0,0,0,a,c,0,,382,store
5523,12,2011,13,2012,d,b,1,"Jan,Apr,Jul,Oct",383,store
2547,12,2007,0,0,a,a,0,,384,store
560,4,0,0,0,d,c,0,,385,store
1291,3,2009,13,2012,d,a,1,"Jan,Apr,Jul,Oct",386,store
2502,3,2010,14,2010,d,a,1,"Mar,Jun,Sept,Dec",387,store
17551,0,0,13,2011,d,a,1,"Jan,Apr,Jul,Oct",388,store
3084,3,2007,0,0,d,a,0,,389,store
21775,0,0,0,0,a,c,0,,390,store
1430,11,2005,26,2010,a,a,1,"Jan,Apr,Jul,Oct",391,store
700,5,2014,38,2014,a,a,1,"Jan,Apr,Jul,Oct",392,store
8066,7,2011,0,0,a,a,0,,393,store
319,1,2014,14,2012,d,c,1,"Mar,Jun,Sept,Dec",394,store
15962,8,2011,0,0,d,a,0,,395,store
121,0,0,0,0,a,a,0,,396,store
8802,0,0,0,0,a,a,0,,397,store
1559,0,0,0,0,a,a,0,,398,store
1080,11,2009,0,0,c,c,0,,399,store
209,0,0,33,2010,d,a,1,"Jan,Apr,Jul,Oct",400,store
1084,9,2007,0,0,a,a,0,,401,store
1627,10,2012,0,0,c,a,0,,402,store
4507,8,2013,0,0,a,a,0,,403,store
3541,10,2015,0,0,a,a,0,,404,store
3439,3,2010,0,0,a,a,0,,405,store
871,4,2014,0,0,d,a,0,,406,store
318,8,2013,0,0,c,a,0,,407,store
7832,0,0,0,0,d,c,0,,408,store
2592,9,2006,11,2015,d,c,1,"Jan,Apr,Jul,Oct",409,store
726,4,2014,14,2015,a,a,1,"Mar,Jun,Sept,Dec",410,store
268,4,1223,0,0,c,c,0,,411,store
5076,7,2005,0,0,a,a,0,,412,store
3385,10,2007,0,0,c,c,0,,413,store
534,4,2011,20,2014,a,a,1,"Jan,Apr,Jul,Oct",414,store
0,0,0,35,2013,a,c,1,"Feb,May,Aug,Nov",415,store
19029,6,2009,0,0,a,a,0,,416,store
1095,10,2011,37,2012,d,c,1,"Mar,Jun,Sept,Dec",417,store
14066,10,2012,16,2013,d,c,1,"Mar,Jun,Sept,Dec",418,store
2689,9,2011,0,0,a,a,0,,419,store
512,12,2014,37,2014,a,a,1,"Jan,Apr,Jul,Oct",420,store
3184,7,2012,13,2011,a,a,1,"Mar,Jun,Sept,Dec",421,store
1346,9,2008,0,0,a,a,0,,422,store
165,10,2012,0,0,c,c,0,,423,store
1902,9,2012,0,0,a,c,0,,424,store
1087,7,0,0,0,a,a,0,,425,store
16949,7,2010,21,2014,d,c,1,"Jan,Apr,Jul,Oct",426,store
7072,10,2010,34,2014,d,c,1,"Jan,Apr,Jul,Oct",427,store
1354,3,2013,0,0,d,c,0,,428,store
3082,4,2006,0,0,d,c,0,,429,store
3086,0,0,41,2009,d,a,1,"Feb,May,Aug,Nov",430,store
5132,12,2005,10,2011,a,a,1,"Jan,Apr,Jul,Oct",431,store
4422,4,2015,20,2011,a,c,1,"Jan,Apr,Jul,Oct",432,store
13,11,2013,8,2015,a,a,1,"Feb,May,Aug,Nov",433,store
237,10,2006,13,2011,a,a,1,"Jan,Apr,Jul,Oct",434,store
483,7,1999,34,2014,a,a,1,"Jan,Apr,Jul,Oct",435,store
16218,0,0,0,0,d,c,0,,436,store
1968,4,2005,14,2011,a,a,1,"Jan,Apr,Jul,Oct",437,store
922,0,0,12,2013,a,c,1,"Mar,Jun,Sept,Dec",438,store
2066,9,2007,0,0,a,c,0,,439,store
2276,5,2010,0,0,d,a,0,,440,store
2990,9,2009,37,2014,d,a,1,"Feb,May,Aug,Nov",441,store
13991,0,0,13,2011,a,a,1,"Jan,Apr,Jul,Oct",442,store
656,0,0,14,2014,c,c,1,"Mar,Jun,Sept,Dec",443,store
1248,4,2013,18,2014,a,a,1,"Jan,Apr,Jul,Oct",444,store
312,11,2010,9,2012,c,c,1,"Feb,May,Aug,Nov",445,store
1645,3,0,15,2015,d,c,1,"Feb,May,Aug,Nov",446,store
1209,7,2013,0,0,a,a,0,,447,store
1095,8,2009,14,2014,d,c,1,"Mar,Jun,Sept,Dec",448,store
3325,11,2008,0,0,a,a,0,,449,store
20595,2,2014,0,0,a,c,0,,450,store
365,12,844,15,2012,a,c,1,"Mar,Jun,Sept,Dec",451,store
1820,5,0,35,2009,a,a,1,"Jan,Apr,Jul,Oct",452,store
2637,10,2010,0,0,d,c,0,,453,store
272,0,0,0,0,a,a,0,,454,store
21168,0,0,11,2011,d,b,1,"Jan,Apr,Jul,Oct",455,store
1239,10,2014,0,0,a,a,0,,456,store
5672,2,2011,14,2011,a,c,1,"Feb,May,Aug,Nov",457,store
658,0,0,0,0,a,c,0,,458,store
3257,12,2003,23,2014,d,c,1,"Mar,Jun,Sept,Dec",459,store
